record_type,area_id,area_name,municipality,policy_role,evidence_anchor_id,evidence_source,evidence_status,aliases,exclusion_requires_reason
MUNICIPALITY_GUARD,MUN_OLGIATE,Olgiate Molgora,Olgiate Molgora,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true
MUNICIPALITY_GUARD,MUN_CALCO,Calco,Calco,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true
MUNICIPALITY_GUARD,MUN_BRIVIO,Brivio,Brivio,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true
MUNICIPALITY_GUARD,MUN_SMHOE,Santa Maria Hoè,Santa Maria Hoè,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true
MUNICIPALITY_GUARD,MUN_VALLETTA,La Valletta Brianza,La Valletta Brianza,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true
SERVICE_AREA_AUDIT,AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511605,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,centro|stazione,true
SERVICE_AREA_AUDIT,AREA_SAN_ZENO,San Zeno,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,,NO_CERTIFIED_ANCHOR_IN_CURRENT_STOP_UNIVERSE,MISSING_CERTIFIED_ANCHOR,san zeno,true
SERVICE_AREA_AUDIT,AREA_CALCO_CENTRO,Calco centro,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511556,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,calco,true
SERVICE_AREA_AUDIT,AREA_CALCO_SUPERIORE,Calco Superiore,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_6647016663,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,calco alta|calco superiore,true
SERVICE_AREA_AUDIT,AREA_ARLATE,Arlate,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_3070050535,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,arlate,true
SERVICE_AREA_AUDIT,AREA_BRIVIO_CENTRO,Brivio centro,Brivio,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511518,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,brivio,true
SERVICE_AREA_AUDIT,AREA_BEVERATE,Beverate,Brivio,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_1144810241,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,beverate,true
SERVICE_AREA_AUDIT,AREA_SMHOE,Santa Maria Hoè,Santa Maria Hoè,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62512525,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,santa maria hoe|santa maria hoè,true
SERVICE_AREA_AUDIT,AREA_ROVAGNATE,Rovagnate,La Valletta Brianza,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62512298,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,rovagnate,true
SERVICE_AREA_AUDIT,AREA_PEREGO,Perego,La Valletta Brianza,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62512561,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,perego,true
SERVICE_AREA_AUDIT,AREA_MONDONICO,Mondonico,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_1144810206,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,mondonico,true
SERVICE_AREA_AUDIT,AREA_MONTICELLO,Monticello / Scarpone,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,EX_023,current_service_baseline_v4/current_service_physical_stop_clusters_v4.csv,CURRENT_OFFICIAL_PHYSICAL_STOP,monticello|scarpone,true
