procom;out;in;self
1001;886;491;439
1002;1307;2205;812
1003;105;44;116
1004;713;189;171
1005;301;69;24
1006;2150;1494;1187
1007;82;11;23
1008;5942;2870;2603
1009;635;1340;419
1010;174;19;75
1011;306;42;73
1012;429;258;159
1013;3987;4940;2476
1014;480;482;212
1015;298;272;86
1016;1128;458;482
1017;193;186;44
1018;1677;179;412
1019;19;19;25
1020;1166;984;423
1021;602;130;154
1022;367;430;1100
1023;230;306;42
1024;6112;5260;3238
1025;1132;310;561
1026;148;49;114
1027;724;587;264
1028;5265;3808;2536
1029;225;48;28
1030;1219;381;563
1031;313;41;48
1032;775;562;303
1033;990;739;549
1034;2975;1156;1607
1035;1523;976;769
1036;185;22;33
1037;204;64;26
1038;3255;2085;1515
1039;543;370;225
1040;568;492;193
1041;453;372;281
1042;398;1242;178
1043;546;1388;327
1044;1877;1227;1115
1045;2419;1514;931
1046;1144;557;585
1047;1893;2442;1677
1048;2125;1896;1182
1049;449;491;252
1050;461;276;162
1051;2286;1331;920
1052;95;5;11
1053;999;124;294
1054;157;43;110
1055;865;356;235
1056;325;80;135
1057;230;150;111
1058;2593;2165;2056
1059;6434;3979;8825
1060;612;220;328
1061;612;179;128
1062;1050;1084;484
1063;6489;5511;3787
1064;770;190;183
1065;839;140;336
1066;2760;1974;2210
1067;161;15;28
1068;2565;833;1000
1069;849;188;237
1070;1537;879;1306
1071;655;177;257
1072;261;193;171
1073;28;13;47
1074;142;142;298
1075;77;37;45
1076;645;213;163
1077;738;148;208
1078;8917;7236;10262
1079;72;7;13
1080;243;120;120
1081;600;535;243
1082;6485;7940;6975
1083;181;14;15
1084;100;29;9
1085;116;39;26
1086;4838;6636;4762
1087;26;15;55
1088;574;133;172
1089;1069;175;436
1090;18010;10026;8285
1091;112;130;43
1092;267;655;26
1093;1399;636;753
1094;1057;355;513
1095;152;127;58
1096;391;149;104
1097;2489;899;1543
1098;2719;2214;2229
1099;2983;1402;1579
1100;112;18;13
1101;1951;651;825
1102;824;357;310
1103;116;112;109
1104;997;480;425
1105;354;43;47
1106;874;157;344
1107;903;703;847
1108;62;13;51
1109;659;203;193
1110;963;823;471
1111;216;107;49
1112;3546;675;1424
1113;441;198;155
1114;287;22;65
1115;4003;2089;4055
1116;1655;322;476
1117;288;29;36
1118;35;9;30
1119;405;415;142
1120;12406;18462;6813
1121;10;6;2
1122;301;101;54
1123;186;29;25
1124;168;8;20
1125;3930;13874;7271
1126;770;208;216
1127;3356;1852;1528
