DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,1576,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,459,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1117,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1218,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,246,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,972,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,358,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,213,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097002,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,145,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,2545,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,784,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1761,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1806,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,405,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1401,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,739,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,379,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097010,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,360,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,3353,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,949,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,2404,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,2602,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,519,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,2083,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,751,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,430,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,321,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,2128,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,671,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1457,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1621,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,377,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1244,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,507,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,294,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,213,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,1467,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,429,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1038,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1221,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,286,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,935,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,246,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,143,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097039,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,103,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097044,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,3034,,,,,,,,ALL_N1,99_N1,,,,,,
