istat,comune,out_predecessor_sum,in_predecessor_sum,self_predecessor_sum,resident_commuters_total,workplace_people_total,saldo,n_2011_units
097002,Airuno,1197.0,411.0,425.0,1622.0,836.0,-786.0,1
097010,Brivio,1659.0,1408.0,907.0,2566.0,2315.0,-251.0,1
097012,Calco,2229.0,1208.0,791.0,3020.0,1999.0,-1021.0,1
097020,Cernusco Lombardone,1517.0,2253.0,563.0,2080.0,2816.0,736.0,1
097039,Imbersago,1062.0,280.0,289.0,1351.0,569.0,-782.0,1
097092,La Valletta Brianza,1999.0,1237.0,667.0,2666.0,1904.0,-762.0,2
097044,Lomagna,2118.0,1510.0,727.0,2845.0,2237.0,-608.0,1
097048,Merate,4382.0,7324.0,3391.0,7773.0,10715.0,2942.0,1
097053,Montevecchia,1151.0,318.0,283.0,1434.0,601.0,-833.0,1
097058,Olgiate Molgora,2443.0,1028.0,882.0,3325.0,1910.0,-1415.0,1
097061,Osnago,2000.0,1957.0,697.0,2697.0,2654.0,-43.0,1
097062,Paderno d'Adda,1777.0,563.0,449.0,2226.0,1012.0,-1214.0,1
097071,Robbiate,2673.0,1410.0,871.0,3544.0,2281.0,-1263.0,1
097074,Santa Maria Hoe,963.0,572.0,319.0,1282.0,891.0,-391.0,1
097091,Verderio,3005.0,1664.0,473.0,3478.0,2137.0,-1341.0,2
