istat,comune,commuters_2011,commuters_2019,commuters_change_abs,commuters_change_pct,population_2019,commuters_share_pop_2019_pct,outside_2019,inside_2019,outside_share_2019_pct,work_2019,study_2019,work_share_2019_pct
097002,Airuno,1622.0,1576.0,-46.0,-2.83600493218249,2794.0,56.40658554044381,1218.0,358.0,77.28426395939087,1117.0,459.0,70.8756345177665
097010,Brivio,2566.0,2545.0,-21.0,-0.8183943881527656,4466.0,56.98611733094492,1806.0,739.0,70.96267190569745,1761.0,784.0,69.19449901768174
097012,Calco,3020.0,3353.0,333.0,11.026490066225158,5369.0,62.451108213820085,2602.0,751.0,77.60214733074858,2404.0,949.0,71.69698777214435
097020,Cernusco Lombardone,2080.0,2128.0,48.0,2.3076923076922995,3788.0,56.177402323125655,1621.0,507.0,76.17481203007519,1457.0,671.0,68.46804511278195
097039,Imbersago,1351.0,1467.0,116.0,8.586232420429308,2486.0,59.01045856798069,1221.0,246.0,83.23108384458078,1038.0,429.0,70.75664621676891
097092,La Valletta Brianza,2666.0,2717.0,51.0,1.9129782445611365,4646.0,58.48041325871718,2090.0,627.0,76.92307692307693,1870.0,847.0,68.82591093117408
097044,Lomagna,2845.0,3034.0,189.0,6.6432337434094935,5065.0,59.90128331688055,2416.0,618.0,79.63085036255768,2109.0,925.0,69.51219512195121
097048,Merate,7773.0,7915.0,142.0,1.8268364852695118,14702.0,53.83621276016869,4690.0,3225.0,59.25457991156032,5424.0,2491.0,68.52811118130133
097053,Montevecchia,1434.0,1609.0,175.0,12.203626220362619,2673.0,60.19453797231576,1326.0,283.0,82.41143567433188,1114.0,495.0,69.2355500310752
097058,Olgiate Molgora,3325.0,3618.0,293.0,8.812030075187959,6406.0,56.47830159225726,2723.0,895.0,75.26257600884466,2481.0,1137.0,68.5737976782753
097061,Osnago,2697.0,2715.0,18.0,0.6674082313681939,4771.0,56.90630894990568,2191.0,524.0,80.69981583793738,1896.0,819.0,69.83425414364642
097062,Paderno d'Adda,2226.0,2270.0,44.0,1.9766397124887591,3834.0,59.207094418362026,1882.0,388.0,82.90748898678414,1534.0,736.0,67.57709251101322
097071,Robbiate,3544.0,3793.0,249.0,7.025959367945833,6248.0,60.707426376440466,2908.0,885.0,76.66754547851305,2555.0,1238.0,67.36092802530979
097074,Santa Maria Hoe,1282.0,1296.0,14.0,1.0920436817472678,2127.0,60.9308885754584,1042.0,254.0,80.40123456790124,906.0,390.0,69.9074074074074
097091,Verderio,3478.0,3483.0,5.0,0.14376078205864395,5520.0,63.09782608695652,3001.0,482.0,86.16135515360321,2409.0,1074.0,69.16451335055986
