istat,comune,population_2019,commuters_total,commuters_outside,commuters_inside,work_total,work_outside,work_inside,study_total,study_outside,study_inside
097002,Airuno,2794.0,1576.0,1218.0,358.0,1117.0,972.0,145.0,459.0,246.0,213.0
097010,Brivio,4466.0,2545.0,1806.0,739.0,1761.0,1401.0,360.0,784.0,405.0,379.0
097012,Calco,5369.0,3353.0,2602.0,751.0,2404.0,2083.0,321.0,949.0,519.0,430.0
097020,Cernusco Lombardone,3788.0,2128.0,1621.0,507.0,1457.0,1244.0,213.0,671.0,377.0,294.0
097039,Imbersago,2486.0,1467.0,1221.0,246.0,1038.0,935.0,103.0,429.0,286.0,143.0
097092,La Valletta Brianza,4646.0,2717.0,2090.0,627.0,1870.0,1600.0,270.0,847.0,490.0,357.0
097044,Lomagna,5065.0,3034.0,2416.0,618.0,2109.0,1806.0,303.0,925.0,610.0,315.0
097048,Merate,14702.0,7915.0,4690.0,3225.0,5424.0,3901.0,1523.0,2491.0,789.0,1702.0
097053,Montevecchia,2673.0,1609.0,1326.0,283.0,1114.0,994.0,120.0,495.0,332.0,163.0
097058,Olgiate Molgora,6406.0,3618.0,2723.0,895.0,2481.0,2121.0,360.0,1137.0,602.0,535.0
097061,Osnago,4771.0,2715.0,2191.0,524.0,1896.0,1608.0,288.0,819.0,583.0,236.0
097062,Paderno d'Adda,3834.0,2270.0,1882.0,388.0,1534.0,1399.0,135.0,736.0,483.0,253.0
097071,Robbiate,6248.0,3793.0,2908.0,885.0,2555.0,2247.0,308.0,1238.0,661.0,577.0
097074,Santa Maria Hoe,2127.0,1296.0,1042.0,254.0,906.0,779.0,127.0,390.0,263.0,127.0
097091,Verderio,5520.0,3483.0,3001.0,482.0,2409.0,2227.0,182.0,1074.0,774.0,300.0
