weekday,hour_local,bar_height_px,within_day_typical_index_0_100,live_overlay,source_file
Tuesday,04:00,21,18,false,tuesday.jpeg
Tuesday,05:00,45,38,false,tuesday.jpeg
Tuesday,06:00,80,68,false,tuesday.jpeg
Tuesday,07:00,108,92,false,tuesday.jpeg
Tuesday,08:00,100,85,false,tuesday.jpeg
Tuesday,09:00,85,72,false,tuesday.jpeg
Tuesday,10:00,70,59,false,tuesday.jpeg
Tuesday,11:00,63,53,false,tuesday.jpeg
Tuesday,12:00,55,47,false,tuesday.jpeg
Tuesday,13:00,57,48,false,tuesday.jpeg
Tuesday,14:00,63,53,false,tuesday.jpeg
Tuesday,15:00,74,63,false,tuesday.jpeg
Tuesday,16:00,95,81,false,tuesday.jpeg
Tuesday,17:00,113,96,false,tuesday.jpeg
Tuesday,18:00,118,100,false,tuesday.jpeg
Tuesday,19:00,105,89,false,tuesday.jpeg
Tuesday,20:00,86,73,false,tuesday.jpeg
Tuesday,21:00,64,,true,tuesday.jpeg
Tuesday,22:00,51,43,false,tuesday.jpeg
Tuesday,23:00,37,31,false,tuesday.jpeg
Tuesday,00:00,21,18,false,tuesday.jpeg
Tuesday,01:00,16,14,false,tuesday.jpeg
Tuesday,02:00,12,10,false,tuesday.jpeg
Tuesday,03:00,13,11,false,tuesday.jpeg
Sunday,04:00,11,16,false,sunday.jpeg
Sunday,05:00,11,16,false,sunday.jpeg
Sunday,06:00,13,19,false,sunday.jpeg
Sunday,07:00,16,24,false,sunday.jpeg
Sunday,08:00,23,34,false,sunday.jpeg
Sunday,09:00,29,43,false,sunday.jpeg
Sunday,10:00,35,52,false,sunday.jpeg
Sunday,11:00,36,54,false,sunday.jpeg
Sunday,12:00,35,52,false,sunday.jpeg
Sunday,13:00,36,54,false,sunday.jpeg
Sunday,14:00,37,55,false,sunday.jpeg
Sunday,15:00,40,60,false,sunday.jpeg
Sunday,16:00,47,70,false,sunday.jpeg
Sunday,17:00,54,81,false,sunday.jpeg
Sunday,18:00,64,96,false,sunday.jpeg
Sunday,19:00,67,100,false,sunday.jpeg
Sunday,20:00,66,99,false,sunday.jpeg
Sunday,21:00,56,84,false,sunday.jpeg
Sunday,22:00,45,67,false,sunday.jpeg
Sunday,23:00,35,52,false,sunday.jpeg
Sunday,00:00,22,33,false,sunday.jpeg
Sunday,01:00,16,24,false,sunday.jpeg
Sunday,02:00,12,18,false,sunday.jpeg
Sunday,03:00,12,18,false,sunday.jpeg
Monday,04:00,22,20,false,monday.jpeg
Monday,05:00,44,41,false,monday.jpeg
Monday,06:00,79,73,false,monday.jpeg
Monday,07:00,106,98,false,monday.jpeg
Monday,08:00,90,83,false,monday.jpeg
Monday,09:00,71,66,false,monday.jpeg
Monday,10:00,58,54,false,monday.jpeg
Monday,11:00,60,56,false,monday.jpeg
Monday,12:00,61,56,false,monday.jpeg
Monday,13:00,67,62,false,monday.jpeg
Monday,14:00,66,61,false,monday.jpeg
Monday,15:00,75,69,false,monday.jpeg
Monday,16:00,88,81,false,monday.jpeg
Monday,17:00,108,100,false,monday.jpeg
Monday,18:00,106,98,false,monday.jpeg
Monday,19:00,98,91,false,monday.jpeg
Monday,20:00,77,71,false,monday.jpeg
Monday,21:00,58,54,false,monday.jpeg
Monday,22:00,43,40,false,monday.jpeg
Monday,23:00,30,28,false,monday.jpeg
Monday,00:00,16,15,false,monday.jpeg
Monday,01:00,13,12,false,monday.jpeg
Monday,02:00,13,12,false,monday.jpeg
