weekday,hour_local,bar_height_px,within_day_typical_index_0_100,live_overlay,source_file
Wednesday,04:00,20,17,false,wednesday.jpeg
Wednesday,05:00,46,39,false,wednesday.jpeg
Wednesday,06:00,79,68,false,wednesday.jpeg
Wednesday,07:00,112,96,false,wednesday.jpeg
Wednesday,08:00,98,84,false,wednesday.jpeg
Wednesday,09:00,79,68,false,wednesday.jpeg
Wednesday,10:00,67,57,false,wednesday.jpeg
Wednesday,11:00,67,57,false,wednesday.jpeg
Wednesday,12:00,73,62,false,wednesday.jpeg
Wednesday,13:00,71,61,false,wednesday.jpeg
Wednesday,14:00,71,61,false,wednesday.jpeg
Wednesday,15:00,71,61,false,wednesday.jpeg
Wednesday,16:00,84,72,false,wednesday.jpeg
Wednesday,17:00,108,92,false,wednesday.jpeg
Wednesday,18:00,117,100,false,wednesday.jpeg
Wednesday,19:00,110,94,false,wednesday.jpeg
Wednesday,20:00,95,81,false,wednesday.jpeg
Wednesday,21:00,78,67,false,wednesday.jpeg
Wednesday,22:00,64,55,false,wednesday.jpeg
Wednesday,23:00,46,39,false,wednesday.jpeg
Wednesday,00:00,26,22,false,wednesday.jpeg
Wednesday,01:00,16,14,false,wednesday.jpeg
Wednesday,02:00,13,11,false,wednesday.jpeg
Wednesday,03:00,13,11,false,wednesday.jpeg
Thursday,04:00,21,15,false,thursday.jpeg
Thursday,05:00,46,33,false,thursday.jpeg
Thursday,06:00,83,59,false,thursday.jpeg
Thursday,07:00,111,79,false,thursday.jpeg
Thursday,08:00,101,72,false,thursday.jpeg
Thursday,09:00,83,59,false,thursday.jpeg
Thursday,10:00,73,52,false,thursday.jpeg
Thursday,11:00,66,47,false,thursday.jpeg
Thursday,12:00,66,47,false,thursday.jpeg
Thursday,13:00,66,47,false,thursday.jpeg
Thursday,14:00,71,50,false,thursday.jpeg
Thursday,15:00,81,57,false,thursday.jpeg
Thursday,16:00,105,74,false,thursday.jpeg
Thursday,17:00,131,93,false,thursday.jpeg
Thursday,18:00,141,100,false,thursday.jpeg
Thursday,19:00,125,89,false,thursday.jpeg
Thursday,20:00,101,72,false,thursday.jpeg
Thursday,21:00,76,54,false,thursday.jpeg
Thursday,22:00,53,38,false,thursday.jpeg
Thursday,23:00,33,23,false,thursday.jpeg
Thursday,00:00,18,13,false,thursday.jpeg
Thursday,01:00,11,8,false,thursday.jpeg
Thursday,02:00,9,6,false,thursday.jpeg
Thursday,03:00,12,9,false,thursday.jpeg
