hour_local,weekday_mean_within_day_index_0_100,observed_weekdays_n,derivation
04:00,17.0,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
05:00,36.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
06:00,65.2,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
07:00,89.4,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
08:00,80.6,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
09:00,66.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
10:00,56.4,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
11:00,53.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
12:00,54.2,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
13:00,56.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
14:00,59.2,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
15:00,65.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
16:00,79.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
17:00,96.2,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
18:00,99.6,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
19:00,90.0,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
20:00,73.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
21:00,57.2,4,mean_excluding_Tuesday_due_to_live_overlay
22:00,42.8,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
23:00,29.6,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
00:00,16.6,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
01:00,12.0,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
02:00,10.0,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
03:00,11.6,5,mean_of_Mon_Tue_Wed_Thu_Fri_within_day_indices
