Anno,Stazione_std,Stazione,Saliti24H,Indice_2019_100,Fonte_periodo
2015,AIRUNO,Airuno,680.0,94.44444444444444,Flussi Stazioni Ferroviarie (2015-2023)
2016,AIRUNO,Airuno,670.0,93.05555555555556,Flussi Stazioni Ferroviarie (2015-2023)
2017,AIRUNO,Airuno,720.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2018,AIRUNO,Airuno,740.0,102.77777777777776,Flussi Stazioni Ferroviarie (2015-2023)
2019,AIRUNO,Airuno,720.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,AIRUNO,Airuno,190.0,26.38888888888889,Flussi Stazioni Ferroviarie (2015-2023)
2021,AIRUNO,Airuno,540.0,75.0,Flussi Stazioni Ferroviarie (2015-2023)
2022,AIRUNO,Airuno,690.0,95.83333333333334,Flussi Stazioni Ferroviarie (2015-2023)
2023,AIRUNO,Airuno,1100.0,152.77777777777777,Flussi Stazioni Ferroviarie (2015-2023)
2024,AIRUNO,Airuno,1320.0,183.3333333333333,Frequentazione stazioni SFR (2024-2025)
2025,AIRUNO,Airuno,1860.0,258.33333333333337,Frequentazione stazioni SFR (2024-2025)
2015,CERNUSCO-MERATE,Cernusco-Merate,1530.0,101.32450331125828,Flussi Stazioni Ferroviarie (2015-2023)
2016,CERNUSCO-MERATE,Cernusco-Merate,1470.0,97.35099337748343,Flussi Stazioni Ferroviarie (2015-2023)
2017,CERNUSCO-MERATE,Cernusco-Merate,1690.0,111.92052980132448,Flussi Stazioni Ferroviarie (2015-2023)
2018,CERNUSCO-MERATE,Cernusco-Merate,1640.0,108.6092715231788,Flussi Stazioni Ferroviarie (2015-2023)
2019,CERNUSCO-MERATE,Cernusco-Merate,1510.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,CERNUSCO-MERATE,Cernusco-Merate,410.0,27.1523178807947,Flussi Stazioni Ferroviarie (2015-2023)
2021,CERNUSCO-MERATE,Cernusco-Merate,1410.0,93.3774834437086,Flussi Stazioni Ferroviarie (2015-2023)
2022,CERNUSCO-MERATE,Cernusco-Merate,1330.0,88.0794701986755,Flussi Stazioni Ferroviarie (2015-2023)
2023,CERNUSCO-MERATE,Cernusco-Merate,1890.0,125.16556291390728,Flussi Stazioni Ferroviarie (2015-2023)
2024,CERNUSCO-MERATE,Cernusco-Merate,2100.0,139.0728476821192,Frequentazione stazioni SFR (2024-2025)
2025,CERNUSCO-MERATE,Cernusco-Merate,2620.0,173.50993377483442,Frequentazione stazioni SFR (2024-2025)
2015,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1560.0,109.85915492957749,Flussi Stazioni Ferroviarie (2015-2023)
2016,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1410.0,99.29577464788731,Flussi Stazioni Ferroviarie (2015-2023)
2017,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1480.0,104.22535211267603,Flussi Stazioni Ferroviarie (2015-2023)
2018,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1550.0,109.1549295774648,Flussi Stazioni Ferroviarie (2015-2023)
2019,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1420.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,380.0,26.76056338028169,Flussi Stazioni Ferroviarie (2015-2023)
2021,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1080.0,76.05633802816901,Flussi Stazioni Ferroviarie (2015-2023)
2022,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1300.0,91.54929577464787,Flussi Stazioni Ferroviarie (2015-2023)
2023,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1660.0,116.90140845070422,Flussi Stazioni Ferroviarie (2015-2023)
2024,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,1830.0,128.8732394366197,Frequentazione stazioni SFR (2024-2025)
2025,OLGIATE-CALCO-BRIVIO,Olgiate-Calco-Brivio,2400.0,169.01408450704224,Frequentazione stazioni SFR (2024-2025)
2015,OSNAGO,Osnago,790.0,81.44329896907216,Flussi Stazioni Ferroviarie (2015-2023)
2016,OSNAGO,Osnago,870.0,89.69072164948454,Flussi Stazioni Ferroviarie (2015-2023)
2017,OSNAGO,Osnago,890.0,91.75257731958764,Flussi Stazioni Ferroviarie (2015-2023)
2018,OSNAGO,Osnago,1000.0,103.09278350515464,Flussi Stazioni Ferroviarie (2015-2023)
2019,OSNAGO,Osnago,970.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,OSNAGO,Osnago,260.0,26.804123711340207,Flussi Stazioni Ferroviarie (2015-2023)
2021,OSNAGO,Osnago,800.0,82.4742268041237,Flussi Stazioni Ferroviarie (2015-2023)
2022,OSNAGO,Osnago,890.0,91.75257731958764,Flussi Stazioni Ferroviarie (2015-2023)
2023,OSNAGO,Osnago,1260.0,129.89690721649484,Flussi Stazioni Ferroviarie (2015-2023)
2024,OSNAGO,Osnago,1590.0,163.91752577319588,Frequentazione stazioni SFR (2024-2025)
2025,OSNAGO,Osnago,2100.0,216.49484536082477,Frequentazione stazioni SFR (2024-2025)
