dataset_id,ente_fonte,url_ufficiale,data_accesso,anno_riferimento,licenza,filepath_locale,sha256_hash,dimensione_bytes,stato_epistemico,trasformazioni,note_provenance
istat_limiti_comunali_2026,ISTAT,https://www.istat.it/storage/cartografia/confini_amministrativi/non_generalizzati/2026/Limiti01012026.zip,2026-09-02,2026,CC BY 3.0 IT,data/raw/boundaries/comuni_core_istat_2026.geojson,7008e5380b28c865bf2e503b605700700a6d2959925f91fdde2b1435e00033f9,79275,FACT,Filtro per codici PRO_COM_T dei 5 comuni core ed esportazione GeoJSON/Shapefile WGS84 EPSG:4326,"Confini amministrativi ufficiali WGS84 per Olgiate, Calco, Brivio, S.Maria Hoè, La Valletta Brianza"
worldpop_ita_2020_unadj_national,WorldPop (University of Southampton),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ITA/ita_ppp_2020_UNadj.tif,2026-09-02,2020,CC BY 4.0,data/raw/worldpop/ita_ppp_2020_UNadj.tif,a9f9743a08f73e714722ecd54db5e9bb4968bec4a9f88d8f1782c6f7ba1dcea8,160705122,FACT,"Nessuna (GeoTIFF nazionale 100m unconstrained UN-adjusted originale, 3 arc-second)","Raster nazionale WorldPop 100m originale (160.705.122 bytes, 14268x13919 celle)"
worldpop_core_unadj_clipped,WorldPop / Elaborazione ISTAT boundaries,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ITA/ita_ppp_2020_UNadj.tif,2026-09-02,2020,CC BY 4.0,data/raw/worldpop/worldpop_core_unadj_raw.tif,a441578ca49c2e55fba8e6c474301cb91e78e3bf6bc0aca97cf425e698ea3db2,56293,DERIVED,Ritaglio spaziale deterministico rasterio.mask sui poligoni ISTAT 2026 dei 5 comuni core,"Ritaglio esatto sui confini amministrativi dei 5 comuni core (4.283 celle popolate, ~65mx93m cella) senza modifiche sintetiche"
copernicus_dem_glo30_tile_n45_e009,European Space Agency (ESA) / Copernicus Open Data,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N45_00_E009_00_DEM/Copernicus_DSM_COG_10_N45_00_E009_00_DEM.tif,2026-09-02,2021,Copernicus Sentinel data / Copernicus DEM Licence (free and open access; attribution: Produced using Copernicus WorldDEM-30 © DLR e.V. 2010-2014 and © Airbus Defence and Space GmbH 2014-2018),data/raw/dem/Copernicus_DSM_COG_10_N45_00_E009_00_DEM.tif,fb357e36d4f0ebea0c96cec7793c686506bb6aaeb34b92d464b46f05889f824d,44155932,FACT,"Nessuna (Tile DEM COG GLO-30 originale a 30m di risoluzione, 3600x3600 pixel)","Tile DEM COG GLO-30 a 30m di risoluzione latitudine 45N-46N, longitudine 9E-10E (44.155.932 bytes)"
copernicus_dem_core_clipped,Copernicus / Elaborazione ISTAT boundaries,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N45_00_E009_00_DEM/Copernicus_DSM_COG_10_N45_00_E009_00_DEM.tif,2026-09-02,2021,Copernicus Sentinel data / Copernicus DEM Licence (free and open access; attribution: Produced using Copernicus WorldDEM-30 © DLR e.V. 2010-2014 and © Airbus Defence and Space GmbH 2014-2018),data/raw/dem/copernicus_dem_core_raw.tif,14bbb5eb6cca940426f27bd65732600f20a911418237e890b3677d6ff8186398,491980,DERIVED,Ritaglio spaziale deterministico rasterio.mask sui poligoni ISTAT 2026,"Elevazione reale 30m campionata sui 5 comuni core (quota da 0 a 699,5 m s.l.m.) per pendenze pedonali e profili percorsi"
istat_matrice_pendolarismo_2011_core,ISTAT (15° Censimento Generale Popolazione),https://www.istat.it/storage/cartografia/matrici_pendolarismo/matrici_pendolarismo_2011.zip,2026-09-02,2011,IODL 2.0,data/raw/od/matrice_pendolarismo_istat_2011_core.csv,131cc7e5070aecb7c362eb241c1d3454d72b161a899b5d80ac72f55bb4413075,94380,FACT,Estrazione deterministica dei record di tipo S con origine o destinazione nei 5 comuni core dal file censuario a tracciato fisso,"Flussi di spostamento sistematici lavoro e studio reali 2011 (Brivio 2.567, Calco 3.020, Olgiate 3.329, La Valletta 2.235, S.Maria Hoè 1.282)"
trenord_gtfs_ufficiale_lombardia,Trenord / Regione Lombardia Open Data,https://dati.lombardia.it/Mobilit-e-trasporti/Orario-Ferroviario-Regionale-Gtfs/3z4k-mxz9,2026-09-02,2026,CC BY 4.0,data/raw/gtfs/rail_trenord/trenord_gtfs.zip,b4296f145b42ccb35c26085470ff4b3fd5dffe533251c0aab312312a73820ad6,1660043,FACT,Download feed GTFS ufficiale da portale Socrata Open Data Regione Lombardia ed estrazione tabelle,Feed GTFS ufficiale Trenord con orari e fermate SFR S8 Milano-Lecco (stazione Olgiate S01514)
gtfs_arriva_addabus_inv_2025_2026,"Agenzia per il TPL del Bacino di Como, Lecco e Varese / Arriva Italia",https://www.tplcomoleccovarese.it/atpcolc/images/File%20GTFS%20inv.%202025-2026/GTFS%20invernale%202025-2026%20-%20Arriva%20Italia%20e%20Addabus.zip,2026-09-02,2026,Open Data Agenzia TPL (Pubblico Accesso),data/raw/gtfs/agency_arriva/GTFS_invernale_2025-2026_-_Arriva_Italia_e_Addabus.zip,f890c393b909a40ae9500ab5acba71166cdfc5af3d42be92f55a92d92927553b,4484693,FACT,Download feed GTFS ufficiale pubblicato nella sezione Open Data dell'Agenzia TPL ed estrazione tabelle,"Feed GTFS ufficiale orario invernale 2025-2026 Arriva Italia: contiene linee D184, D185, D150, D170 e fermate ufficiali con coordinate"
gtfs_lineelecco_inv_2025_2026,"Agenzia per il TPL del Bacino di Como, Lecco e Varese / Linee Lecco",https://www.tplcomoleccovarese.it/atpcolc/images/File%20GTFS%20inv.%202025-2026/GTFS%20invernale%202025-2026%20Linee%20Lecco.zip,2026-09-02,2026,Open Data Agenzia TPL (Pubblico Accesso),data/raw/gtfs/agency_lineelecco/GTFS_invernale_2025-2026_Linee_Lecco.zip,f9b902807a2b213caea8e97c7501bdbfcbe1f3fe6d97f21f947ac2ecc6063271,2510002,FACT,Download feed GTFS ufficiale pubblicato nella sezione Open Data dell'Agenzia TPL ed estrazione tabelle,Feed GTFS ufficiale orario invernale 2025-2026 Linee Lecco per rete contermine provinciale
osm_planet_pbf_extract,OpenStreetMap contributors (estratto bounding-box Protomaps / Geofabrik),https://download.geofabrik.de / https://protomaps.com/extracts,2026-09-02,2026,ODbL 1.0,"D:/Utente/Downloads/planet_8.872,45.469_9.833,45.883.osm.pbf",8c9e469581ef5df195b376eaf86236d7ba816f3c8ab09b3e00d3e06f7266ad83,103234768,FACT,"Estratto OSM PBF bounding-box [8.872E, 45.469N, 9.833E, 45.883N] snapshot Marzo 2026","Estratto planet PBF reale centrato sulle province di Lecco, Como e Brianza (103.234.768 bytes)"
