anchor_id,lon,lat,epistemic_status,source_type,source_detail,official_routes_serving,source_ids,osm_highways,osm_width_values,osm_lanes_values,corroborating_source_authority,corroborating_source_url,operational_evidence_url,operational_evidence_status
FS,9.403662947256066,45.72918776556806,FACT,OFFICIAL_TRENORD_GTFS_STATION,Olgiate-Calco-Brivio,S8_RAIL_INTERCHANGE,S01514,,,,,,,
SCARPONE,9.39021,45.731314999999995,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Olgiate Molgora - monticello scarpone,D184,300803;L00803,,,,,,,
ROVAGNATE,9.374692,45.7372335,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Rovagnate - la pesa,D184,300804;L00804,,,,,,,
PEREGO,9.3627,45.738525,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Perego - s.s. 342/via s.caterina,D184,300872;L00872,,,,,,,
SMARIA,9.3737,45.744308000000004,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,S.Maria Hoe',D184,300782;L00782,,,,,,,
RAVELLINO,9.368400000000001,45.77167333333333,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Ravellino;Ravellino - via san rocco,D155;D184,300194;300969;L00194,,,,,,,
CALCO,9.4123625,45.72496675,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Calco - via virgilio;Calco - via virgilio (pensilina asf),D148;D185,300397;300729;L00397;L00729,,,,,,,
BEVERATE,9.423083,45.7404585,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Brivio - beverate (cariplo),D150;D185,300086;L00086,,,,,,,
BRIVIO,9.445775000000001,45.741891499999994,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Brivio - capolinea,D148;D150;D185,300063;L00063,,,,,,,
ARLATE,9.444017,45.7235165,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Calco - arlate - (provinciale);Calco- arlate - (provinciale),D150;D170,300528;L00528,,,,,,,
CISANO,9.451325,45.739925,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Cisano - sosta,D185,300405;L00405,,,,,,,
CAPRINO,9.482125,45.7448165,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Caprino - piazza marconi,D185,300402;L00402,,,,,,,
CELANA,9.492143500000001,45.7501435,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,Celana,D185,300401;L00401,,,,,,,
MONDONICO,9.397851836619019,45.73641520324699,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,Via Mondonico,,193940014;193940016;193940018;193940019;193940021;193944877;193948935;193948936;239992891;61744591,unclassified,,,,,,
SAN_ZENO,9.407099337458824,45.73522284258008,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,Piazza San Zeno,,235445444,residential,,,,,,
CALCO_SUPERIORE,9.42786360193422,45.72534442976313,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,Via Calco Superiore,,136703679;656337619,unclassified,,,Comune di Calco,https://comune.calco.lc.it/wp-content/uploads/2025/04/Regolamento-per-lapplicazione-del-canone-patrimoniale-di-concessione-autorizzazione-o-esposizione-pubblicitaria-CANONE-UNICO-del-27.03.2023.pdf,https://www.merateonline.it/notizie/70813/calco-il-25-e-26-si-raggiungono-le-ville-in-navetta-aprono-le-porte-per-la-giornata-fai,SUPPORTING_EVIDENCE_ONLY_NOT_FULL_SIZE_BUS_PROOF
