station_id,station,mode,minutes,population_worldpop_2020,cells
S01515,Airuno,walk,5,534.3369140625,22
S01515,Airuno,walk,10,2058.718505859375,116
S01515,Airuno,walk,15,2923.2734375,237
S01515,Airuno,car,5,13200.830078125,1651
S01515,Airuno,car,10,87654.578125,10402
S01515,Airuno,car,15,211894.625,29885
S01514,Olgiate-Calco-Brivio,walk,5,784.724365234375,30
S01514,Olgiate-Calco-Brivio,walk,10,2477.66064453125,141
S01514,Olgiate-Calco-Brivio,walk,15,4579.28466796875,323
S01514,Olgiate-Calco-Brivio,car,5,24275.712890625,2883
S01514,Olgiate-Calco-Brivio,car,10,100767.125,14075
S01514,Olgiate-Calco-Brivio,car,15,294157.46875,38858
S01513,Cernusco-Merate,walk,5,253.19654846191406,16
S01513,Cernusco-Merate,walk,10,1723.677734375,120
S01513,Cernusco-Merate,walk,15,3911.2880859375,322
S01513,Cernusco-Merate,car,5,32879.58984375,3396
S01513,Cernusco-Merate,car,10,136639.546875,15899
S01513,Cernusco-Merate,car,15,361023.96875,41183
S01512,Osnago,walk,5,345.5260314941406,28
S01512,Osnago,walk,10,1763.8795166015625,126
S01512,Osnago,walk,15,4016.8583984375,327
S01512,Osnago,car,5,23309.1484375,2377
S01512,Osnago,car,10,137262.140625,13836
S01512,Osnago,car,15,343529.625,37024
