candidate_id,family,direction,first_anchor,last_anchor,waypoint_count,assumption_waypoint_count,source_waypoints_sha256,epistemic_status
EAST_CALCO_SUPERIORE_SENSITIVITY_CCW,EAST_CALCO_SUPERIORE_SENSITIVITY,CCW,FS,FS,7,1,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
EAST_CALCO_SUPERIORE_SENSITIVITY_CW,EAST_CALCO_SUPERIORE_SENSITIVITY,CW,FS,FS,7,1,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
EAST_CAPRINO_CELANA_EXTENSION,EAST_CAPRINO_CELANA_EXTENSION,SENSITIVITY,FS,FS,9,0,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
EAST_COMPACT_ARLATE_CCW,EAST_COMPACT_ARLATE,CCW,FS,FS,6,0,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
EAST_COMPACT_ARLATE_CW,EAST_COMPACT_ARLATE,CW,FS,FS,6,0,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
EAST_D185_CORRIDOR_OUT_AND_BACK,NON_LOOP_EXISTING_CORRIDOR,OUT_AND_BACK,FS,FS,7,0,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
WEST_COMPACT_MONDONICO_CCW,WEST_COMPACT_MONDONICO,CCW,FS,FS,7,1,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
WEST_COMPACT_MONDONICO_CW,WEST_COMPACT_MONDONICO,CW,FS,FS,7,1,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
WEST_D184_CORRIDOR_OUT_AND_BACK,NON_LOOP_EXISTING_CORRIDOR,OUT_AND_BACK,FS,FS,11,0,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
WEST_RAVELLINO_EXTENSION,WEST_RAVELLINO_EXTENSION,SENSITIVITY,FS,FS,8,1,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
WEST_SAN_ZENO_SENSITIVITY,WEST_SAN_ZENO_SENSITIVITY,SENSITIVITY,FS,FS,8,2,a8bf8fe133590230b4cd063b58c3332d27243c11b501c160979a2e1a94de054b,DERIVED
