cell_id,lat,lon,elevation_m,comune,frazione,pop_raw,pop_calibrated
CELL_00001,45.71,9.4174,264.4,Calco,Arlate,5.058,0.98
CELL_00002,45.71,9.4187,261.1,Calco,Arlate,5.898,1.14
CELL_00003,45.71,9.42,268.9,Calco,Arlate,7.075,1.37
CELL_00004,45.71,9.4213,257.5,Calco,Arlate,8.333,1.61
CELL_00005,45.71,9.4226,261.9,Calco,Arlate,9.972,1.93
CELL_00006,45.71,9.4239,263.9,Calco,Arlate,11.558,2.23
CELL_00007,45.71,9.4252,269.8,Calco,Arlate,13.141,2.54
CELL_00008,45.71,9.4265,258.5,Calco,Arlate,15.049,2.91
CELL_00009,45.71,9.4278,265.3,Calco,Arlate,16.724,3.23
CELL_00010,45.71,9.4291,260.8,Calco,Arlate,17.902,3.46
CELL_00011,45.71,9.4304,262.5,Calco,Arlate,18.986,3.67
CELL_00012,45.71,9.4317,265.0,Calco,Arlate,19.451,3.76
CELL_00013,45.71,9.433,260.9,Calco,Arlate,19.628,3.79
CELL_00014,45.71,9.4343,260.8,Calco,Arlate,18.766,3.63
CELL_00015,45.71,9.4356,263.7,Calco,Arlate,17.661,3.41
CELL_00016,45.71,9.4369,265.6,Calco,Arlate,16.002,3.09
CELL_00017,45.71,9.4382,263.1,Calco,Arlate,14.371,2.78
CELL_00018,45.71,9.4395,262.6,Calco,Arlate,12.464,2.41
CELL_00019,45.71,9.4408,266.5,Calco,Arlate,11.04,2.13
CELL_00020,45.71,9.4421,256.1,Calco,Arlate,9.456,1.83
CELL_00021,45.71,9.4434,265.3,Calco,Arlate,7.748,1.5
CELL_00022,45.71,9.4447,263.1,Calco,Arlate,6.872,1.33
CELL_00023,45.71,9.446,264.2,Calco,Arlate,5.544,1.07
CELL_00024,45.71,9.4473,265.3,Calco,Arlate,4.557,0.88
CELL_00025,45.7109,9.4161,272.0,Calco,Arlate,4.646,0.9
CELL_00026,45.7109,9.4174,264.6,Calco,Arlate,5.683,1.1
CELL_00027,45.7109,9.4187,265.8,Calco,Arlate,6.587,1.27
CELL_00028,45.7109,9.42,258.2,Calco,Arlate,8.226,1.59
CELL_00029,45.7109,9.4213,263.3,Calco,Arlate,9.607,1.86
CELL_00030,45.7109,9.4226,269.2,Calco,Arlate,11.418,2.21
CELL_00031,45.7109,9.4239,259.5,Calco,Arlate,13.4,2.59
CELL_00032,45.7109,9.4252,261.4,Calco,Arlate,15.653,3.02
CELL_00033,45.7109,9.4265,263.2,Calco,Arlate,17.828,3.44
CELL_00034,45.7109,9.4278,267.9,Calco,Arlate,20.245,3.91
CELL_00035,45.7109,9.4291,255.9,Calco,Arlate,22.324,4.31
CELL_00036,45.7109,9.4304,260.5,Calco,Arlate,23.645,4.57
CELL_00037,45.7109,9.4317,261.0,Calco,Arlate,24.247,4.68
CELL_00038,45.7109,9.433,262.1,Calco,Arlate,24.141,4.66
CELL_00039,45.7109,9.4343,264.6,Calco,Arlate,23.004,4.44
CELL_00040,45.7109,9.4356,268.4,Calco,Arlate,21.388,4.13
CELL_00041,45.7109,9.4369,258.3,Calco,Arlate,19.256,3.72
CELL_00042,45.7109,9.4382,260.4,Calco,Arlate,16.912,3.27
CELL_00043,45.7109,9.4395,260.1,Calco,Arlate,14.635,2.83
CELL_00044,45.7109,9.4408,261.6,Calco,Arlate,12.722,2.46
CELL_00045,45.7109,9.4421,262.2,Calco,Arlate,10.525,2.03
CELL_00046,45.7109,9.4434,263.9,Calco,Arlate,9.111,1.76
