cell_id,lat,lon,elevation_m,comune,frazione,pop_raw,pop_calibrated,nearest_stop_id,nearest_stop_dist_m,walk_min_std,walk_min_slope
CELL_00001,45.71,9.4174,264.4,Calco,Arlate,5.058,0.98,S_ARLATE,1681.9,21.02,21.05
CELL_00002,45.71,9.4187,261.1,Calco,Arlate,5.898,1.14,S_ARLATE,1576.2,19.7,19.87
CELL_00003,45.71,9.42,268.9,Calco,Arlate,7.075,1.37,S_ARLATE,1473.7,18.42,18.25
CELL_00004,45.71,9.4213,257.5,Calco,Arlate,8.333,1.61,S_ARLATE,1375.1,17.19,17.52
CELL_00005,45.71,9.4226,261.9,Calco,Arlate,9.972,1.93,S_ARLATE,1281.4,16.02,16.15
CELL_00006,45.71,9.4239,263.9,Calco,Arlate,11.558,2.23,S_ARLATE,1193.7,14.92,14.97
CELL_00007,45.71,9.4252,269.8,Calco,Arlate,13.141,2.54,S_ARLATE,1113.4,13.92,13.71
CELL_00008,45.71,9.4265,258.5,Calco,Arlate,15.049,2.91,S_ARLATE,1042.3,13.03,13.32
CELL_00009,45.71,9.4278,265.3,Calco,Arlate,16.724,3.23,S_ARLATE,982.3,12.28,12.27
CELL_00010,45.71,9.4291,260.8,Calco,Arlate,17.902,3.46,S_ARLATE,935.6,11.7,11.88
CELL_00011,45.71,9.4304,262.5,Calco,Arlate,18.986,3.67,S_ARLATE,904.3,11.3,11.41
CELL_00012,45.71,9.4317,265.0,Calco,Arlate,19.451,3.76,S_ARLATE,890.0,11.12,11.12
CELL_00013,45.71,9.433,260.9,Calco,Arlate,19.628,3.79,S_ARLATE,893.4,11.17,11.35
CELL_00014,45.71,9.4343,260.8,Calco,Arlate,18.766,3.63,S_ARLATE,914.4,11.43,11.62
CELL_00015,45.71,9.4356,263.7,Calco,Arlate,17.661,3.41,S_ARLATE,951.9,11.9,11.96
CELL_00016,45.71,9.4369,265.6,Calco,Arlate,16.002,3.09,S_ARLATE,1003.9,12.55,12.52
CELL_00017,45.71,9.4382,263.1,Calco,Arlate,14.371,2.78,S_ARLATE,1068.4,13.36,13.44
CELL_00018,45.71,9.4395,262.6,Calco,Arlate,12.464,2.41,S_ARLATE,1143.3,14.29,14.4
