service_id,date,exception_type
000AFEST2026010120260608000002,20260101,1
000IF6IL2026010120260608000002,20260101,1
000IFEST2026010120260608000002,20260101,1
00A8F5NA2026010120260608000002,20260101,1
000AF-2.2026010120260608000002,20260102,1
000AFER52026010120260608000002,20260102,1
000AFER62026010120260608000002,20260102,1
000IF6IL2026010120260608000002,20260102,1
000IFER52026010120260608000002,20260102,1
000IFER62026010120260608000002,20260102,1
00A8F5NA2026010120260608000002,20260102,1
00A8F6LC2026010120260608000002,20260102,1
00A8F6NA2026010120260608000002,20260102,1
00VIFER52026010120260608000002,20260102,1
00VIFER62026010120260608000002,20260102,1
00VSF5NR2026010120260608000002,20260102,1
00VSFER52026010120260608000002,20260102,1
00VSFER62026010120260608000002,20260102,1
0O-4FER52026010120260608000002,20260102,1
VS-4FER62026010120260608000002,20260102,1
000AF-2.2026010120260608000002,20260103,1
000AFER62026010120260608000002,20260103,1
000IF6IL2026010120260608000002,20260103,1
000IFER62026010120260608000002,20260103,1
000IFSAB2026010120260608000002,20260103,1
00A8F6LC2026010120260608000002,20260103,1
00A8F6NA2026010120260608000002,20260103,1
00VIFER62026010120260608000002,20260103,1
00VIFSAB2026010120260608000002,20260103,1
00VSFER62026010120260608000002,20260103,1
VS-4FER62026010120260608000002,20260103,1
VS-4FSAB2026010120260608000002,20260103,1
000AFEST2026010120260608000002,20260104,1
000IFEST2026010120260608000002,20260104,1
000AF-2.2026010120260608000002,20260105,1
000AFER52026010120260608000002,20260105,1
000AFER62026010120260608000002,20260105,1
000IF6IL2026010120260608000002,20260105,1
000IFER52026010120260608000002,20260105,1
000IFER62026010120260608000002,20260105,1
00A8F5NA2026010120260608000002,20260105,1
00A8F6LC2026010120260608000002,20260105,1
00A8F6NA2026010120260608000002,20260105,1
00VIFER52026010120260608000002,20260105,1
00VIFER62026010120260608000002,20260105,1
00VSF5NR2026010120260608000002,20260105,1
00VSFER52026010120260608000002,20260105,1
00VSFER62026010120260608000002,20260105,1
0O-4FER52026010120260608000002,20260105,1
VS-4FER62026010120260608000002,20260105,1
000AFEST2026010120260608000002,20260106,1
000IF6IL2026010120260608000002,20260106,1
000IFEST2026010120260608000002,20260106,1
00A8F5NA2026010120260608000002,20260106,1
000AF-2.2026010120260608000002,20260107,1
000AFER52026010120260608000002,20260107,1
000AFER62026010120260608000002,20260107,1
000IF6IL2026010120260608000002,20260107,1
000IFER52026010120260608000002,20260107,1
000IFER62026010120260608000002,20260107,1
000SF-1.2026010120260608000002,20260107,1
000SF1352026010120260608000002,20260107,1
000SFER52026010120260608000002,20260107,1
000SFER62026010120260608000002,20260107,1
00A7F5NR2026010120260608000002,20260107,1
00A7F6NR2026010120260608000002,20260107,1
00A8F5NA2026010120260608000002,20260107,1
00A8F6LC2026010120260608000002,20260107,1
00A8F6NA2026010120260608000002,20260107,1
0O-4FER52026010120260608000002,20260107,1
000AF-2.2026010120260608000002,20260108,1
000AFER52026010120260608000002,20260108,1
