trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A2013327-0002-30140,6:00:00,6:00:00,300006,1,Premana - piazza chiesa,0,0,0.000
A2013327-0002-30140,6:05:00,6:05:00,300007,2,Premana - piazza chiesa,0,0,2.383
A2013327-0002-30140,6:07:00,6:07:00,300018,3,Premana - piazza chiesa,0,0,3.084
A2013327-0002-30140,6:09:00,6:09:00,300010,4,Premana - piazza chiesa,0,0,3.897
A2013327-0002-30140,6:11:00,6:11:00,300464,5,Premana - piazza chiesa,0,0,4.786
A2013327-0002-30140,6:12:00,6:12:00,300012,6,Premana - piazza chiesa,0,0,5.500
A2013327-0002-30140,6:13:00,6:13:00,300013,7,Premana - piazza chiesa,0,0,6.332
A2013327-0002-30140,6:20:00,6:20:00,300014,8,Premana - piazza chiesa,0,0,8.629
A2013327-0002-30140,6:22:00,6:22:00,300015,9,Premana - piazza chiesa,0,0,9.674
A2013327-0002-30140,6:24:00,6:24:00,300896,10,Premana - piazza chiesa,0,0,10.327
A2013327-0002-30140,6:25:00,6:25:00,300017,11,,0,0,10.889
A2013327-0042-30444,13:05:00,13:05:00,300198,1,Annone Brianza - posta,0,0,0.000
A2013327-0042-30444,13:06:00,13:06:00,300422,2,Annone Brianza - posta,0,0,0.565
A2013327-0042-30444,13:07:00,13:07:00,300620,3,Annone Brianza - posta,0,0,1.264
A2013327-0042-30444,13:08:00,13:08:00,300621,4,Annone Brianza - posta,0,0,1.818
A2013327-0042-30444,13:09:00,13:09:00,300622,5,Annone Brianza - posta,0,0,2.143
A2013327-0042-30444,13:09:10,13:09:10,300424,6,Annone Brianza - posta,0,0,2.378
A2013327-0042-30444,13:11:00,13:11:00,300425,7,Annone Brianza - posta,0,0,2.746
A2013327-0042-30444,13:11:10,13:11:10,300624,8,Annone Brianza - posta,0,0,3.033
A2013327-0042-30444,13:12:00,13:12:00,300427,9,Annone Brianza - posta,0,0,4.502
A2013327-0042-30444,13:13:00,13:13:00,300199,10,,0,0,4.998
A2013327-0069-30933,13:05:00,13:05:00,L00350,1,Oggiono - stazione f.s.,0,0,0.000
A2013327-0069-30933,13:07:00,13:07:00,L00434,2,Oggiono - stazione f.s.,0,0,0.830
A2013327-0069-30933,13:10:00,13:10:00,L00349,3,Oggiono - stazione f.s.,0,0,2.307
A2013327-0069-30933,13:12:00,13:12:00,L00335,4,Oggiono - stazione f.s.,0,0,4.673
A2013327-0069-30933,13:13:00,13:13:00,L00347,5,Oggiono - stazione f.s.,0,0,4.924
A2013327-0069-30933,13:16:00,13:16:00,L00423,6,Oggiono - stazione f.s.,0,0,6.827
A2013327-0069-30933,13:17:00,13:17:00,300071,7,,0,0,7.722
A2013327-0022-31712,10:45:00,10:45:00,300860,1,Monte Marenzo - bisone,0,0,0.000
A2013327-0022-31712,10:46:00,10:46:00,300100,2,Monte Marenzo - bisone,0,0,0.335
A2013327-0022-31712,10:47:00,10:47:00,300861,3,Monte Marenzo - bisone,0,0,0.996
A2013327-0022-31712,10:48:00,10:48:00,300857,4,Monte Marenzo - bisone,0,0,1.191
A2013327-0022-31712,10:49:00,10:49:00,300862,5,Monte Marenzo - bisone,0,0,1.366
A2013327-0022-31712,10:51:00,10:51:00,300856,6,Monte Marenzo - bisone,0,0,1.722
