stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
100005,100005,Brivio - s.s. briantea,"",45.734640,9.422710,300063,0,
300001,300001,Varenna - bivio per esino,"",46.015117,9.284617,300001,0,
300002,300002,Bellano - stazione f.s.,"",46.039680,9.302660,300002,0,
300003,300003,Bellano - bonzeno,"",46.040667,9.306717,300003,0,
300004,300004,Bellano - Portone,"",46.023950,9.331450,300004,0,
300005,300005,Taceno - tartavalle,"",46.022967,9.358733,300005,0,
300006,300006,Taceno - via roma (municipio),"",46.023167,9.363950,300006,0,
300007,300007,Crandola valsassina - vegno,"",46.026550,9.376017,300009,0,
300009,300009,Crandola valsassina - piazza,"",46.022667,9.378850,300009,0,
300010,300010,Casargo - codesino,"",46.036017,9.385017,300010,0,
300012,300012,Casargo - somadino,"",46.044400,9.391283,300012,0,
300013,300013,Casargo - piazzo,"",46.050150,9.397000,300013,0,
300014,300014,Premana - ponte di premana,"",46.050917,9.417917,300017,0,
300015,300015,Premana - bivio pagnona,"",46.055883,9.408117,300017,0,
300016,300016,Pagnona - piazza,"",46.059400,9.404250,300016,0,
300017,300017,Premana - piazza chiesa,"",46.052970,9.421080,300017,0,
300018,300018,Margno - piazza,"",46.030600,9.380283,300018,0,
300020,300020,Lecco - ponte vecchio,"",45.846333,9.392933,300051,0,
300021,300021,Pescate - cariboni,"",45.839250,9.395283,300077,0,
300023,300023,Lecco - cinema v. cost.,"",45.851970,9.390910,300051,0,
300024,300024,Dervio - municipio,"",46.076450,9.306550,300024,0,
300025,300025,Dervio - corenno plinio,"",46.089580,9.311420,300025,0,
300026,300026,Dorio - municipio,"",46.101040,9.317860,300026,0,
300027,300027,Dorio - rist. crottino,"",46.114120,9.317370,300026,0,
300028,300028,Dervio - castello,"",46.077133,9.312083,300028,0,
300029,300029,Vestreno - belvedere,"",46.080100,9.316700,300030,0,
300030,300030,Vestreno - via roma,"",46.083060,9.322540,300030,0,
300031,300031,Sueglio - bivio sueglio,"",46.082933,9.333000,300032,0,
300032,300032,Sueglio - municipio,"",46.085233,9.331800,300032,0,
300033,300033,Introzzo - via roma,"",46.080590,9.341230,300033,0,
300034,300034,Tremenico,"",46.075060,9.365880,300034,0,
300038,300038,Garlate - cimitero,"",45.811083,9.398717,300038,0,
300040,300040,Garlate - greppi,"",45.817833,9.396500,300040,0,
300042,300042,Bellano - casa fanfani,"",46.044650,9.308117,300002,0,
300043,300043,Bellano - lezzeno santuario,"",46.046533,9.310233,300043,0,
300044,300044,Bellano - pradello,"",46.043750,9.315983,300044,0,
300045,300045,Vendrogno,"",46.033767,9.331350,300045,0,
300048,300048,Olginate - pesci vivi,"",45.793633,9.416217,300048,0,
300051,300051,LECCO FS-MONTELLO FRONTE FS,"",45.855930,9.392950,300051,0,
300059,300059,Calolziocorte - ponte nuovo,"",45.793633,9.437200,300067,0,
300062,300062,Cisano - bivio brivio,"",45.740850,9.470500,300485,0,
300063,300063,Brivio - capolinea,"",45.741333,9.445700,300063,0,
300064,300064,Garlate - scuole,"",45.807000,9.401367,300064,0,
300065,300065,Olginate - a.s.l.,"",45.798133,9.414383,300065,0,
300066,300066,Lecco - ist.badoni,"",45.852050,9.400650,300051,0,
