route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
D127,000SFER62026010120260608000002,A2013327-0002-30140,Premana - piazza chiesa,0002,0,,+++D27++021
D155,000SFER62026010120260608000002,A2013327-0042-30444,Annone Brianza - posta,0042,0,,+++D55++131
D160,00VIFER52026010120260608000002,A2013327-0069-30933,Oggiono - stazione f.s.,0069,1,,+++D60++082
VCB,000AFER62026010120260608000002,A2013327-0022-31712,Monte Marenzo - bisone,0022,0,,+++CBI+++71
VCB,000AFER62026010120260608000002,A2013327-0025-31759,Vercurago - cimitero,0025,1,,+++CBI+++12
VCB,000AFER62026010120260608000002,A2013327-0029-31761,Vercurago - cimitero,0029,1,,+++CBI+++12
D155,000SFER62026010120260608000002,A2013327-0023-32258,Oggiono - via papa giovanni xXXIII,0023,1,,+++D55++432
D151,000IFER52026010120260608000002,A2013327-0040-32413,Galbiate - autostazione,0040,0,,+++LCO++301
D151,000IFER52026010120260608000002,A2013327-0041-32414,Lecco - ospedale manzoni,0041,1,,+++LCO++202
D140,000AFER62026010120260608000002,A2013327-0003-32511,Calolziocorte - stazione f.s.,0003,1,,+++D40++032
D170,000SFER62026010120260608000002,A2013327-0063-32799,Montevecchia - chiesa,0063,1,,+++D70++852
VCB,000AFER52026010120260608000002,A2013327-0001-32862,Vercurago - cimitero,0001,1,,+++CBI+++12
VCB,000AFER52026010120260608000002,A2013327-0002-32863,Calolziocorte - gerola capolinea arrivo,0002,0,,+++CBI++191
VCB,00VSFER62026010120260608000002,A2013327-0009-32868,Vercurago - cimitero,0009,1,,+++CBI++242
VCB,00VSFER62026010120260608000002,A2013327-0052-32869,Calolziocorte - gerola capolinea arrivo,0052,0,,+++CBI++211
VCB,00VSFER62026010120260608000002,A2013327-0017-32878,Vercurago - cimitero,0017,1,,+++CBI++202
VCB,00VSFER62026010120260608000002,A2013327-0016-32880,Monte Marenzo - bisone,0016,0,,+++CBI+++51
VCB,000IF6IL2026010120260608000002,A2013327-0020-32885,Monte Marenzo - bisone,0020,0,,+++CBI+++61
D151,00VSFER62026010120260608000002,A2013327-0004-32955,Valgreghentino - s.a.l.,0004,0,,+++LCO++391
D151,000AF-2.2026010120260608000002,A2013327-0034-32958,Valgreghentino - s.a.l.,0034,0,,+++LCO++391
D151,000SFER62026010120260608000002,A2013327-0010-32970,Valgreghentino - s.a.l.,0010,0,,+++LCO++371
D151,000AFER62026010120260608000002,A2013327-0044-32975,Valgreghentino - s.a.l.,0044,0,,+++LCO++371
D151,000IFER52026010120260608000002,A2013327-0032-32986,Valgreghentino - s.a.l.,0032,0,,+++LCO++441
