route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,F5SC,LL001100,"LECCO Laorca, Valpozza",LL001100,0,26i_A_N,L001A1,1,1
1,F5SC,LL001101,"LECCO Chiuso, Bergamo",LL001101,1,26i_B_N,L001R1,1,1
1,F5SC,LL001102,"LECCO Laorca, Valpozza",LL001102,0,26i_B_N,L001A2,1,1
1,F5SC,LL001103,"LECCO Chiuso, Bergamo",LL001103,1,26i_A_N,L001R2,1,1
1,F5SC,LL001104,"LECCO Laorca, Valpozza",LL001104,0,26i_A_N,L001A2,1,1
1,F5SC,LL001105,"LECCO Chiuso, Bergamo",LL001105,1,26i_B_N,L001R2,1,1
1,F5SC,LL001106,"LECCO Laorca, Valpozza",LL001106,0,26i_B_N,L001A2,1,1
1,F5SC,LL001107,"LECCO Chiuso, Bergamo",LL001107,1,26i_A_N,L001R2,1,1
1,F5SC,LL001108,"LECCO Laorca, Valpozza",LL001108,0,26i_D_N,L001A3,1,1
1,F5SC,LL001109,"VERCURAGO Cimitero",LL001109,1,26i_B_N,L001R3,1,1
1,F5SC,LL001110,"LECCO Laorca, Valpozza",LL001110,0,26i_A_N,L001A2,1,1
1,F5SC,LL001111,"VERCURAGO Cimitero",LL001111,1,26i_D_N,L001R3,1,1
1,F5SC,LL001112,"LECCO Laorca, Valpozza",LL001112,0,26i_B_N,L001A3,1,1
1,F5SC,LL001113,"LECCO Chiuso, Bergamo",LL001113,1,26i_A_N,L001R2,1,1
1,F5SC,LL001114,"LECCO Quarto",LL001114,0,26i_E_N,L001A4,1,1
1,F5SC,LL001115,"LECCO Pescarenico, C. Alberto",LL001115,1,26i_E_N,L001R4,1,1
1,F5SC,LL001116,"LECCO Laorca, Valpozza",LL001116,0,26i_C_N,L001A3,1,1
1,F5SC,LL001117,"VERCURAGO Cimitero",LL001117,1,26i_B_N,L001R3,1,1
1,F5SC,LL001118,"LECCO Quarto",LL001118,0,26i_D_N,L001A5,1,1
1,F5SC,LL001119,"LECCO Chiuso, Bergamo",LL001119,1,26i_C_N,L001R2,1,1
1,F5SC,LL001120,"LECCO Laorca, Valpozza",LL001120,0,26i_A_N,L001A2,1,1
1,F5SC,LL001121,"LECCO Chiuso, Bergamo",LL001121,1,26i_D_N,L001R6,1,1
1,F5SC,LL001122,"LECCO Laorca, Valpozza",LL001122,0,26i_B_N,L001A3,1,1
1,F5SC,LL001123,"LECCO Chiuso, Bergamo",LL001123,1,26i_A_N,L001R2,1,1
1,F5SC,LL001124,"LECCO Laorca, Valpozza",LL001124,0,26i_C_N,L001A2,1,1
1,F5SC,LL001125,"LECCO Chiuso, Bergamo",LL001125,1,26i_B_N,L001R2,1,1
1,F5SC,LL001126,"LECCO Laorca, Valpozza",LL001126,0,26i_D_N,L001A2,1,1
1,F5SC,LL001127,"VERCURAGO Cimitero",LL001127,1,26i_C_N,L001R3,1,1
1,F5SC,LL001128,"LECCO Quarto",LL001128,0,26i_A_N,L001A6,1,1
1,F5SC,LL001129,"VERCURAGO Cimitero",LL001129,1,26i_D_N,L001R3,1,1
1,F5SC,LL001130,"LECCO Laorca, Valpozza",LL001130,0,26i_B_N,L001A2,1,1
1,F5SC,LL001131,"VERCURAGO Cimitero",LL001131,1,26i_A_N,L001R5,1,1
1,F5SC,LL001132,"LECCO Quarto",LL001132,0,26i_C_N,L001A5,1,1
1,F5SC,LL001133,"VERCURAGO Cimitero",LL001133,1,26i_B_N,L001R3,1,1
1,F5SC,LL001134,"LECCO Laorca, Valpozza",LL001134,0,26i_D_N,L001A3,1,1
1,F5SC,LL001135,"LECCO Chiuso, Bergamo",LL001135,1,26i_C_N,L001R6,1,1
1,F5SC,LL001136,"LECCO Laorca, Valpozza",LL001136,0,26i_A_N,L001A3,1,1
1,F5SC,LL001137,"VERCURAGO Cimitero",LL001137,1,26i_D_N,L001R3,1,1
1,F5SC,LL001138,"LECCO Quarto",LL001138,0,26i_B_N,L001A5,1,1
1,F5SC,LL001139,"LECCO Chiuso, Bergamo",LL001139,1,26i_A_N,L001R2,1,1
1,F5SC,LL001140,"LECCO Laorca, Valpozza",LL001140,0,26i_C_N,L001A2,1,1
1,F5SC,LL001141,"VERCURAGO Cimitero",LL001141,1,26i_B_N,L001R5,1,1
1,F5SC,LL001142,"LECCO Laorca, Valpozza",LL001142,0,26i_D_N,L001A3,1,1
1,F5SC,LL001143,"LECCO Chiuso, Bergamo",LL001143,1,26i_C_N,L001R2,1,1
1,F5SC,LL001144,"LECCO Laorca, Valpozza",LL001144,0,26i_A_N,L001A2,1,1
1,F5SC,LL001145,"LECCO Chiuso, Bergamo",LL001145,1,26i_D_N,L001R2,1,1
1,F5SC,LL001146,"LECCO Laorca, Valpozza",LL001146,0,26i_B_N,L001A3,1,1
1,F5SC,LL001147,"LECCO Chiuso, Bergamo",LL001147,1,26i_A_N,L001R2,1,1
1,F5SC,LL001148,"LECCO Laorca, Valpozza",LL001148,0,26i_C_N,L001A2,1,1
1,F5SC,LL001149,"VERCURAGO Cimitero",LL001149,1,26i_B_N,L001R3,1,1
1,F5SC,LL001150,"LECCO Laorca, Valpozza",LL001150,0,26i_D_N,L001A2,1,1
1,F5SC,LL001151,"VERCURAGO Cimitero",LL001151,1,26i_C_N,L001R3,1,1
1,F5SC,LL001152,"LECCO Laorca, Valpozza",LL001152,0,26i_A_N,L001A2,1,1
1,F5SC,LL001153,"LECCO Chiuso, Bergamo",LL001153,1,26i_D_N,L001R2,1,1
1,F5SC,LL001154,"LECCO Quarto",LL001154,0,26i_B_N,L001A5,1,1
1,F5SC,LL001155,"VERCURAGO Cimitero",LL001155,1,26i_A_N,L001R3,1,1
1,F5SC,LL001156,"LECCO Laorca, Valpozza",LL001156,0,26i_C_N,L001A3,1,1
1,F5SC,LL001157,"LECCO Chiuso, Bergamo",LL001157,1,26i_B_N,L001R6,1,1
1,F5SC,LL001158,"LECCO Laorca, Valpozza",LL001158,0,26i_D_N,L001A2,1,1
1,F5SC,LL001159,"LECCO Chiuso, Bergamo",LL001159,1,26i_C_N,L001R2,1,1
1,F5SC,LL001160,"LECCO Quarto",LL001160,0,26i_A_N,L001A5,1,1
1,F5SC,LL001161,"VERCURAGO Cimitero",LL001161,1,26i_D_N,L001R3,1,1
1,F5SC,LL001162,"LECCO Laorca, Valpozza",LL001162,0,26i_B_N,L001A2,1,1
1,F5SC,LL001163,"LECCO Chiuso, Bergamo",LL001163,1,26i_A_N,L001R6,1,1
1,F5SC,LL001164,"LECCO Laorca, Valpozza",LL001164,0,26i_C_N,L001A2,1,1
1,F5SC,LL001165,"VERCURAGO Cimitero",LL001165,1,26i_B_N,L001R3,1,1
1,F5SC,LL001166,"LECCO Laorca, Valpozza",LL001166,0,26i_D_N,L001A3,1,1
1,F5SC,LL001167,"LECCO Chiuso, Bergamo",LL001167,1,26i_C_N,L001R2,1,1
1,F5SC,LL001168,"LECCO Laorca, Valpozza",LL001168,0,26i_A_N,L001A2,1,1
1,F5SC,LL001169,"LECCO Chiuso, Bergamo",LL001169,1,26i_D_N,L001R2,1,1
1,F5SC,LL001170,"LECCO Quarto",LL001170,0,26i_B_N,L001A5,1,1
1,F5SC,LL001171,"VERCURAGO Cimitero",LL001171,1,26i_A_N,L001R3,1,1
1,F5SC,LL001172,"LECCO Laorca, Valpozza",LL001172,0,26i_C_N,L001A2,1,1
1,F5SC,LL001173,"LECCO Chiuso, Bergamo",LL001173,1,26i_B_N,L001R6,1,1
1,F5SC,LL001174,"LECCO Laorca, Valpozza",LL001174,0,26i_D_N,L001A2,1,1
1,F5SC,LL001175,"VERCURAGO Cimitero",LL001175,1,26i_C_N,L001R3,1,1
1,F5SC,LL001176,"LECCO Laorca, Valpozza",LL001176,0,26i_A_N,L001A3,1,1
1,F5SC,LL001177,"VERCURAGO Cimitero",LL001177,1,26i_D_N,L001R3,1,1
1,F5SC,LL001178,"LECCO Laorca, Valpozza",LL001178,0,26i_B_N,L001A2,1,1
1,F5SC,LL001179,"LECCO Chiuso, Bergamo",LL001179,1,26i_A_N,L001R2,1,1
1,F5SC,LL001180,"LECCO Laorca, Valpozza",LL001180,0,26i_C_N,L001A3,1,1
1,F5SC,LL001181,"VERCURAGO Cimitero",LL001181,1,26i_B_N,L001R3,1,1
1,F5SC,LL001182,"LECCO Laorca, Valpozza",LL001182,0,26i_D_N,L001A3,1,1
1,F5SC,LL001183,"LECCO Chiuso, Bergamo",LL001183,1,26i_C_N,L001R2,1,1
1,F5SC,LL001184,"LECCO Laorca, Valpozza",LL001184,0,26i_A_N,L001A2,1,1
1,F5SC,LL001185,"LECCO Chiuso, Bergamo",LL001185,1,26i_D_N,L001R2,1,1
