trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TRIP_D184_OUT_01,06:42:00,06:42:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_01,06:45:00,06:45:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_01,06:49:00,06:49:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_01,06:53:00,06:53:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_01,06:55:00,06:55:00,S_PEREGO,5,0,0
TRIP_D184_OUT_01,07:05:00,07:05:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_01,07:12:00,07:12:00,S_RAVELLINO,7,0,0
TRIP_D184_OUT_02,13:37:00,13:37:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_02,13:40:00,13:40:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_02,13:44:00,13:44:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_02,13:48:00,13:48:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_02,13:50:00,13:50:00,S_PEREGO,5,0,0
TRIP_D184_OUT_02,14:00:00,14:00:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_02,14:07:00,14:07:00,S_RAVELLINO,7,0,0
TRIP_D184_OUT_03,14:37:00,14:37:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_03,14:40:00,14:40:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_03,14:44:00,14:44:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_03,14:48:00,14:48:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_03,14:50:00,14:50:00,S_PEREGO,5,0,0
TRIP_D184_OUT_03,15:00:00,15:00:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_03,15:07:00,15:07:00,S_RAVELLINO,7,0,0
TRIP_D184_OUT_04,17:37:00,17:37:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_04,17:40:00,17:40:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_04,17:44:00,17:44:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_04,17:48:00,17:48:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_04,17:50:00,17:50:00,S_PEREGO,5,0,0
TRIP_D184_OUT_04,18:00:00,18:00:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_04,18:07:00,18:07:00,S_RAVELLINO,7,0,0
TRIP_D184_OUT_05,18:37:00,18:37:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_05,18:40:00,18:40:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_05,18:44:00,18:44:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_05,18:48:00,18:48:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_05,18:50:00,18:50:00,S_PEREGO,5,0,0
TRIP_D184_OUT_05,19:00:00,19:00:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_05,19:07:00,19:07:00,S_RAVELLINO,7,0,0
TRIP_D184_OUT_06,19:37:00,19:37:00,S_OLGIATE_FS,1,0,0
TRIP_D184_OUT_06,19:40:00,19:40:00,S_OLGIATE_CENTRO,2,0,0
TRIP_D184_OUT_06,19:44:00,19:44:00,S_OLGIATE_SCARPONE,3,0,0
TRIP_D184_OUT_06,19:48:00,19:48:00,S_ROVAGNATE,4,0,0
TRIP_D184_OUT_06,19:50:00,19:50:00,S_PEREGO,5,0,0
TRIP_D184_OUT_06,20:00:00,20:00:00,S_SMARIA_CENTRO,6,0,0
TRIP_D184_OUT_06,20:07:00,20:07:00,S_RAVELLINO,7,0,0
TRIP_D184_IN_01,07:20:00,07:20:00,S_RAVELLINO,1,0,0
TRIP_D184_IN_01,07:27:00,07:27:00,S_GIOVENZANA,2,0,0
TRIP_D184_IN_01,07:32:00,07:32:00,S_SMARIA_CENTRO,3,0,0
TRIP_D184_IN_01,07:34:00,07:34:00,S_PEREGO,4,0,0
TRIP_D184_IN_01,07:38:00,07:38:00,S_ROVAGNATE,5,0,0
TRIP_D184_IN_01,07:42:00,07:42:00,S_OLGIATE_CENTRO,6,0,0
TRIP_D184_IN_01,07:44:00,07:44:00,S_OLGIATE_FS,7,0,0
TRIP_D184_IN_02,14:24:00,14:24:00,S_RAVELLINO,1,0,0
TRIP_D184_IN_02,14:31:00,14:31:00,S_GIOVENZANA,2,0,0
TRIP_D184_IN_02,14:36:00,14:36:00,S_SMARIA_CENTRO,3,0,0
TRIP_D184_IN_02,14:38:00,14:38:00,S_PEREGO,4,0,0
TRIP_D184_IN_02,14:42:00,14:42:00,S_ROVAGNATE,5,0,0
TRIP_D184_IN_02,14:46:00,14:46:00,S_OLGIATE_CENTRO,6,0,0
TRIP_D184_IN_02,14:48:00,14:48:00,S_OLGIATE_FS,7,0,0
TRIP_D184_IN_03,15:24:00,15:24:00,S_RAVELLINO,1,0,0
TRIP_D184_IN_03,15:31:00,15:31:00,S_GIOVENZANA,2,0,0
TRIP_D184_IN_03,15:36:00,15:36:00,S_SMARIA_CENTRO,3,0,0
TRIP_D184_IN_03,15:38:00,15:38:00,S_PEREGO,4,0,0
TRIP_D184_IN_03,15:42:00,15:42:00,S_ROVAGNATE,5,0,0
TRIP_D184_IN_03,15:46:00,15:46:00,S_OLGIATE_CENTRO,6,0,0
TRIP_D184_IN_03,15:48:00,15:48:00,S_OLGIATE_FS,7,0,0
TRIP_D184_IN_04,18:24:00,18:24:00,S_RAVELLINO,1,0,0
TRIP_D184_IN_04,18:31:00,18:31:00,S_GIOVENZANA,2,0,0
TRIP_D184_IN_04,18:36:00,18:36:00,S_SMARIA_CENTRO,3,0,0
TRIP_D184_IN_04,18:38:00,18:38:00,S_PEREGO,4,0,0
TRIP_D184_IN_04,18:42:00,18:42:00,S_ROVAGNATE,5,0,0
TRIP_D184_IN_04,18:46:00,18:46:00,S_OLGIATE_CENTRO,6,0,0
TRIP_D184_IN_04,18:48:00,18:48:00,S_OLGIATE_FS,7,0,0
TRIP_D184_IN_05,19:24:00,19:24:00,S_RAVELLINO,1,0,0
TRIP_D184_IN_05,19:31:00,19:31:00,S_GIOVENZANA,2,0,0
TRIP_D184_IN_05,19:36:00,19:36:00,S_SMARIA_CENTRO,3,0,0
TRIP_D184_IN_05,19:38:00,19:38:00,S_PEREGO,4,0,0
TRIP_D184_IN_05,19:42:00,19:42:00,S_ROVAGNATE,5,0,0
TRIP_D184_IN_05,19:46:00,19:46:00,S_OLGIATE_CENTRO,6,0,0
TRIP_D184_IN_05,19:48:00,19:48:00,S_OLGIATE_FS,7,0,0
TRIP_D185_STRUCT_OUT_01,07:15:00,07:15:00,S_OLGIATE_FS,1,0,0
TRIP_D185_STRUCT_OUT_01,07:20:00,07:20:00,S_CALCO_NAZ,2,0,0
TRIP_D185_STRUCT_OUT_01,07:23:00,07:23:00,S_BEVERATE,3,0,0
TRIP_D185_STRUCT_OUT_01,07:30:00,07:30:00,S_BRIVIO_CASTELLO,4,0,0
TRIP_D185_STRUCT_OUT_01,07:32:00,07:32:00,S_BRIVIO_PONTE,5,0,0
TRIP_D185_STRUCT_OUT_01,07:36:00,07:36:00,S_CISANO_SOSTA,6,0,0
TRIP_D185_STRUCT_OUT_01,07:42:00,07:42:00,S_CAPRINO_CENTRO,7,0,0
TRIP_D185_STRUCT_OUT_01,07:48:00,07:48:00,S_CELANA,8,0,0
TRIP_D185_STRUCT_OUT_02,09:05:00,09:05:00,S_OLGIATE_FS,1,0,0
TRIP_D185_STRUCT_OUT_02,09:10:00,09:10:00,S_CALCO_NAZ,2,0,0
TRIP_D185_STRUCT_OUT_02,09:13:00,09:13:00,S_BEVERATE,3,0,0
TRIP_D185_STRUCT_OUT_02,09:20:00,09:20:00,S_BRIVIO_CASTELLO,4,0,0
TRIP_D185_STRUCT_OUT_02,09:22:00,09:22:00,S_BRIVIO_PONTE,5,0,0
TRIP_D185_STRUCT_OUT_02,09:26:00,09:26:00,S_CISANO_SOSTA,6,0,0
TRIP_D185_STRUCT_OUT_02,09:32:00,09:32:00,S_CAPRINO_CENTRO,7,0,0
TRIP_D185_STRUCT_OUT_02,09:38:00,09:38:00,S_CELANA,8,0,0
TRIP_D185_STRUCT_OUT_03,13:35:00,13:35:00,S_OLGIATE_FS,1,0,0
TRIP_D185_STRUCT_OUT_03,13:40:00,13:40:00,S_CALCO_NAZ,2,0,0
TRIP_D185_STRUCT_OUT_03,13:43:00,13:43:00,S_BEVERATE,3,0,0
TRIP_D185_STRUCT_OUT_03,13:50:00,13:50:00,S_BRIVIO_CASTELLO,4,0,0
TRIP_D185_STRUCT_OUT_03,13:52:00,13:52:00,S_BRIVIO_PONTE,5,0,0
TRIP_D185_STRUCT_OUT_03,13:56:00,13:56:00,S_CISANO_SOSTA,6,0,0
TRIP_D185_STRUCT_OUT_03,14:02:00,14:02:00,S_CAPRINO_CENTRO,7,0,0
TRIP_D185_STRUCT_OUT_03,14:08:00,14:08:00,S_CELANA,8,0,0
TRIP_D185_STRUCT_OUT_04,16:35:00,16:35:00,S_OLGIATE_FS,1,0,0
