route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_01,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_02,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_03,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_04,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_05,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_OUT_06,Ravellino Capolinea,0,SHP_D184_OUT
D184,FERIALE_LUN_SAB,TRIP_D184_IN_01,Olgiate Molgora FS,1,SHP_D184_IN
D184,FERIALE_LUN_SAB,TRIP_D184_IN_02,Olgiate Molgora FS,1,SHP_D184_IN
D184,FERIALE_LUN_SAB,TRIP_D184_IN_03,Olgiate Molgora FS,1,SHP_D184_IN
D184,FERIALE_LUN_SAB,TRIP_D184_IN_04,Olgiate Molgora FS,1,SHP_D184_IN
D184,FERIALE_LUN_SAB,TRIP_D184_IN_05,Olgiate Molgora FS,1,SHP_D184_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_01,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_02,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_03,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_04,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_05,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_OUT_06,Celana Collegio,0,SHP_D185_OUT
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_01,Olgiate Molgora FS,1,SHP_D185_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_02,Olgiate Molgora FS,1,SHP_D185_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_03,Olgiate Molgora FS,1,SHP_D185_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_04,Olgiate Molgora FS,1,SHP_D185_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_05,Olgiate Molgora FS,1,SHP_D185_IN
D185,FERIALE_LUN_SAB,TRIP_D185_STRUCT_IN_06,Olgiate Molgora FS,1,SHP_D185_IN
