route_id,agency_id,route_short_name,route_long_name,route_color,route_text_color,route_type,route_url
TN_Unspecified_Line,1,Trenord (linea non specificata),Trenord (linea non specificata),006633,FFFFFF,2,
TN_Bus,1,TN Bus,TN Bus sostitutivi,006633,FFFFFF,3,
R23,1,R23,Domodossola-Arona-Gallarate-Milano,94C120,FFFFFF,3,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/domodossola-arona-gallarate-milano/?code=R23&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R23
RE_4,1,RE4,Domodossola-Milano,E40314,FFFFFF,3,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/domodossola-milano/?code=RE_4&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_4
RE_11,1,RE11,Mantova-Cremona-Codogno-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/mantova-cremona-codogno-milano/?code=RE_11&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_11
RE_2,1,RE2,Bergamo-Pioltello-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/bergamo-pioltello-milano/?code=RE_2&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_2
RE_13,1,RE13,Alessandria-Pavia-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/alessandria-pavia-milano/?code=RE_13&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_13
RE_5,1,RE5,Porto Ceresio-Varese-Gallarate-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/porto-ceresio-varese-gallarate-milano/?code=RE_5&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_5
RE_6,1,RE6,Verona-Brescia-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/verona-brescia-milano/?code=RE_6&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_6
R7,1,R7,Lecco-Bergamo,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/lecco-bergamo/?code=R7&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R7
RE_8,1,RE8,Tirano-Sondrio-Lecco-Milano,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/tirano-sondrio-lecco-milano/?code=RE_8&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_8
RE_51,1,RE51,Gallarate-Malpensa-Milano Centrale,E40314,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/gallarate-malpensa-milano-centrale/?code=RE_51&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_RE_51
R40,1,R40,Cremona-Mantova,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/cremona-mantova/?code=R40&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R40
R31,1,R31,Mortara-Milano,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/mortara-milano/?code=R31&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R31
R1,1,R1,Bergamo-Brescia,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/bergamo-brescia/?code=R1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R1
R11,1,R11,Colico-Chiavenna,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/colico-chiavenna/?code=R11&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R11
R13,1,R13,Lecco-Colico-Sondrio,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/lecco-colico-sondrio/?code=R13&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R13
R12,1,R12,Sondrio-Tirano,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/sondrio-tirano/?code=R12&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R12
R18,1,R18,Como-Molteno-Lecco,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/como-molteno-lecco/?code=R18&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R18
R34,1,R34,Stradella-Pavia-Milano,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/stradella-pavia-milano/?code=R34&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R34
R41,1,R41,Voghera-Piacenza,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/voghera-piacenza/?code=R41&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R41
R5,1,R5,Brescia-Cremona,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/brescia-cremona/?code=R5&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R5
R35,1,R35,Pavia-Torreberetti-Alessandria,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/pavia-torreberetti-alessandria/?code=R35&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R35
R6,1,R6,Cremona-Treviglio,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/cremona-treviglio/?code=R6&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R6
R36,1,R36,Pavia-Mortara-Vercelli,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/pavia-mortara-vercelli/?code=R36&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R36
R37,1,R37,Pavia-Codogno,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/pavia-codogno/?code=R37&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R37
R39,1,R39,Codogno-Cremona,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/codogno-cremona/?code=R39&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R39
R8,1,R8,Brescia-Piadena-Parma,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/brescia-piadena-parma/?code=R8&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R8
R38,1,R38,Piacenza-Lodi-Milano,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/piacenza-lodi-milano/?code=R38&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R38
R4,1,R4,Brescia-Treviglio-Milano,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/brescia-treviglio-milano/?code=R4&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R4
R25,1,R25,Novara-Mortara,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/novara-mortara/?code=R25&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R25
S5,1,S5,Varese-Milano Passante-Treviglio,f39123,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/varese-milano-passante-treviglio/?code=S5&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S5
R2,1,R2,Bergamo-Treviglio,94C120,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/bergamo-treviglio/?code=R2&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_R2
S1,1,S1,Saronno-Milano Passante-Lodi,e40520,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/saronno-milano-passante-lodi/?code=S1&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S1
S2,1,S2,Seveso-Milano Passante-Milano Rogoredo,009879,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/seveso-milano-passante-milano-rogoredo/?code=S2&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S2
S13,1,S13,Pavia-Milano Passante-Garbagnate Milanese,a76d11,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/pavia-milano-passante-garbagnate-milanese/?code=S13&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S13
S6,1,S6,Novara-Milano Passante-Treviglio,f6d200,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/novara-milano-passante-treviglio/?code=S6&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S6
S7,1,S7,Lecco-Molteno-Monza-Milano,e50071,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/lecco-molteno-monza-milano/?code=S7&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S7
S8,1,S8,Lecco-Carnate-Milano Porta Garibaldi,f6b6b6,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/lecco-carnate-milano-porta-garibaldi/?code=S8&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S8
S9,1,S9,Saronno-Seregno-Milano-Albairate,a2338a,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/saronno-seregno-milano-albairate/?code=S9&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S9
S11,1,S11,Como-Milano-Rho,a593c6,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/como-milano-rho/?code=S11&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S11
S10,1,S10,Biasca-Bellinzona-Lugano-Chiasso-Como S.Giovanni,e42313,FFFFFF,2,https://www.trenord.it/linee-e-orari/circolazione/le-nostre-linee/biasca-bellinzona-lugano-chiasso-como-sgiovanni/?code=S10&utm_source=google_maps&utm_medium=transit&utm_campaign=gtfs_routes&utm_content=route_S10
