trip_id,route_id,trip_short_name,service_id
1001A-2025-12-14-2026-12-12,TN_Bus,1001A,1001A-2025-12-14-2026-12-12
1006A-2026-07-06-2026-07-26,TN_Bus,1006A,1006A-2026-07-06-2026-07-26
1007A-2026-07-20-2026-07-26,TN_Bus,1007A,1007A-2026-07-20-2026-07-26
1009A-2025-12-15-2026-12-12,TN_Bus,1009A,1009A-2025-12-15-2026-12-12
1011A-2026-07-20-2026-07-26,TN_Bus,1011A,1011A-2026-07-20-2026-07-26
1012A-2026-07-20-2026-07-26,R23,R23 - 1012A,1012A-2026-07-20-2026-07-26
1013A-2026-07-20-2026-07-26,TN_Bus,1013A,1013A-2026-07-20-2026-07-26
1017A-2026-07-20-2026-07-26,RE_4,RE_4 - 1017A,1017A-2026-07-20-2026-07-26
101A-2025-12-14-2026-12-12,TN_Bus,101A,101A-2025-12-14-2026-12-12
102153-2026-06-14-2026-12-12,RE_11,RE_11 - 2153,102153-2026-06-14-2026-12-12
102154-2026-06-14-2026-12-12,RE_11,RE_11 - 2154,102154-2026-06-14-2026-12-12
102156-2026-06-14-2026-12-12,RE_11,RE_11 - 2156,102156-2026-06-14-2026-12-12
102157-2026-06-14-2026-12-12,RE_11,RE_11 - 2157,102157-2026-06-14-2026-12-12
102158-2026-06-14-2026-12-12,RE_11,RE_11 - 2158,102158-2026-06-14-2026-12-12
102159-2026-07-03-2026-12-12,RE_11,RE_11 - 2159,102159-2026-07-03-2026-12-12
102161-2026-06-26-2026-12-12,RE_11,RE_11 - 2161,102161-2026-06-26-2026-12-12
102162-2026-06-26-2026-12-12,RE_11,RE_11 - 2162,102162-2026-06-26-2026-12-12
102165-2026-06-17-2026-12-12,RE_11,RE_11 - 2165,102165-2026-06-17-2026-12-12
102166-2026-07-01-2026-12-12,RE_11,RE_11 - 2166,102166-2026-07-01-2026-12-12
102167-2026-06-14-2026-12-12,RE_11,RE_11 - 2167,102167-2026-06-14-2026-12-12
102168-2026-06-14-2026-12-12,RE_11,RE_11 - 2168,102168-2026-06-14-2026-12-12
102169-2026-06-14-2026-12-12,RE_11,RE_11 - 2169,102169-2026-06-14-2026-12-12
102170-2026-06-14-2026-12-12,RE_11,RE_11 - 2170,102170-2026-06-14-2026-12-12
102173-2026-06-14-2026-12-12,RE_11,RE_11 - 2173,102173-2026-06-14-2026-12-12
102174-2026-06-14-2026-12-12,RE_11,RE_11 - 2174,102174-2026-06-14-2026-12-12
102175-2026-06-14-2026-12-12,RE_11,RE_11 - 2175,102175-2026-06-14-2026-12-12
102176-2026-06-14-2026-12-12,RE_11,RE_11 - 2176,102176-2026-06-14-2026-12-12
102177-2026-06-14-2026-12-12,RE_11,RE_11 - 2177,102177-2026-06-14-2026-12-12
102178-2026-06-14-2026-12-12,RE_11,RE_11 - 2178,102178-2026-06-14-2026-12-12
102179-2026-06-14-2026-12-12,RE_11,RE_11 - 2179,102179-2026-06-14-2026-12-12
102180-2026-06-15-2026-12-12,RE_11,RE_11 - 2180,102180-2026-06-15-2026-12-12
102181-2026-06-14-2026-12-12,RE_11,RE_11 - 2181,102181-2026-06-14-2026-12-12
102182-2026-06-14-2026-12-12,RE_11,RE_11 - 2182,102182-2026-06-14-2026-12-12
102185-2026-06-14-2026-12-12,RE_11,RE_11 - 2185,102185-2026-06-14-2026-12-12
102186-2026-06-14-2026-12-12,RE_11,RE_11 - 2186,102186-2026-06-14-2026-12-12
102201-2026-08-14-2026-08-28,RE_2,RE_2 - 2201,102201-2026-08-14-2026-08-28
102201-2026-06-15-2026-07-31,RE_2,RE_2 - 2201,102201-2026-06-15-2026-07-31
102201-2026-08-03-2026-08-07,RE_2,RE_2 - 2201,102201-2026-08-03-2026-08-07
102201-2026-08-31-2026-12-11,RE_2,RE_2 - 2201,102201-2026-08-31-2026-12-11
102206-2026-08-14-2026-08-28,RE_2,RE_2 - 2206,102206-2026-08-14-2026-08-28
102206-2025-12-15-2026-08-07,RE_2,RE_2 - 2206,102206-2025-12-15-2026-08-07
102206-2026-08-31-2026-12-11,RE_2,RE_2 - 2206,102206-2026-08-31-2026-12-11
102211-2026-08-15-2026-08-30,RE_2,RE_2 - 2211,102211-2026-08-15-2026-08-30
102211-2026-06-21-2026-08-02,RE_2,RE_2 - 2211,102211-2026-06-21-2026-08-02
102211-2026-08-08-2026-08-08,RE_2,RE_2 - 2211,102211-2026-08-08-2026-08-08
102211-2026-09-05-2026-12-12,RE_2,RE_2 - 2211,102211-2026-09-05-2026-12-12
102212-2026-08-14-2026-08-30,RE_2,RE_2 - 2212,102212-2026-08-14-2026-08-30
102212-2025-12-14-2026-08-02,RE_2,RE_2 - 2212,102212-2025-12-14-2026-08-02
102212-2026-08-03-2026-08-08,RE_2,RE_2 - 2212,102212-2026-08-03-2026-08-08
102212-2026-08-31-2026-12-12,RE_2,RE_2 - 2212,102212-2026-08-31-2026-12-12
102213-2026-08-14-2026-08-30,RE_2,RE_2 - 2213,102213-2026-08-14-2026-08-30
102213-2026-02-22-2026-08-08,RE_2,RE_2 - 2213,102213-2026-02-22-2026-08-08
102213-2026-08-31-2026-12-12,RE_2,RE_2 - 2213,102213-2026-08-31-2026-12-12
102214-2026-08-14-2026-08-30,RE_2,RE_2 - 2214,102214-2026-08-14-2026-08-30
102214-2025-12-14-2026-08-08,RE_2,RE_2 - 2214,102214-2025-12-14-2026-08-08
102214-2026-08-31-2026-12-12,RE_2,RE_2 - 2214,102214-2026-08-31-2026-12-12
102215-2026-08-14-2026-08-30,RE_2,RE_2 - 2215,102215-2026-08-14-2026-08-30
102215-2026-02-22-2026-08-08,RE_2,RE_2 - 2215,102215-2026-02-22-2026-08-08
102215-2026-08-31-2026-12-12,RE_2,RE_2 - 2215,102215-2026-08-31-2026-12-12
102216-2026-08-14-2026-08-30,RE_2,RE_2 - 2216,102216-2026-08-14-2026-08-30
102216-2025-12-14-2026-08-08,RE_2,RE_2 - 2216,102216-2025-12-14-2026-08-08
102216-2026-08-31-2026-12-12,RE_2,RE_2 - 2216,102216-2026-08-31-2026-12-12
102217-2026-08-14-2026-08-30,RE_2,RE_2 - 2217,102217-2026-08-14-2026-08-30
102217-2026-02-22-2026-08-08,RE_2,RE_2 - 2217,102217-2026-02-22-2026-08-08
102217-2026-08-31-2026-12-12,RE_2,RE_2 - 2217,102217-2026-08-31-2026-12-12
102218-2026-08-14-2026-08-30,RE_2,RE_2 - 2218,102218-2026-08-14-2026-08-30
102218-2026-08-31-2026-12-12,RE_2,RE_2 - 2218,102218-2026-08-31-2026-12-12
102218-2025-12-14-2026-08-08,RE_2,RE_2 - 2218,102218-2025-12-14-2026-08-08
102218-2026-08-09-2026-08-13,RE_2,RE_2 - 2218,102218-2026-08-09-2026-08-13
102219-2026-08-09-2026-08-13,RE_2,RE_2 - 2219,102219-2026-08-09-2026-08-13
102219-2026-08-14-2026-08-30,RE_2,RE_2 - 2219,102219-2026-08-14-2026-08-30
