"Popolazione residente per età, sesso e stato civile al 1° gennaio 2025"
"Codice comune";"Comune";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"097001";"Abbadia Lariana";0;7;0;0;0;;;;7;13;0;0;0;;;;13;20
"097001";"Abbadia Lariana";1;13;0;0;0;;;;13;3;0;0;0;;;;3;16
"097001";"Abbadia Lariana";2;12;0;0;0;;;;12;7;0;0;0;;;;7;19
"097001";"Abbadia Lariana";3;11;0;0;0;;;;11;8;0;0;0;;;;8;19
"097001";"Abbadia Lariana";4;14;0;0;0;;;;14;8;0;0;0;;;;8;22
"097001";"Abbadia Lariana";5;8;0;0;0;;;;8;8;0;0;0;;;;8;16
"097001";"Abbadia Lariana";6;6;0;0;0;;;;6;12;0;0;0;;;;12;18
"097001";"Abbadia Lariana";7;6;0;0;0;;;;6;12;0;0;0;;;;12;18
"097001";"Abbadia Lariana";8;12;0;0;0;;;;12;10;0;0;0;;;;10;22
"097001";"Abbadia Lariana";9;20;0;0;0;;;;20;18;0;0;0;;;;18;38
"097001";"Abbadia Lariana";10;11;0;0;0;;;;11;10;0;0;0;;;;10;21
"097001";"Abbadia Lariana";11;10;0;0;0;;;;10;9;0;0;0;;;;9;19
"097001";"Abbadia Lariana";12;16;0;0;0;;;;16;14;0;0;0;;;;14;30
"097001";"Abbadia Lariana";13;13;0;0;0;;;;13;18;0;0;0;;;;18;31
"097001";"Abbadia Lariana";14;14;0;0;0;;;;14;14;0;0;0;;;;14;28
"097001";"Abbadia Lariana";15;10;0;0;0;;;;10;14;0;0;0;;;;14;24
"097001";"Abbadia Lariana";16;11;0;0;0;;;;11;13;0;0;0;;;;13;24
"097001";"Abbadia Lariana";17;11;0;0;0;;;;11;16;0;0;0;;;;16;27
"097001";"Abbadia Lariana";18;15;0;0;0;;;;15;9;0;0;0;;;;9;24
"097001";"Abbadia Lariana";19;22;0;0;0;;;;22;11;0;0;0;;;;11;33
"097001";"Abbadia Lariana";20;12;0;0;0;;;;12;11;0;0;0;;;;11;23
"097001";"Abbadia Lariana";21;20;0;0;0;;;;20;19;1;0;0;;;;20;40
"097001";"Abbadia Lariana";22;13;0;0;0;;;;13;13;1;0;0;;;;14;27
"097001";"Abbadia Lariana";23;18;0;0;0;;;;18;20;0;0;0;;;;20;38
"097001";"Abbadia Lariana";24;14;0;0;0;;;;14;23;1;0;0;;;;24;38
"097001";"Abbadia Lariana";25;19;0;0;0;;;;19;22;0;0;0;;;;22;41
"097001";"Abbadia Lariana";26;12;0;0;0;;;;12;16;3;0;0;;;;19;31
"097001";"Abbadia Lariana";27;14;1;0;0;;;;15;15;0;0;0;;;;15;30
"097001";"Abbadia Lariana";28;12;1;0;0;;;;13;11;1;0;0;;;;12;25
"097001";"Abbadia Lariana";29;16;0;0;0;;;;16;14;2;0;0;;;;16;32
"097001";"Abbadia Lariana";30;13;2;0;0;;;;15;12;0;0;0;;;;12;27
"097001";"Abbadia Lariana";31;9;6;0;0;;;;15;16;8;0;1;;;;25;40
"097001";"Abbadia Lariana";32;12;1;0;0;;;;13;7;5;0;0;;;;12;25
"097001";"Abbadia Lariana";33;9;4;0;0;;;;13;9;4;0;0;;;;13;26
"097001";"Abbadia Lariana";34;12;2;0;0;;;;14;10;8;0;0;;;;18;32
"097001";"Abbadia Lariana";35;14;9;0;0;;;;23;10;8;0;0;;;;18;41
"097001";"Abbadia Lariana";36;9;3;0;0;;;;12;5;7;0;0;;;;12;24
"097001";"Abbadia Lariana";37;15;6;0;0;;;;21;5;3;0;1;;;;9;30
"097001";"Abbadia Lariana";38;14;5;0;0;;;;19;6;8;1;0;;;;15;34
"097001";"Abbadia Lariana";39;8;5;0;0;;;;13;10;6;0;0;;;;16;29
"097001";"Abbadia Lariana";40;13;7;1;0;;;;21;12;7;0;0;;;;19;40
"097001";"Abbadia Lariana";41;13;7;0;0;;;;20;6;12;2;0;;;;20;40
"097001";"Abbadia Lariana";42;6;10;0;0;;;;16;7;10;0;0;;;;17;33
"097001";"Abbadia Lariana";43;11;6;0;0;;;;17;8;12;1;1;;;;22;39
"097001";"Abbadia Lariana";44;13;6;2;0;;;;21;8;13;3;0;;;;24;45
"097001";"Abbadia Lariana";45;12;5;2;0;;;;19;4;11;1;1;;;;17;36
"097001";"Abbadia Lariana";46;8;7;3;0;;;;18;4;14;0;0;;;;18;36
"097001";"Abbadia Lariana";47;7;15;1;0;;;;23;8;13;4;0;;;;25;48
"097001";"Abbadia Lariana";48;10;11;4;0;;;;25;4;20;1;1;;;;26;51
"097001";"Abbadia Lariana";49;10;16;2;0;;;;28;5;12;2;0;;;;19;47
"097001";"Abbadia Lariana";50;9;18;3;1;;;;31;6;18;4;0;;;;28;59
"097001";"Abbadia Lariana";51;4;10;2;0;;;;16;9;15;6;1;;;;31;47
"097001";"Abbadia Lariana";52;7;19;3;0;;;;29;9;19;3;2;;;;33;62
"097001";"Abbadia Lariana";53;6;16;2;0;;;;24;6;18;6;1;;;;31;55
"097001";"Abbadia Lariana";54;5;23;2;1;;;;31;2;24;4;2;;;;32;63
"097001";"Abbadia Lariana";55;7;15;1;0;;;;23;2;23;5;0;;;;30;53
