procom_res,procom_lav,pendolari
097010,012034,1
097010,012090,1
097010,012109,1
097010,013006,1
097010,013007,1
097010,013041,4
097010,013048,1
097010,013075,4
097010,013095,1
097010,013121,1
097010,013143,2
097010,013163,1
097010,013188,1
097010,013227,1
097010,015011,1
097010,015026,1
097010,015027,1
097010,015044,1
097010,015051,2
097010,015060,1
097010,015070,5
097010,015077,2
097010,015081,2
097010,015086,1
097010,015093,1
097010,015098,1
097010,015110,1
097010,015130,1
097010,015146,90
097010,015157,1
097010,015168,1
097010,015171,1
097010,015177,1
097010,015189,1
097010,015192,1
097010,015205,2
097010,015209,3
097010,015219,1
097010,015221,2
097010,015224,1
097010,015235,1
097010,015237,1
097010,015242,4
097010,016003,2
097010,016006,1
097010,016007,3
097010,016009,2
097010,016016,1
097010,016018,2
097010,016024,14
097010,016031,1
097010,016034,4
097010,016038,4
097010,016046,12
097010,016052,3
097010,016057,4
097010,016069,1
097010,016074,79
097010,016089,1
097010,016091,3
097010,016117,1
097010,016123,2
097010,016131,1
097010,016142,1
097010,016143,2
097010,016150,4
097010,016153,1
097010,016156,2
097010,016160,1
097010,016169,1
097010,016170,6
097010,016171,8
097010,016176,3
097010,016198,2
097010,016203,1
097010,016207,1
097010,016209,2
097010,016213,4
097010,016219,1
097010,016224,2
097010,016238,17
097010,016250,3
097010,016251,2
097010,017052,1
097010,017061,1
097010,017065,1
097010,017113,1
097010,018110,3
097010,019024,1
097010,097002,39
097010,097003,2
097010,097005,7
097010,097006,3
097010,097007,1
097010,097009,4
097010,097010,467
097010,097011,2
097010,097012,65
097010,097013,30
097010,097016,10
097010,097017,2
097010,097019,3
097010,097020,30
097010,097021,2
097010,097022,2
097010,097026,4
097010,097028,1
097010,097031,4
097010,097033,1
097010,097036,3
097010,097037,2
097010,097038,7
097010,097039,5
097010,097040,2
097010,097042,83
097010,097044,19
097010,097045,2
097010,097046,1
097010,097048,157
097010,097049,12
097010,097051,9
097010,097052,7
097010,097053,7
097010,097054,3
097010,097056,3
097010,097057,9
097010,097058,53
097010,097059,47
097010,097061,42
097010,097062,7
097010,097068,5
097010,097071,23
097010,097074,16
097010,097075,4
097010,097076,8
097010,097080,2
097010,097082,7
097010,097083,15
097010,097086,1
097010,097087,9
097010,097088,12
097010,097092,21
097010,098031,1
097010,103034,1
097010,108001,9
097010,108002,2
097010,108003,1
097010,108004,6
097010,108006,1
097010,108007,8
097010,108008,4
097010,108009,1
097010,108011,2
097010,108012,5
