procom_res,procom_lav,pendolari
001082,097058,1
001272,097058,1
003106,097058,1
006021,097058,1
010025,097074,1
012003,097058,1
012040,097012,1
012070,097012,1
012121,097010,1
012136,097010,1
013003,097010,1
013003,097058,1
013003,097092,2
013007,097012,1
013007,097058,1
013007,097074,1
013007,097092,1
013013,097010,3
013013,097074,1
013024,097012,1
013028,097058,1
013028,097074,1
013034,097058,2
013035,097058,2
013041,097012,1
013041,097058,5
013042,097058,2
013048,097058,1
013048,097092,1
013053,097058,1
013055,097058,1
013064,097058,2
013064,097092,1
013075,097010,3
013075,097012,1
013075,097058,5
013075,097092,1
013090,097058,1
013095,097012,5
013095,097058,2
013095,097092,2
013097,097010,1
013097,097012,1
013097,097092,1
013101,097058,1
013101,097092,1
013102,097058,4
013114,097010,1
013118,097010,6
013118,097012,1
013118,097058,1
013121,097012,2
013121,097074,1
013129,097058,1
013134,097010,2
013136,097010,2
013136,097012,3
013136,097074,1
013143,097012,7
013143,097058,1
013143,097074,5
013147,097010,1
013153,097074,2
013154,097058,1
013157,097012,1
013165,097012,1
013188,097010,1
013188,097012,2
013188,097058,4
013192,097058,1
013193,097058,1
013193,097074,1
013193,097092,1
013201,097012,1
013206,097010,1
013212,097012,1
013222,097012,1
013229,097010,1
013229,097012,1
013250,097074,1
013252,097092,1
014005,097010,2
014016,097092,1
014024,097010,1
014027,097074,2
014029,097010,1
014043,097012,1
014045,097058,1
014060,097058,1
014061,097092,1
014067,097058,1
015002,097058,1
015009,097010,1
015027,097012,1
015040,097074,2
015044,097012,2
015044,097074,1
015051,097058,1
015051,097092,1
015059,097010,2
015060,097012,1
015070,097012,1
015077,097010,1
015077,097012,4
015077,097058,2
015081,097012,1
015082,097092,1
015085,097012,1
015086,097010,1
015086,097012,1
015086,097058,1
015098,097058,1
015105,097010,1
015108,097010,2
015114,097010,2
015118,097010,1
015146,097010,7
015146,097012,15
015146,097058,7
015146,097074,3
015146,097092,2
015151,097012,1
015157,097012,1
015166,097012,1
015166,097058,1
015166,097092,1
015168,097012,2
015170,097012,1
015171,097012,1
015171,097092,1
015172,097058,1
015175,097012,1
015175,097058,1
015175,097074,1
015178,097012,2
015181,097010,1
015182,097012,3
015182,097058,1
015189,097012,1
015189,097058,1
015195,097012,3
015201,097012,1
015209,097012,1
015209,097074,1
015213,097012,1
015213,097092,1
015221,097058,1
015226,097092,1
015230,097010,1
015230,097012,2
016003,097012,1
016005,097012,1
016006,097010,2
016006,097012,1
016006,097058,3
016007,097010,1
016007,097012,1
016009,097010,2
016009,097058,2
016011,097012,1
016018,097012,1
016021,097010,1
016021,097012,1
016024,097010,1
016024,097012,2
016024,097058,4
016024,097074,1
016030,097010,3
016031,097010,1
016031,097012,1
016031,097058,1
016031,097092,1
016034,097010,3
016034,097058,1
016034,097092,1
016038,097010,3
016038,097012,2
016046,097010,13
016046,097012,7
016046,097058,5
016046,097092,1
016051,097010,2
016051,097012,1
016052,097010,32
016052,097012,8
016052,097058,2
016057,097010,7
016057,097012,2
016057,097058,3
016063,097012,1
016072,097010,4
016072,097074,2
016074,097010,71
016074,097012,14
016074,097058,20
016074,097074,3
016074,097092,1
016075,097010,2
016079,097092,1
016081,097012,1
016086,097012,1
016087,097058,1
016089,097058,1
016089,097074,2
016091,097010,1
016091,097012,1
016091,097092,1
016092,097058,2
016097,097012,1
016098,097010,1
016127,097010,1
016129,097012,1
016132,097010,3
016132,097012,2
016132,097058,2
016133,097058,2
016143,097010,1
016150,097010,1
016152,097074,1
016155,097058,1
016156,097010,4
016156,097012,2
016156,097058,4
016169,097010,1
016169,097012,1
016169,097058,1
016170,097010,2
016170,097074,1
016171,097010,15
016171,097012,6
016171,097092,1
016176,097058,1
016183,097012,1
016183,097058,3
016198,097092,1
016202,097010,1
016202,097012,1
016203,097010,6
016203,097012,2
016203,097058,5
016207,097010,1
016207,097058,1
016208,097010,1
016209,097010,3
016209,097012,2
016209,097058,2
016213,097010,5
016213,097012,5
016213,097058,5
016213,097074,1
016215,097010,14
016215,097012,3
016215,097058,3
016215,097092,1
016218,097010,1
016224,097010,2
016238,097010,30
016238,097012,5
016238,097058,5
016238,097092,4
016239,097010,1
016239,097012,2
016240,097010,1
016250,097010,2
016250,097012,4
016250,097058,2
016250,097074,1
016251,097010,2
016251,097012,1
016251,097058,3
016252,097092,1
016253,097010,1
016253,097092,1
017008,097010,1
017061,097012,1
017133,097058,1
017143,097010,1
018041,097012,1
018081,097058,1
018135,097010,1
018176,097058,1
019035,097058,1
022205,097012,1
035033,097012,1
049009,097012,1
097001,097010,2
097001,097012,2
097001,097074,4
097001,097092,1
097002,097010,71
097002,097012,32
097002,097058,40
097002,097074,12
097002,097092,8
097003,097010,1
097003,097012,1
097003,097058,3
097003,097074,3
097003,097092,6
097004,097010,13
097004,097012,3
097005,097010,5
097005,097012,4
097005,097058,8
097005,097074,15
097005,097092,11
097006,097010,7
097006,097012,7
097006,097058,11
097006,097074,8
097006,097092,25
097009,097012,3
097009,097058,1
097009,097092,5
097010,012034,1
097010,012068,1
097010,012070,1
097010,012123,1
097010,013004,1
097010,013007,1
097010,013010,2
097010,013041,3
097010,013046,1
097010,013075,5
097010,013095,3
097010,013101,1
097010,013118,2
097010,013129,1
097010,013143,1
097010,013147,1
097010,013188,1
097010,013202,1
097010,013250,1
097010,015011,3
097010,015027,3
097010,015044,2
097010,015051,2
097010,015060,1
097010,015070,3
097010,015072,1
097010,015077,5
097010,015106,1
097010,015110,1
097010,015113,1
097010,015122,1
097010,015136,1
097010,015146,80
097010,015154,1
097010,015166,1
097010,015170,1
097010,015171,1
097010,015175,1
097010,015179,1
097010,015182,3
097010,015192,1
097010,015195,1
097010,015201,1
097010,015205,4
097010,015209,5
097010,015221,2
097010,015222,2
097010,015224,1
097010,015237,1
097010,015242,1
097010,016008,1
097010,016009,1
097010,016016,2
097010,016018,1
097010,016024,22
097010,016028,1
097010,016031,1
097010,016034,14
097010,016037,1
097010,016038,2
097010,016043,1
097010,016046,17
097010,016051,1
097010,016052,3
097010,016057,12
097010,016062,1
097010,016072,4
097010,016074,71
097010,016086,1
097010,016087,1
097010,016089,3
097010,016091,2
097010,016117,1
097010,016123,1
097010,016131,4
097010,016132,1
097010,016144,1
097010,016150,4
097010,016153,4
097010,016156,1
097010,016167,1
097010,016170,2
097010,016171,10
097010,016176,1
097010,016198,1
097010,016202,1
097010,016203,1
097010,016206,1
097010,016207,2
097010,016209,2
097010,016213,5
097010,016214,1
097010,016215,2
097010,016219,2
097010,016224,2
097010,016238,17
097010,016239,1
097010,016240,1
097010,016246,1
097010,016250,2
097010,017029,1
097010,017061,1
097010,017137,1
097010,018150,1
097010,018182,1
097010,024008,1
097010,033038,1
097010,036003,1
097010,097002,27
097010,097003,3
097010,097005,9
097010,097006,8
097010,097010,323
097010,097011,5
097010,097012,41
097010,097013,45
097010,097016,7
097010,097017,2
097010,097019,2
097010,097020,38
097010,097021,1
097010,097022,1
097010,097024,5
097010,097026,6
097010,097028,3
097010,097031,4
097010,097036,6
097010,097038,7
097010,097039,5
097010,097042,113
097010,097044,18
097010,097046,1
097010,097048,105
097010,097049,18
097010,097051,9
097010,097052,7
097010,097053,8
097010,097054,1
097010,097056,4
097010,097057,19
097010,097058,64
097010,097059,67
097010,097061,29
097010,097062,3
097010,097068,4
097010,097071,14
097010,097074,9
097010,097075,3
097010,097076,5
097010,097078,2
097010,097082,7
097010,097083,10
097010,097086,3
097010,097090,4
097010,097091,26
097010,097092,12
097010,108001,11
097010,108004,4
097010,108006,4
097010,108007,4
097010,108008,1
097010,108011,1
097010,108012,7
097010,108013,1
097010,108014,4
097010,108015,1
097010,108016,6
097010,108017,1
097010,108019,1
097010,108021,4
097010,108023,3
097010,108026,1
097010,108028,1
097010,108030,2
097010,108031,2
097010,108033,21
097010,108034,1
097010,108035,1
097010,108036,8
097010,108037,1
097010,108038,10
097010,108039,7
097010,108042,5
097010,108043,1
097010,108044,9
097010,108047,1
097010,108050,12
097010,108053,7
097011,097012,6
097011,097058,5
097011,097092,10
097012,002158,1
097012,010025,1
097012,012083,1
097012,012109,1
097012,013003,1
097012,013041,3
097012,013043,1
097012,013053,1
097012,013068,1
097012,013075,7
097012,013095,3
097012,013097,1
097012,013118,1
097012,013136,1
097012,013143,1
097012,013170,2
097012,013212,1
097012,013246,1
097012,014026,1
097012,014061,1
097012,015011,8
097012,015014,1
097012,015027,1
097012,015032,2
097012,015041,1
097012,015044,1
097012,015051,6
097012,015059,1
097012,015060,3
097012,015070,7
097012,015077,3
097012,015081,3
097012,015086,1
097012,015087,1
097012,015105,1
097012,015106,3
097012,015108,1
097012,015118,1
097012,015122,2
097012,015136,1
097012,015139,1
097012,015146,170
097012,015157,2
097012,015166,2
097012,015168,1
097012,015171,2
097012,015172,3
097012,015179,1
097012,015182,3
097012,015185,1
097012,015189,5
097012,015192,2
097012,015195,3
097012,015205,6
097012,015209,7
097012,015219,1
097012,015220,1
097012,015221,6
097012,015242,1
097012,016003,1
097012,016005,1
097012,016006,4
097012,016009,1
097012,016016,1
097012,016024,13
097012,016034,6
097012,016038,5
097012,016046,9
097012,016052,3
097012,016057,4
097012,016062,1
097012,016068,1
097012,016072,1
097012,016073,1
097012,016074,38
097012,016076,2
097012,016084,1
097012,016089,1
097012,016091,1
097012,016096,1
097012,016098,1
097012,016114,1
097012,016117,1
097012,016126,2
097012,016132,1
097012,016150,1
097012,016169,1
097012,016170,1
097012,016171,3
097012,016172,1
097012,016194,1
097012,016198,1
097012,016203,1
097012,016207,3
097012,016209,4
097012,016213,5
097012,016224,1
097012,016232,1
097012,016238,2
097012,016245,1
097012,016246,1
097012,016250,2
097012,017002,1
097012,017015,1
097012,017029,1
097012,017117,1
097012,017137,1
097012,017184,1
097012,018140,1
097012,019025,1
097012,024008,1
097012,024083,1
097012,097002,12
097012,097003,4
097012,097005,9
097012,097006,11
097012,097009,7
097012,097010,89
097012,097011,10
097012,097012,279
097012,097013,31
097012,097016,11
097012,097017,5
097012,097019,12
097012,097020,53
097012,097021,2
097012,097022,7
097012,097023,1
097012,097024,5
