stop_name,stop_id,stop_lat,stop_lon,nearest_walk_m,nearest_car_m
Lecco,S01520,45.85617785258753,9.393325784986018,2.6741212358556377,52.72173069183404
Lecco Maggianico,S01522,45.831184,9.412011,5.321009140777598,5.321009140777598
Calolziocorte Olginate,S01524,45.801818,9.427125,10.18802326876435,12.130330141123688
Airuno,S01515,45.7554905,9.422322,8.210927471333699,19.17924559358048
Olgiate-Calco-Brivio,S01514,45.72918776556806,9.403662947256066,6.131311314836751,13.731686225072508
Cernusco-Merate,S01513,45.695045,9.396974,10.668191073571307,10.668191073571307
Osnago,S01512,45.67873427126428,9.38711121011022,9.795839614890406,17.21379462688036
Carnate Usmate,S01511,45.65317645389146,9.374885015003656,7.227877914339008,10.919081895665549
Arcore,S01510,45.62377237858839,9.322924369957946,18.593812656003895,19.40970069768374
Monza,S01322,45.578009,9.272751900000005,2.2973889040794533,2.2973889040794533
Sesto S.Giovanni,S01325,45.541307,9.238858,22.595654589225475,46.108768370648676
