Anno,Stazione_std,Stazione,Saliti24H,Indice_2019_100,Fonte_periodo
2015,AIRUNO,Airuno,680.0,94.44444444444444,Flussi Stazioni Ferroviarie (2015-2023)
2016,AIRUNO,Airuno,670.0,93.05555555555556,Flussi Stazioni Ferroviarie (2015-2023)
2017,AIRUNO,Airuno,720.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2018,AIRUNO,Airuno,740.0,102.77777777777777,Flussi Stazioni Ferroviarie (2015-2023)
2019,AIRUNO,Airuno,720.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,AIRUNO,Airuno,190.0,26.38888888888889,Flussi Stazioni Ferroviarie (2015-2023)
2021,AIRUNO,Airuno,540.0,75.0,Flussi Stazioni Ferroviarie (2015-2023)
2022,AIRUNO,Airuno,690.0,95.83333333333334,Flussi Stazioni Ferroviarie (2015-2023)
2023,AIRUNO,Airuno,1100.0,152.77777777777777,Flussi Stazioni Ferroviarie (2015-2023)
2024,AIRUNO,Airuno,1320.0,183.33333333333331,Frequentazione stazioni SFR (2024-2025)
2025,AIRUNO,Airuno,1860.0,258.33333333333337,Frequentazione stazioni SFR (2024-2025)
2015,ARCORE,Arcore,3740.0,91.8918918918919,Flussi Stazioni Ferroviarie (2015-2023)
2016,ARCORE,Arcore,4030.0,99.01719901719902,Flussi Stazioni Ferroviarie (2015-2023)
2017,ARCORE,Arcore,4460.0,109.58230958230959,Flussi Stazioni Ferroviarie (2015-2023)
2018,ARCORE,Arcore,4610.0,113.26781326781328,Flussi Stazioni Ferroviarie (2015-2023)
2019,ARCORE,Arcore,4070.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,ARCORE,Arcore,1230.0,30.22113022113022,Flussi Stazioni Ferroviarie (2015-2023)
2021,ARCORE,Arcore,3240.0,79.60687960687962,Flussi Stazioni Ferroviarie (2015-2023)
2022,ARCORE,Arcore,3400.0,83.53808353808354,Flussi Stazioni Ferroviarie (2015-2023)
2023,ARCORE,Arcore,4080.0,100.24570024570025,Flussi Stazioni Ferroviarie (2015-2023)
2024,ARCORE,Arcore,5400.0,132.6781326781327,Frequentazione stazioni SFR (2024-2025)
2025,ARCORE,Arcore,5620.0,138.0835380835381,Frequentazione stazioni SFR (2024-2025)
2015,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,2440.0,77.46031746031747,Flussi Stazioni Ferroviarie (2015-2023)
2016,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,2360.0,74.92063492063492,Flussi Stazioni Ferroviarie (2015-2023)
2017,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,2650.0,84.12698412698413,Flussi Stazioni Ferroviarie (2015-2023)
2018,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,3040.0,96.5079365079365,Flussi Stazioni Ferroviarie (2015-2023)
2019,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,3150.0,100.0,Flussi Stazioni Ferroviarie (2015-2023)
2020,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,730.0,23.174603174603174,Flussi Stazioni Ferroviarie (2015-2023)
2021,CALOLZIOCORTE-OLGINATE,Calolziocorte-Olginate,1820.0,57.77777777777777,Flussi Stazioni Ferroviarie (2015-2023)
