comune_frazione,comune,popolazione_2025,linee_attuali,fermata_principale,corse_giorno_feriale,corse_utili_non_scolastiche,primo_bus,ultimo_bus,ampiezza_servizio_ore,headway_medio_min,headway_massimo_min,collegamento_diretto_olgiate_fs,tempo_min_olgiate_fs,coincidenze_s8_utili,classificazione_servizio,destinazioni_dirette
Olgiate Molgora - Stazione FS / Hub,Olgiate Molgora,2400,"D184, D185, D170, Ferrovia S8",Olgiate Molgora FS,23,12,06:42,19:48,13.1,78,415,SI,0,12,NODO INTERSCAMBIO (Servizio Bus discontinuo),"Milano Garibaldi, Lecco, Merate, Ravellino, Celana"
Olgiate Molgora - Centro / Municipio,Olgiate Molgora,2800,"D184, D170",Olgiate Molgora - Municipio,14,6,06:45,19:46,13.0,115,415,SI,3,6,INSUFFICIENTE (Buchi diurni fino a 7 ore),"Olgiate FS, Perego, Monticello, Merate"
Mondonico / Monticello,Olgiate Molgora,920,Nessuna linea diretta (transito D184 su SP342),Bivio Scarpone (a 800-1200m),0,0,-,-,0.0,0,0,NO,18,0,TOTALMENTE SCOPERTO (Nessun servizio nel borgo),Nessuna
San Zeno,Olgiate Molgora,710,Nessuna linea,Nessuna (distante >1.5 km da fermate TPL),0,0,-,-,0.0,0,0,NO,25,0,TOTALMENTE SCOPERTO (Isolamento collinare),Nessuna
Rovagnate Centro,La Valletta Brianza,2806,"D184, D170",Rovagnate - Centro / Via Brianza,15,6,06:53,19:42,12.8,110,415,SI,6,6,INSUFFICIENTE (Grande buco mattutino 07-14),"Olgiate FS, Perego, Santa Maria Hoè, Merate"
Perego Centro,La Valletta Brianza,1850,D184,Perego - Municipio,11,6,06:55,19:38,12.7,138,415,SI,10,6,INSUFFICIENTE (Solo 6 coppie ordinarie),"Olgiate FS, Santa Maria Hoè, Ravellino"
Santa Maria Hoè Centro,Santa Maria Hoè,2109,D184,Santa Maria Hoè - Piazza Padre Fausto,11,6,06:57,19:36,12.6,138,415,SI,12,6,"INSUFFICIENTE (Solo 6 coppie, buchi di 7h)","Olgiate FS, Perego, Ravellino"
Calco Centro / Nazionale,Calco,3730,"D185, D150",Calco - Via Nazionale / Municipio,26,16,06:15,20:10,13.9,52,180,SI (solo con D185),5,6,DISCRETO su asse SP342 Lecco-Merate; INSUFFICIENTE verso Olgiate FS,"Lecco, Merate, Olgiate FS, Brivio"
Calco Superiore,Calco,580,Nessuna linea diretta nel borgo alto,Calco Chiesa (a 500-700m dislivello),0,0,-,-,0.0,0,0,NO,18,0,SCOPERTO (Penalizzazione da pendenza),Nessuna
Arlate / San Colombano,Calco,1150,Nessuna linea regolare (solo 2 corse scolastiche),Arlate - San Colombano,2,0,07:15,14:10,6.9,415,415,NO (solo verso Merate Scuole),25,0,PURAMENTE SCOLASTICO (Inutilizzabile per mobilità generale),Merate Istituti Superiori
Beverate Centro,Brivio,1600,D185,Beverate - Centro,12,6,07:05,19:43,12.6,125,275,SI,7,6,INSUFFICIENTE (Buchi di 4h 30m),"Olgiate FS, Calco, Brivio, Celana"
Brivio Centro / Adda,Brivio,2757,D185,Brivio - Castello / Alzaia,12,6,06:58,19:50,12.8,125,275,SI,15,6,INSUFFICIENTE (Buchi di 4h 30m),"Olgiate FS, Calco, Cisano, Celana"
Ravellino (Coda Ovest),Colle Brianza,520,D184,Ravellino - Capolinea,11,6,07:12,19:24,12.2,138,415,SI,22,6,RURALE RAREFATTO (6 coppie a 22 min da FS),"Olgiate FS, Santa Maria Hoè, Perego"
Caprino / Celana (Coda Est),Caprino Bergamasco,1400,D185,Celana Collegio / Caprino Municipio,12,6,06:40,20:08,13.4,125,275,SI (strutturale) / FORTI RITARDI (emergenza 2026),28,6,EXTRA-PROVINCIALE CRITICO (Deviazione 2026 aggrava buchi),"Brivio, Calco, Olgiate FS"
