comune,frazione,popolazione_totale,pop_entro_8min_slope,pct_entro_8min,pop_entro_10min_slope,pct_entro_10min,tempo_medio_piedi_fermata_min
Calco,Calco Centro,3462.6,2260.6,65.3,2684.3,77.5,7.0
Brivio,Brivio Centro,3160.9,1721.2,54.5,2095.3,66.3,8.1
Olgiate Molgora,Olgiate Centro,3017.0,2492.9,82.6,2713.7,89.9,5.4
La Valletta Brianza,Rovagnate,2905.8,1679.3,57.8,2123.4,73.1,7.6
La Valletta Brianza,Perego,1750.3,1365.2,78.0,1548.1,88.5,5.6
Calco,Arlate,1593.0,710.6,44.6,952.1,59.8,9.1
Santa Maria Hoè,Santa Maria Hoè Centro,1393.6,1187.5,85.2,1314.1,94.3,5.1
Olgiate Molgora,San Zeno,1205.7,514.8,42.7,715.4,59.3,9.3
Brivio,Beverate,1196.2,713.1,59.6,861.0,72.0,7.7
Olgiate Molgora,Porchera,819.0,13.4,1.6,87.3,10.7,14.7
Santa Maria Hoè,Trebbia,715.4,371.0,51.9,469.4,65.6,8.2
Olgiate Molgora,Mondonico,695.7,604.1,86.8,656.0,94.3,5.2
Olgiate Molgora,Monticello,594.6,401.8,67.6,461.9,77.7,7.0
Calco,Calco Superiore,404.4,314.7,77.8,363.0,89.8,5.9
