cell_id,lat,lon,PRO_COM_T,COMUNE,pop_calibrated_2025,walk_min_to_nearest_gtfs_stop,covered_5min,covered_8min,covered_10min,covered_12min,gap_5min,gap_8min,gap_10min,gap_12min,epistemic_status
WP_00001,45.75666668503607,9.44083330999103,097010,Brivio,0.7330568519889361,27.118543064582248,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00002,45.75666668503607,9.441666643320998,097010,Brivio,0.664991747956986,27.43095215695133,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00003,45.75666668503607,9.442499976650968,097010,Brivio,0.1329919079087195,27.89025068459829,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00004,45.75583335170609,9.43999997666106,097010,Brivio,0.2071293554351777,22.13252694128604,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00005,45.75583335170609,9.44083330999103,097010,Brivio,0.8012439502944833,21.884644790734217,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00006,45.75583335170609,9.441666643320998,097010,Brivio,0.2045984048856655,28.899342122846377,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00007,45.75583335170609,9.442499976650968,097010,Brivio,0.1953416334178247,28.41197678231013,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00008,45.75583335170609,9.443333309980936,097010,Brivio,0.7282011961921601,27.14956403265804,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00009,45.75500001837611,9.43999997666106,097010,Brivio,0.2659243385428531,21.26845721747692,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
WP_00010,45.75500001837611,9.44083330999103,097010,Brivio,0.2612077248074919,20.743497224436783,False,False,False,False,True,True,True,True,MODEL_OUTPUT_GATE_B_WALK_GRAPH
