procom,municipality_name,analysis_role,adjacency_order_from_core,municipality_area_m2,analysis_overlap_m2,analysis_overlap_pct,equity_scope
097002,Airuno,CONTEXT,1,4285980.141801955,3970731.6426324723,92.64465796061894,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097013,Calolziocorte,CONTEXT,1,9100225.408251802,1964612.1496190669,21.588609748475214,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097019,Castello di Brianza,CONTEXT,1,3594117.3637304166,2750797.6544925934,76.5361109865783,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
016074,Cisano Bergamasco,CONTEXT,1,7815965.048129778,4237937.965782836,54.221557282896235,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097024,Colle Brianza,CONTEXT,1,8317874.126235612,5563917.720285595,66.89110265249512,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097039,Imbersago,CONTEXT,1,3144525.0949753686,1735116.1571077069,55.1789572256951,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097048,Merate,CONTEXT,1,11056413.88083476,5430617.990511733,49.11735440661453,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097049,Missaglia,CONTEXT,1,11491432.178715786,1860621.4477095588,16.191379967031146,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097052,Monte Marenzo,CONTEXT,1,3058403.417126196,2285126.204032682,74.71631084495328,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097053,Montevecchia,CONTEXT,1,5799289.10662517,4051928.587534034,69.86940145655211,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097059,Olginate,CONTEXT,1,8000313.878110887,2539866.439899552,31.747084909364716,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
016171,Pontida,CONTEXT,1,10377392.968090398,524951.9855346978,5.05861141761597,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097076,Sirtori,CONTEXT,1,4284646.013171607,3799744.140098853,88.68280199619532,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
016238,Villa d'Adda,CONTEXT,1,5982372.266394791,2879340.7536269766,48.13041759038139,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097005,Barzago,CONTEXT,2,3563049.765410038,1149222.2637429961,32.25389313670568,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097006,Barzanò,CONTEXT,2,3619541.2796235094,87413.16033386193,2.4150342151355244,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097020,Cernusco Lombardone,CONTEXT,2,3753710.7527623223,1059146.6267698647,28.215989364402894,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
016215,Torre de' Busi,CONTEXT,2,8966804.64344929,48459.65354897046,0.5404339168286969,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097082,Valgreghentino,CONTEXT,2,6246338.656677967,1573359.385674965,25.188505973701652,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097090,Viganò,CONTEXT,2,1597106.3644813735,275170.1962141251,17.22929682917398,CONTEXT_ONLY_NO_EQUAL_EQUITY_OBLIGATION
097010,Brivio,CORE,0,7953665.113723292,7953665.113723296,100.00000000000004,DECISION_CORE_EQUITY_OBLIGATION
097012,Calco,CORE,0,4588898.914136176,4588898.91413617,99.99999999999987,DECISION_CORE_EQUITY_OBLIGATION
097092,La Valletta Brianza,CORE,0,8784731.756173478,8784731.7561735,100.00000000000024,DECISION_CORE_EQUITY_OBLIGATION
097058,Olgiate Molgora,CORE,0,7090839.36497534,7090839.364975341,100.00000000000003,DECISION_CORE_EQUITY_OBLIGATION
097074,Santa Maria Hoè,CORE,0,2834368.2894061543,2834368.289406156,100.00000000000007,DECISION_CORE_EQUITY_OBLIGATION
