anchor_id,anchor_class,source_record_id,source_name,lon,lat,routes_serving,epistemic_status,source_detail,proposed_stop_status,seed_precompute,graph_node_id,snap_distance_m,snap_status,included_in_reduced_graph,epoch_id,procom,municipality_name,analysis_role,equity_scope
gate_d:ARLATE,GATE_D_VALIDATED_ANCHOR,300528;L00528,Calco - arlate - (provinciale);Calco- arlate - (provinciale),9.444017,45.7235165,D150;D170,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:534549.56:5063427.02,3.317765328,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gate_d:BEVERATE,GATE_D_VALIDATED_ANCHOR,300086;L00086,Brivio - beverate (cariplo),9.423083,45.7404585,D150;D185,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:532908.34:5065306.79,9.710037215,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gate_d:BRIVIO,GATE_D_VALIDATED_ANCHOR,300063;L00063,Brivio - capolinea,9.445775,45.7418915,D148;D150;D185,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:534673.57:5065469.87,4.809644796,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gate_d:CALCO,GATE_D_VALIDATED_ANCHOR,300397;300729;L00397;L00729,Calco - via virgilio;Calco - via virgilio (pensilina asf),9.4123625,45.72496675,D148;D185,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:532085.81:5063579.38,6.911607227,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gate_d:CALCO_SUPERIORE,GATE_D_DESIGN_ANCHOR_ASSUMPTION,136703679;656337619,Via Calco Superiore,9.427863602,45.72534443,,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,NOT_PROPOSED,True,n:533292.20:5063621.50,1.842126214,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gate_d:CISANO,GATE_D_VALIDATED_ANCHOR,300405;L00405,Cisano - sosta,9.451325,45.739925,D185,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:535120.41:5065256.67,11.379404178,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,016074,Cisano Bergamasco,CONTEXT,CONTEXT_ONLY
gate_d:MONDONICO,GATE_D_DESIGN_ANCHOR_ASSUMPTION,193940014;193940016;193940018;193940019;193940021;193944877;193948935;193948936;239992891;61744591,Via Mondonico,9.397851837,45.736415203,,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,NOT_PROPOSED,True,n:530952.51:5064838.41,0.642335882,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097058,Olgiate Molgora,CORE,DECISION_CORE
gate_d:PEREGO,GATE_D_VALIDATED_ANCHOR,300872;L00872,Perego - s.s. 342/via s.caterina,9.3627,45.738525,D184,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:528193.74:5065060.08,22.954645243,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097092,La Valletta Brianza,CORE,DECISION_CORE
gate_d:ROVAGNATE,GATE_D_VALIDATED_ANCHOR,300804;L00804,Rovagnate - la pesa,9.374692,45.7372335,D184,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:529152.42:5064918.92,3.165382027,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097092,La Valletta Brianza,CORE,DECISION_CORE
gate_d:SAN_ZENO,GATE_D_DESIGN_ANCHOR_ASSUMPTION,235445444,Piazza San Zeno,9.407099337,45.735222843,,ASSUMPTION,OSM_NAMED_ROAD_DESIGN_ANCHOR,NOT_PROPOSED,True,n:531666.99:5064721.81,12.921645618,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097058,Olgiate Molgora,CORE,DECISION_CORE
