budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,policy_id,uniform_headway_min,span_id,calendar_id,annual_service_days,recovery_min,extension_share,service_ready_candidate_count,budget_feasible_candidate_count,frontier_scenario_count,frontier_family_counts_json
m20pct,-0.2,89135.20000000001,SP2_a85bdf543e19c5,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2747,618,618,"{""blank_slate"": 17, ""hybrid_interlined"": 24, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 1, ""single_compact_loop"": 17, ""trunk_plus_branches"": 1, ""two_radial_out_and_back_feeders"": 24}"
m20pct,-0.2,89135.20000000001,SP2_eba16323ab90fc,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2747,618,618,"{""blank_slate"": 17, ""hybrid_interlined"": 24, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 1, ""single_compact_loop"": 17, ""trunk_plus_branches"": 1, ""two_radial_out_and_back_feeders"": 24}"
m20pct,-0.2,89135.20000000001,SP2_5b06b2f86a0e87,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2747,618,618,"{""blank_slate"": 17, ""hybrid_interlined"": 24, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""short_turn_overlay"": 1, ""single_compact_loop"": 17, ""trunk_plus_branches"": 1, ""two_radial_out_and_back_feeders"": 24}"
m20pct,-0.2,89135.20000000001,SP2_dd6cb6629859bb,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2747,586,586,"{""blank_slate"": 13, ""hybrid_interlined"": 13, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 13, ""two_radial_out_and_back_feeders"": 13}"
m20pct,-0.2,89135.20000000001,SP2_310203f547ce1b,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2747,586,586,"{""blank_slate"": 13, ""hybrid_interlined"": 13, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 13, ""two_radial_out_and_back_feeders"": 13}"
m20pct,-0.2,89135.20000000001,SP2_610dec7e62d822,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2747,586,586,"{""blank_slate"": 13, ""hybrid_interlined"": 13, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 13, ""two_radial_out_and_back_feeders"": 13}"
m20pct,-0.2,89135.20000000001,SP2_f600df6cd415eb,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,5,0.0,2747,515,515,"{""blank_slate"": 7, ""hybrid_interlined"": 10, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""single_compact_loop"": 7, ""two_radial_out_and_back_feeders"": 10}"
m20pct,-0.2,89135.20000000001,SP2_6229ce78cc98f1,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,10,0.0,2747,515,515,"{""blank_slate"": 7, ""hybrid_interlined"": 10, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""single_compact_loop"": 7, ""two_radial_out_and_back_feeders"": 10}"
m20pct,-0.2,89135.20000000001,SP2_2a05322b2d4d40,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,15,0.0,2747,515,515,"{""blank_slate"": 7, ""hybrid_interlined"": 10, ""multiple_short_radials"": 9, ""scheduled_extensions"": 472, ""single_compact_loop"": 7, ""two_radial_out_and_back_feeders"": 10}"
m20pct,-0.2,89135.20000000001,SP2_0dfffe58c26078,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2500,578,578,"{""blank_slate"": 16, ""hybrid_interlined"": 6, ""multiple_short_radials"": 10, ""scheduled_extensions"": 524, ""single_compact_loop"": 16, ""two_radial_out_and_back_feeders"": 6}"
