budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,timing_key,uniform_headway_min,span_id,scenario_id,frontier_policy_context_count,declared_policy_context_count_for_timing,frontier_in_all_declared_calendar_recovery_contexts,frontier_policy_ids,frontier_calendar_ids,frontier_recovery_min_values
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_001a61609ccacf8e,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_0025a0f6ca8871c3,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_00a951c298b51040,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_00be2280c8596720,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_013869dd79524d40,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_01be627b3dd863a8,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_02ad2266b1b1eb9b,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_02fb06ff3674e94b,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_0306f6b7da30e4cd,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
m20pct,-0.2,89135.20000000001,H15_CORE_0600_2200,15,CORE_0600_2200,P2_03533c300978394b,9,9,true,SP2_2a05322b2d4d40|SP2_310203f547ce1b|SP2_5b06b2f86a0e87|SP2_610dec7e62d822|SP2_6229ce78cc98f1|SP2_a85bdf543e19c5|SP2_dd6cb6629859bb|SP2_eba16323ab90fc|SP2_f600df6cd415eb,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
