route_id,source_page,stop_sequence_on_page,stop_label_pdf,identity_status,historical_gtfs_stop_id,historical_gtfs_equivalent_stop_ids,physical_cluster_id_v2,mapping_status,used_in_current_access_lower_bound
D184,1,1,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,300407,EX_011,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D184,1,2,OLGIATE MOLGORA Scarpone,RESOLVED_BEST_SEQUENCE_UNIQUE,300803,300803,EX_023,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D184,1,3,S.MARIA HOE' Alduno,RESOLVED_BEST_SEQUENCE_UNIQUE,300871,300871,EX_026,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,5,PEREGO statale incrocio via S.Caterina SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,1,11,NAVA,RESOLVED_BEST_SEQUENCE_UNIQUE,300808,300808,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D184,1,12,RAVELLINO,RESOLVED_BEST_SEQUENCE_UNIQUE,300969,300969,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D184,2,1,RAVELLINO,RESOLVED_BEST_SEQUENCE_UNIQUE,300194,300194,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D184,2,2,NAVA,RESOLVED_BEST_SEQUENCE_UNIQUE,L00808,L00808,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,8,PEREGO statale incrocio via S.Caterina,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D184,2,10,S.MARIA HOE Alduno,RESOLVED_BEST_SEQUENCE_UNIQUE,L00871,L00871,EX_041,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D184,2,11,OLGIATE MOLGORA Scarpone,RESOLVED_BEST_SEQUENCE_UNIQUE,L00803,L00803,EX_023,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D184,2,12,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,300407,EX_011,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D185,1,1,CELANA,AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D185,1,2,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D185,1,3,CAPRINO Piazza Marconi,RESOLVED_BEST_SEQUENCE_UNIQUE,300402,300402,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D185,1,4,CAPRINO Cava,RESOLVED_ROUTE_NAME_UNIQUE,300403,300403,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D185,1,5,CISANO Municipio,RESOLVED_BEST_SEQUENCE_UNIQUE,300484,300484,,RESOLVED_CURRENT_GTFS_IDENTITY_NOT_IN_V2_CORE_STOP_UNIVERSE,false
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
D185,1,8,CISANO Sosta,RESOLVED_BEST_SEQUENCE_UNIQUE,300405,300405,EX_009,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D185,1,9,BRIVIO Capolinea,RESOLVED_BEST_SEQUENCE_UNIQUE,L00063,L00063,EX_036,RESOLVED_CURRENT_ROW_JOINED_EXACTLY_TO_V2_PHYSICAL_CLUSTER,true
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,,,,CURRENT_PDF_ROW_SPATIALLY_UNRESOLVED,false
