physical_stop_cluster_id,representative_stop_id,representative_stop_name,representative_stop_lat,representative_stop_lon,stop_id_member_count,member_stop_ids,member_stop_names,member_coordinates,routes,pattern_ids,clustering_reasons,certified_phase2_catchment_available
EX_002,300063,Brivio - capolinea,45.741333,9.4457,1,300063,Brivio - capolinea,"45.741333,9.445700",D185,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_003,300086,Brivio - beverate (cariplo),45.7404,9.423083,2,300086;L00086,Brivio - beverate (cariplo);Brivio - beverate (cariplo),"45.740400,9.423083;45.740517,9.423083",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_004,300087,Brivio - vaccarezza,45.73685,9.436083,2,300087;L00087,Brivio - vaccarezza;Brivio - vaccarezza,"45.736850,9.436083;45.737017,9.436200",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_007,300397,Calco - via virgilio,45.72495,9.41495,1,300397,Calco - via virgilio,"45.724950,9.414950",D185,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_008,300398,Brivio - beverate (paese),45.73735,9.427967,2,300398;L00398,Brivio - beverate (paese);Brivio - beverate (paese),"45.737350,9.427967;45.737317,9.428150",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_009,300405,Cisano - sosta,45.739883,9.451267,2,300405;L00405,Cisano - sosta;Cisano - sosta,"45.739883,9.451267;45.739967,9.451383",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_010,300406,Brivio - via como (pizzeria),45.742417,9.439367,2,300406;L00406,Brivio - via como (pizzeria);Brivio - via como (pizzeria),"45.742417,9.439367;45.742267,9.439133",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_011,300407,Olgiate Molgora - stazione f.s.,45.73371,9.40576,1,300407,Olgiate Molgora - stazione f.s.,"45.733710,9.405760",D184;D185,PAT_2ad22659f8ca4ff7;PAT_2feb1d6a5aa5cd76;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd;PAT_97941fe7235003fe;PAT_a0c6b10984ae7f84;PAT_a68a587a68c8a96b;PAT_bde74a78b6068c9e;PAT_e573057bf421912e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_012,300487,Brivio - beverate (tre strade),45.73465,9.42685,2,300487;L00487,Brivio - beverate (tre strade);Brivio - beverate (quattro strade),"45.734650,9.426850;45.734767,9.426933",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_016,300634,Calco - via Nazionale,45.7296,9.417783,1,300634,Calco - via Nazionale,"45.729600,9.417783",D185,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_019,300729,Calco - via virgilio (pensilina asf),45.725017,9.40995,2,300729;L00729,Calco - via virgilio (pensilina asf);Calco - via virgilio (pensilina asf),"45.725017,9.409950;45.724950,9.410183",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_022,300782,S.Maria Hoe',45.744283,9.373817,2,300782;L00782,S.Maria Hoe';S.Maria Hoe',"45.744283,9.373817;45.744333,9.373583",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_023,300803,Olgiate Molgora - monticello scarpone,45.73133,9.39027,2,300803;L00803,Olgiate Molgora - monticello scarpone;Olgiate Molgora - monticello scarpone,"45.731330,9.390270;45.731300,9.390150",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_701768db802888f4;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
