route_id,stop_id,stop_name,stop_lat,stop_lon,physical_stop_cluster_id,clustering_reason,trip_stop_time_row_count,pattern_count,pattern_ids,pattern_trip_count_sum,min_stop_sequence,max_stop_sequence,activation_evidence_status,current_reference_date,temporary_disruption_excluded,ridership_evidence
D184,300808,Colle Brianza - nava (monumento),45.7632,9.362617,V4_EQ_808,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,5,2,PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,5,7,12,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00808,Colle Brianza - nava (monumento),45.7631,9.362467,V4_EQ_808,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,5,1,PAT_2ad22659f8ca4ff7,5,2,2,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300807,Colle Brianza - piecastello,45.759617,9.36185,V4_EQ_807,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,5,2,PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,5,6,11,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00807,Colle Brianza - piecastello,45.7594,9.361683,V4_EQ_807,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,5,1,PAT_2ad22659f8ca4ff7,5,3,3,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300873,Hoe',45.748667,9.367717,EX_028,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,5,2,PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,5,5,10,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00873,Hoe',45.7486,9.368017,EX_028,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,5,1,PAT_2ad22659f8ca4ff7,5,4,4,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00407,Olgiate Molgora (stazione f.s.),45.72917,9.40441,EX_039,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,2,2,PAT_701768db802888f4;PAT_ed9891cba02df005,2,8,10,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300803,Olgiate Molgora - monticello scarpone,45.73133,9.39027,EX_023,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,2,2,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00803,Olgiate Molgora - monticello scarpone,45.7313,9.39015,EX_023,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,7,12,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300407,Olgiate Molgora - stazione f.s.,45.73371,9.40576,EX_011,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,13,6,PAT_2ad22659f8ca4ff7;PAT_2feb1d6a5aa5cd76;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,13,1,13,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733,EX_027,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,6,6,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667,EX_027,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,3,8,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300194,Ravellino,45.77242,9.36883,V4_SINGLE_300194,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,6,2,PAT_2ad22659f8ca4ff7;PAT_75b1487d1fcc52dd,6,1,8,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300969,Ravellino - via san rocco,45.77018,9.36744,V4_SINGLE_300969,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,4,1,PAT_6b1e3cc825f93648,4,13,13,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300804,Rovagnate - la pesa,45.73725,9.374517,EX_024,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,4,4,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00804,Rovagnate - la pesa,45.737217,9.374867,EX_024,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,5,10,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300878,Rovagnate - semaforo,45.737167,9.369383,EX_029,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,5,5,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00878,Rovagnate - semaforo,45.737133,9.370467,EX_042,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,7,3,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,7,4,9,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300879,Rovagnate - vinicola ghezzi,45.7397,9.364717,EX_030,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,6,3,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,6,7,7,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
