route_id,source_page,direction_heading,direction_origin,direction_terminal,stop_sequence_on_page,stop_label_pdf,service_context,source_url,source_pdf_sha256,epistemic_status
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,1,LECCO Ospedale Manzoni,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,2,LECCO Meridiane,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,3,LECCO FS (Via Montello),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,4,PESCATE Cariboni,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,5,PESCATE 3° Ponte,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,6,PESCATE (Torrette),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,7,GARLATE (Scuole),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,8,GARLATE (Municipio),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,9,OLGINATE (Ponte),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,10,CALOLZIO F.S.,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
