route_short_name,trip_count,stop_count,stop_ids,stop_names
D184,5,13,300194|L00808|L00807|L00873|L00782|L00902|L00879|L00872|L00878|L00804|L00871|L00803|300407,Ravellino|Colle Brianza - nava (monumento)|Colle Brianza - piecastello|Hoe'|S.Maria Hoe'|S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora - stazione f.s.
D184,1,7,300407|300803|300871|300804|300878|300872|300879,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi
D184,1,8,300407|300803|300871|300804|300878|300872|300879|300902,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi|S.Maria Hoe' - alpino
D184,4,13,300407|300803|300871|300804|300878|300872|300879|300902|300782|300873|300807|300808|300969,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi|S.Maria Hoe' - alpino|S.Maria Hoe'|Hoe'|Colle Brianza - piecastello|Colle Brianza - nava (monumento)|Ravellino - via san rocco
D184,1,2,300407|300903,Olgiate Molgora - stazione f.s.|S.Maria Hoe' - tremonte/via leopardi
D184,1,8,300407|300903|300805|300782|300873|300807|300808|300194,Olgiate Molgora - stazione f.s.|S.Maria Hoe' - tremonte/via leopardi|S.Maria Hoe' - tremonte|S.Maria Hoe'|Hoe'|Colle Brianza - piecastello|Colle Brianza - nava (monumento)|Ravellino
D184,1,10,300903|L00904|L00902|L00879|L00872|L00878|L00804|L00871|L00803|L00407,S.Maria Hoe' - tremonte/via leopardi|S.Maria Hoe' - tremonte/ via trento|S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora (stazione f.s.)
D184,1,8,L00902|L00879|L00872|L00878|L00804|L00871|L00803|L00407,S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora (stazione f.s.)
D185,1,3,300401|300482|300402,Celana|Caprino - roccolino|Caprino - piazza marconi
D185,1,7,300401|300482|300402|300483|300403|300484|300404,Celana|Caprino - roccolino|Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - corso mazzini
D185,7,18,300402|300483|300403|300484|300404|300062|300405|L00063|L00406|L00087|L00487|L00398|L00086|300956|300634|300397|300729|300407,"Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - corso mazzini|Cisano - bivio brivio|Cisano - sosta|Brivio - capolinea|Brivio - via como (pizzeria)|Brivio - vaccarezza|Brivio - beverate (quattro strade)|Brivio - beverate (paese)|Brivio - beverate (cariplo)|Calco - via nazionale, 85|Calco - via Nazionale|Calco - via virgilio|Calco - via virgilio (pensilina asf)|Olgiate Molgora - stazione f.s."
D185,1,5,300402|300483|300403|300484|300485,Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - stazione f.s.
D185,3,14,300404|300062|300405|L00063|L00406|L00087|L00487|L00398|L00086|300956|300634|300397|300729|300407,"Cisano - corso mazzini|Cisano - bivio brivio|Cisano - sosta|Brivio - capolinea|Brivio - via como (pizzeria)|Brivio - vaccarezza|Brivio - beverate (quattro strade)|Brivio - beverate (paese)|Brivio - beverate (cariplo)|Calco - via nazionale, 85|Calco - via Nazionale|Calco - via virgilio|Calco - via virgilio (pensilina asf)|Olgiate Molgora - stazione f.s."
D185,2,14,300407|L00729|L00397|300086|300398|300487|300087|300406|300063|L00405|L00486|L00062|L00404|300485,Olgiate Molgora - stazione f.s.|Calco - via virgilio (pensilina asf)|Calco - via virgilio|Brivio - beverate (cariplo)|Brivio - beverate (paese)|Brivio - beverate (tre strade)|Brivio - vaccarezza|Brivio - via como (pizzeria)|Brivio - capolinea|Cisano - sosta|Cisano - via torchio|Cisano - bivio brivio|Cisano - corso mazzini|Cisano - stazione f.s.
D185,1,6,300485|L00484|L00483|L00402|L00482|300401,Cisano - stazione f.s.|Cisano - municipio|Caprino - bosco|Caprino - piazza marconi|Caprino - roccolino|Celana
D185,1,11,L00402|L00482|L00401|L00941|L00399|300482|300402|300483|300403|300484|300485,Caprino - piazza marconi|Caprino - roccolino|Celana|Caprino - via agricoltura/via foppa|Sant'Antonio d'Adda|Caprino - roccolino|Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - stazione f.s.
D185,9,16,L00407|L00729|L00397|300086|300398|300487|300087|300406|300063|L00405|L00486|L00062|L00404|L00484|L00483|L00402,Olgiate Molgora (stazione f.s.)|Calco - via virgilio (pensilina asf)|Calco - via virgilio|Brivio - beverate (cariplo)|Brivio - beverate (paese)|Brivio - beverate (tre strade)|Brivio - vaccarezza|Brivio - via como (pizzeria)|Brivio - capolinea|Cisano - sosta|Cisano - via torchio|Cisano - bivio brivio|Cisano - corso mazzini|Cisano - municipio|Caprino - bosco|Caprino - piazza marconi
D185,1,9,L00485|L00404|L00484|L00483|L00402|L00482|300399|L00941|L00401,Cisano - stazione f.s|Cisano - corso mazzini|Cisano - municipio|Caprino - bosco|Caprino - piazza marconi|Caprino - roccolino|Sant'Antonio d'Adda|Caprino - via agricoltura/via foppa|Celana
