route_id,source_page,stop_sequence_on_page,stop_label_pdf,identity_status_prior,candidate_rank,candidate_score,gtfs_stop_id,gtfs_stop_name,gtfs_stop_lat,gtfs_stop_lon
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.722222,300804,Rovagnate - la pesa,45.737250,9.374517
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.722222,L00804,Rovagnate - la pesa,45.737217,9.374867
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.648649,300878,Rovagnate - semaforo,45.737167,9.369383
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.648649,L00878,Rovagnate - semaforo,45.737133,9.370467
D184,1,4,ROVAGNATE Statale incrocio via Lombardia SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.590909,300879,Rovagnate - vinicola ghezzi,45.739700,9.364717
D184,1,5,PEREGO statale incrocio via S.Caterina SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.25,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733
D184,1,5,PEREGO statale incrocio via S.Caterina SR 342,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.25,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.0,300902,S.Maria Hoe' - alpino,45.743617,9.374617
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.0,L00902,S.Maria Hoe' - alpino,45.743567,9.374367
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.756757,300871,S.Maria Hoe' - alduno,45.735000,9.382200
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.756757,L00871,S.Maria Hoe' - alduno,45.734700,9.382517
D184,1,6,S. MARIA HOE' Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.25,300903,S.Maria Hoe' - tremonte/via leopardi,45.741180,9.380960
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.0,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.807692,L00904,S.Maria Hoe' - tremonte/ via trento,45.742600,9.378400
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,1,7,S. MARIA HOE' Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,L00782,S.Maria Hoe',45.744333,9.373583
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.916667,300782,S.Maria Hoe',45.744283,9.373817
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.916667,L00782,S.Maria Hoe',45.744333,9.373583
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.764706,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.75,300871,S.Maria Hoe' - alduno,45.735000,9.382200
D184,1,8,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,300902,S.Maria Hoe' - alpino,45.743617,9.374617
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300873,Hoe',45.748667,9.367717
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00873,Hoe',45.748600,9.368017
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,3,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,4,0.75,L00782,S.Maria Hoe',45.744333,9.373583
D184,1,9,HOE',AMBIGUOUS_HISTORICAL_GTFS,5,0.583333,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.594595,300807,Colle Brianza - piecastello,45.759617,9.361850
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.594595,L00807,Colle Brianza - piecastello,45.759400,9.361683
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.518519,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.518519,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667
D184,1,10,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.47619,300194,Ravellino,45.772420,9.368830
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.594595,300807,Colle Brianza - piecastello,45.759617,9.361850
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.594595,L00807,Colle Brianza - piecastello,45.759400,9.361683
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.518519,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.518519,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.47619,300194,Ravellino,45.772420,9.368830
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300873,Hoe',45.748667,9.367717
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00873,Hoe',45.748600,9.368017
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,3,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,4,0.75,L00782,S.Maria Hoe',45.744333,9.373583
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,5,0.583333,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.25,300903,S.Maria Hoe' - tremonte/via leopardi,45.741180,9.380960
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.0,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.807692,L00904,S.Maria Hoe' - tremonte/ via trento,45.742600,9.378400
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,L00782,S.Maria Hoe',45.744333,9.373583
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.916667,300782,S.Maria Hoe',45.744283,9.373817
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.916667,L00782,S.Maria Hoe',45.744333,9.373583
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.764706,300805,S.Maria Hoe' - tremonte,45.742800,9.378370
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.75,300871,S.Maria Hoe' - alduno,45.735000,9.382200
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,300902,S.Maria Hoe' - alpino,45.743617,9.374617
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.0,300902,S.Maria Hoe' - alpino,45.743617,9.374617
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.0,L00902,S.Maria Hoe' - alpino,45.743567,9.374367
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.756757,300871,S.Maria Hoe' - alduno,45.735000,9.382200
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.756757,L00871,S.Maria Hoe' - alduno,45.734700,9.382517
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.75,300782,S.Maria Hoe',45.744283,9.373817
D184,2,8,PEREGO statale incrocio via S.Caterina,NO_HISTORICAL_GTFS_NAME_MATCH,1,1.25,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733
D184,2,8,PEREGO statale incrocio via S.Caterina,NO_HISTORICAL_GTFS_NAME_MATCH,2,1.25,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.722222,300804,Rovagnate - la pesa,45.737250,9.374517
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.722222,L00804,Rovagnate - la pesa,45.737217,9.374867
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.648649,300878,Rovagnate - semaforo,45.737167,9.369383
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.648649,L00878,Rovagnate - semaforo,45.737133,9.370467
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.590909,300879,Rovagnate - vinicola ghezzi,45.739700,9.364717
D185,1,1,CELANA,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300401,Celana,45.750067,9.492217
D185,1,1,CELANA,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00401,Celana,45.750220,9.492070
D185,1,2,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300399,Sant'Antonio d'Adda,45.755150,9.483880
D185,1,2,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00399,Sant'Antonio d'Adda,45.754750,9.483683
D185,1,2,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,3,0.484848,L00486,Cisano - via torchio,45.741183,9.461650
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,1,0.761905,300405,Cisano - sosta,45.739883,9.451267
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,2,0.761905,L00405,Cisano - sosta,45.739967,9.451383
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,3,0.666667,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,4,0.666667,L00485,Cisano - stazione f.s,45.739740,9.474640
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,5,0.608696,L00486,Cisano - via torchio,45.741183,9.461650
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.916667,300404,Cisano - corso mazzini,45.740283,9.474517
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.916667,L00404,Cisano - corso mazzini,45.740117,9.475100
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.758621,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.758621,L00485,Cisano - stazione f.s,45.739740,9.474640
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.666667,300484,Cisano - municipio,45.739683,9.478567
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,1,0.583333,300086,Brivio - beverate (cariplo),45.740400,9.423083
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,2,0.583333,300398,Brivio - beverate (paese),45.737350,9.427967
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,3,0.583333,L00086,Brivio - beverate (cariplo),45.740517,9.423083
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,4,0.583333,L00398,Brivio - beverate (paese),45.737317,9.428150
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,5,0.5,300487,Brivio - beverate (tre strade),45.734650,9.426850
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.6875,300634,Calco - via Nazionale,45.729600,9.417783
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.682927,300407,Olgiate Molgora - stazione f.s.,45.733710,9.405760
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.682927,L00407,Olgiate Molgora (stazione f.s.),45.729170,9.404410
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.628571,300956,"Calco - via nazionale, 85",45.736600,9.419670
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.5,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300397,Calco - via virgilio,45.724950,9.414950
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00397,Calco - via virgilio,45.724950,9.414367
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,3,0.75,300729,Calco - via virgilio (pensilina asf),45.725017,9.409950
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,4,0.75,L00729,Calco - via virgilio (pensilina asf),45.724950,9.410183
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,5,0.606061,300062,Cisano - bivio brivio,45.740850,9.470500
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300397,Calco - via virgilio,45.724950,9.414950
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00397,Calco - via virgilio,45.724950,9.414367
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,3,0.75,300729,Calco - via virgilio (pensilina asf),45.725017,9.409950
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,4,0.75,L00729,Calco - via virgilio (pensilina asf),45.724950,9.410183
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,5,0.606061,300062,Cisano - bivio brivio,45.740850,9.470500
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.6875,300634,Calco - via Nazionale,45.729600,9.417783
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.682927,300407,Olgiate Molgora - stazione f.s.,45.733710,9.405760
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.682927,L00407,Olgiate Molgora (stazione f.s.),45.729170,9.404410
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.628571,300956,"Calco - via nazionale, 85",45.736600,9.419670
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.5,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,1,0.583333,300086,Brivio - beverate (cariplo),45.740400,9.423083
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,2,0.583333,300398,Brivio - beverate (paese),45.737350,9.427967
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,3,0.583333,L00086,Brivio - beverate (cariplo),45.740517,9.423083
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,4,0.583333,L00398,Brivio - beverate (paese),45.737317,9.428150
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,5,0.5,300487,Brivio - beverate (tre strade),45.734650,9.426850
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,1,0.916667,300404,Cisano - corso mazzini,45.740283,9.474517
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,2,0.916667,L00404,Cisano - corso mazzini,45.740117,9.475100
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,3,0.758621,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,4,0.758621,L00485,Cisano - stazione f.s,45.739740,9.474640
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,5,0.666667,300484,Cisano - municipio,45.739683,9.478567
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300484,Cisano - municipio,45.739683,9.478567
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00484,Cisano - municipio,45.739667,9.478250
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,3,0.666667,L00486,Cisano - via torchio,45.741183,9.461650
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,4,0.580645,300485,Cisano - stazione f.s.,45.739900,9.474483
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,5,0.580645,L00485,Cisano - stazione f.s,45.739740,9.474640
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300483,Caprino - bosco,45.741283,9.483367
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00483,Caprino - bosco,45.741250,9.483483
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,3,0.733333,300482,Caprino - roccolino,45.747950,9.485900
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,4,0.733333,L00482,Caprino - roccolino,45.747517,9.485933
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,5,0.72,300403,Caprino - cava,45.738867,9.484067
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300402,Caprino - piazza marconi,45.744850,9.482017
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00402,Caprino - piazza marconi,45.744783,9.482233
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,3,0.615385,300482,Caprino - roccolino,45.747950,9.485900
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,4,0.615385,L00482,Caprino - roccolino,45.747517,9.485933
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,5,0.588235,300403,Caprino - cava,45.738867,9.484067
D185,2,12,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300399,Sant'Antonio d'Adda,45.755150,9.483880
D185,2,12,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00399,Sant'Antonio d'Adda,45.754750,9.483683
D185,2,12,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,3,0.484848,L00486,Cisano - via torchio,45.741183,9.461650
D185,2,13,CELANA,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300401,Celana,45.750067,9.492217
D185,2,13,CELANA,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00401,Celana,45.750220,9.492070
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,1,1.25,300402,Caprino - piazza marconi,45.744850,9.482017
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,2,1.25,L00402,Caprino - piazza marconi,45.744783,9.482233
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,3,0.615385,300482,Caprino - roccolino,45.747950,9.485900
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,4,0.615385,L00482,Caprino - roccolino,45.747517,9.485933
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,5,0.588235,300403,Caprino - cava,45.738867,9.484067
