trip_id,route_id,source_page,source_column,direction_heading,direction_origin,direction_terminal,day_code,note_code,active_on_reference_date,reference_date,valid_from,valid_to,first_published_time,last_published_time,scheduled_runtime_min,published_timed_stops,runtime_semantics,source_url,source_pdf_sha256,gate_c_commit,epistemic_status,trip_first_published_stop_label,trip_last_published_stop_label,operator_trip_id,trip_identity_semantics,page_direction_semantics
PDF20260903:D150:P01:C01,D150,1,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,,True,2026-09-03,2026-06-09,2026-09-13,06:00,06:47,47,14,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C02,D150,1,2,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,,True,2026-09-03,2026-06-09,2026-09-13,07:01,07:35,34,11,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C03,D150,1,3,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,,True,2026-09-03,2026-06-09,2026-09-13,07:40,08:27,47,14,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C04,D150,1,4,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,A,True,2026-09-03,2026-06-09,2026-09-13,08:20,08:55,35,11,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C05,D150,1,5,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,12345,A,True,2026-09-03,2026-06-09,2026-09-13,10:00,10:31,31,10,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Ospedale Manzoni,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C06,D150,1,6,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,D,True,2026-09-03,2026-06-09,2026-09-13,10:45,11:32,47,14,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C07,D150,1,7,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,A,True,2026-09-03,2026-06-09,2026-09-13,12:15,13:05,50,15,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,MERATE Scuole (Via De Gasperi),,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C08,D150,1,8,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,12345,A,True,2026-09-03,2026-06-09,2026-09-13,12:25,12:57,32,10,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Ospedale Manzoni,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C09,D150,1,9,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,,True,2026-09-03,2026-06-09,2026-09-13,12:22,13:01,39,11,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
PDF20260903:D150:P01:C10,D150,1,10,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,123456,A,True,2026-09-03,2026-06-09,2026-09-13,13:15,13:54,39,11,SCHEDULED_PUBLISHED_TIME_NOT_OBSERVED_RUNTIME,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,dcc3e75ae3b4f4ea5170f48e85345b83620c5536,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,LECCO Meridiane,VALGREGHENTINO,,RECONSTRUCTED_TIMETABLE_COLUMN_ID_NOT_OPERATOR_TRIP_ID,PUBLISHED_PAGE_ORIENTATION_NOT_NECESSARILY_TRIP_ENDPOINTS
