physical_cluster_id,threshold_min,population_reachable_2025,population_denominator_2025,cell_count,gtfs_records_used_as_sources,epistemic_status
EX_001,5,121.15550257689023,22914.0,15,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_001,8,547.9303515668897,22914.0,60,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_001,10,1027.3083145093603,22914.0,97,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_001,12,1640.709014612156,22914.0,148,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_002,5,809.4272879681705,22914.0,44,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_002,8,1656.3730577308158,22914.0,100,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_002,10,1970.4552634412066,22914.0,142,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_002,12,2171.2480324051544,22914.0,192,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_003,5,284.4594692886162,22914.0,25,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_003,8,655.9597452321258,22914.0,57,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_003,10,1158.0833961423689,22914.0,108,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_003,12,1692.5629667409162,22914.0,170,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_004,5,296.749136728167,22914.0,35,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_004,8,642.1434473323689,22914.0,85,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_004,10,942.0326182431385,22914.0,150,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_004,12,1513.378647027328,22914.0,226,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_005,5,632.097030904692,22914.0,30,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_005,8,1550.702623377156,22914.0,81,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_005,10,1943.4411891644327,22914.0,114,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_005,12,2509.603806955003,22914.0,170,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_006,5,151.6731075964462,22914.0,24,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_006,8,569.0043882096656,22914.0,80,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_006,10,829.2936469986819,22914.0,128,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_006,12,1265.4040734441774,22914.0,190,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_007,5,687.4874663520712,22914.0,30,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_007,8,1691.9242642872437,22914.0,83,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_007,10,2308.0374171887725,22914.0,140,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_007,12,2756.3252367677287,22914.0,181,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,5,480.4109182973632,22914.0,32,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,8,1125.992689206542,22914.0,107,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,10,1331.600817772557,22914.0,161,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_008,12,1636.4387284612949,22914.0,217,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,5,102.50260732525395,22914.0,3,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,8,814.7860300629006,22914.0,29,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,10,1108.644655991175,22914.0,62,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_009,12,1401.4578954725837,22914.0,93,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,5,327.785622938887,22914.0,35,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,8,818.5533908480587,22914.0,71,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,10,1255.3269136063968,22914.0,109,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_010,12,1889.8418820037887,22914.0,165,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,5,236.7594410416421,22914.0,14,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,8,755.8514536359596,22914.0,54,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,10,1211.0647756405065,22914.0,94,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_011,12,1764.3953162829926,22914.0,135,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,5,376.00259665811933,22914.0,47,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,8,846.3237239950708,22914.0,100,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,10,1459.2401312959744,22914.0,158,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_012,12,2270.8110445615544,22914.0,235,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,5,249.19769479876598,22914.0,26,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,8,634.4660936179672,22914.0,59,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,10,976.0372274842033,22914.0,99,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_014,12,1639.032897669732,22914.0,168,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,5,717.654571649213,22914.0,43,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,8,1282.7755674320072,22914.0,82,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,10,1485.108423236877,22914.0,106,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_015,12,1507.6482476710037,22914.0,126,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,5,261.95175516907005,22914.0,9,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,8,697.0003862848455,22914.0,28,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,10,1356.8528559892025,22914.0,65,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_016,12,1941.4992311896317,22914.0,113,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,5,0.0,22914.0,0,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,8,0.0,22914.0,0,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,10,0.0,22914.0,0,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,12,0.0,22914.0,0,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,5,614.8779395671652,22914.0,26,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,8,1506.7514280508985,22914.0,79,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,10,2306.769523718278,22914.0,137,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,12,2956.9612001941578,22914.0,208,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,5,730.7158062515646,22914.0,40,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,8,1772.7162079947427,22914.0,103,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,10,2340.255475520281,22914.0,130,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,12,3066.769834186643,22914.0,159,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,5,709.7163193789673,22914.0,35,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,8,1335.0524894312277,22914.0,94,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,10,1484.6989649390152,22914.0,115,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,12,1553.6052139771623,22914.0,143,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,5,0.3137130045122033,22914.0,5,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,8,24.814932378453804,22914.0,15,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,10,183.09454548140033,22914.0,31,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,12,251.0321868848136,22914.0,52,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,5,732.7708447807728,22914.0,37,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,8,1278.48880007128,22914.0,77,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,10,1400.802001107255,22914.0,101,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,12,1550.0239110336915,22914.0,136,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,5,239.516087386308,22914.0,32,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,8,475.94028306523876,22914.0,78,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,10,712.5452040728353,22914.0,144,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,12,1054.311265749719,22914.0,220,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,5,431.3514138039694,22914.0,27,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,8,1055.924656286037,22914.0,76,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,10,1696.5642567229138,22914.0,118,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,12,2387.1746124411993,22914.0,175,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,5,471.6808352917131,22914.0,39,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,8,917.0626836860209,22914.0,88,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,10,1272.257126269056,22914.0,129,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
