stop_place_id,operational_stop_no,stop_name,municipality,lat,lon,service_class,source_families,source_native_ids,known_routes,existence_confidence,graph_node_id,attachment_distance_m,attachment_status,route_ready,service_class_automatic,automatic_materialization_eligible,automatic_exclusion_reason,graph_epoch_id,attachment_semantics
ASF::ARLATE_BIVIO_PER_IL_PAESE,12,Arlate - Bivio per il Paese,Calco,45.723445000,9.443970000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA07|CALCOR07,C146,HIGH_CURRENT_OPERATOR,n:534549.56:5063427.02,10.158032450,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,11,Arlate - B.vio Brivio - Madonnina,Calco,45.732650000,9.422050000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA09,C146,HIGH_CURRENT_OPERATOR,n:532842.42:5064426.53,6.373758631,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ARLATE_CANTINA_PIROVANO,13,Arlate - Cantina Pirovano,Calco,45.727265000,9.436900000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA08|CALCOR08,C146,HIGH_CURRENT_OPERATOR,n:533967.82:5063859.74,35.410072989,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BEVERATE_CARTELLO_PAESE,1,Beverate - Cartello Paese,Brivio,45.733990000,9.426530000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA05|BRIVIR05,C146,HIGH_CURRENT_OPERATOR,n:533188.78:5064580.99,3.672890564,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BRIVIO_BAR_CRISTALLO,4,Brivio - Via Como (pizzeria / Bar Cristallo),Brivio,45.742315000,9.439315000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA03|BRIVIR03,C146,HIGH_CURRENT_OPERATOR,n:534184.20:5065526.96,18.207389263,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BRIVIO_VIA_COMO_PENSILINA,10,Brivio / Via V. Emanuele (Capolinea),Brivio,45.742400000,9.445910000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIR06,C146,HIGH_CURRENT_OPERATOR,n:534685.94:5065520.58,3.578669554,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::CALCO_LARGO_POMEA,14,Calco - Via Nazionale (edicola),Calco,45.723905000,9.415220000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA06|CALCOR06,C146,HIGH_CURRENT_OPERATOR,n:532307.89:5063449.27,7.418131404,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::CALCO_VIA_GARIBALDI,16,Calco - Via Virgilio,Calco,45.725005000,9.410035000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA05|CALCOR05,C146,HIGH_CURRENT_OPERATOR,n:531909.01:5063573.49,3.409666700,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::IMBERSAGO_LOCALITA_CAZZULINO,19,Imbersago - Località Cazzulino / Arlate Fiorista,Calco,45.718710000,9.444750000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,IMBERA07|IMBERR07,C146,HIGH_CURRENT_OPERATOR,n:534603.14:5062862.41,30.145399218,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::OLGIATE_MOLGORA_SCARPONE,26,Olgiate Molgora - Scarpone,Olgiate Molgora,45.731355000,9.390005000,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,OLGMOA05|OLGMOR05,C146,HIGH_CURRENT_OPERATOR,n:530344.40:5064262.68,11.176429357,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,gate-d-2026-09-03-834d5caa0bfd,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
