finalist_alias,plan_context_id,service_span_min,selected_timetable_id,scenario_id,topology_family,profile_id,bus_to_rail_worst_retention_share_engineering,rail_to_bus_worst_retention_share_engineering,bidirectional_worst_retention_share_engineering,maximum_vehicle_requirement_across_engineering_cases,maximum_additional_vehicle_requirement_across_engineering_cases,any_nominal_block_infeasibility,full_gjt_calculated,missed_connection_probability_inferred,passenger_route_weights_inferred,primary_selected,runner_up_selected,weighted_composite_score
TT-FIG-16,reference|PU2_f89795e69c1c0b1e,960,D4RT001V3_a83abc3b41a4ee68,P2_c34348780d529323,interlined_figure8,HIGH_TRANSFER_FRICTION,1.000000000,0.500000000,0.500000000,2,0,false,false,false,false,false,false,false
TT-FIG-16,reference|PU2_f89795e69c1c0b1e,960,D4RT001V3_a83abc3b41a4ee68,P2_c34348780d529323,interlined_figure8,LOW_TRANSFER_FRICTION,1.000000000,1.000000000,1.000000000,2,0,false,false,false,false,false,false,false
TT-FIG-16,reference|PU2_f89795e69c1c0b1e,960,D4RT001V3_a83abc3b41a4ee68,P2_c34348780d529323,interlined_figure8,MID_TRANSFER_FRICTION,1.000000000,1.000000000,1.000000000,2,0,false,false,false,false,false,false,false
TT-FIG-18.5,reference|PU2_d5db4a5f48c4461c,1110,D4RT001V3_c7318c775dcc1931,P2_017387704e90dfa7,interlined_figure8,HIGH_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
TT-FIG-18.5,reference|PU2_d5db4a5f48c4461c,1110,D4RT001V3_c7318c775dcc1931,P2_017387704e90dfa7,interlined_figure8,LOW_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
TT-FIG-18.5,reference|PU2_d5db4a5f48c4461c,1110,D4RT001V3_c7318c775dcc1931,P2_017387704e90dfa7,interlined_figure8,MID_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
TT-TWO-16,reference|PU2_d25e8a3bcacdf255,960,D4RT001V3_a81a3718416f5cb2,P2_5a8753d7bdcc6a3f,two_independent_loops,HIGH_TRANSFER_FRICTION,1.000000000,0.500000000,0.500000000,2,0,false,false,false,false,false,false,false
TT-TWO-16,reference|PU2_d25e8a3bcacdf255,960,D4RT001V3_a81a3718416f5cb2,P2_5a8753d7bdcc6a3f,two_independent_loops,LOW_TRANSFER_FRICTION,1.000000000,1.000000000,1.000000000,2,0,false,false,false,false,false,false,false
TT-TWO-16,reference|PU2_d25e8a3bcacdf255,960,D4RT001V3_a81a3718416f5cb2,P2_5a8753d7bdcc6a3f,two_independent_loops,MID_TRANSFER_FRICTION,1.000000000,1.000000000,1.000000000,2,0,false,false,false,false,false,false,false
TT-TWO-18.5,reference|PU2_75f7b6bbd1563d0a,1110,D4RT001V3_a87577dd79b3cb3e,P2_3952117a13ec7506,two_independent_loops,HIGH_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
TT-TWO-18.5,reference|PU2_75f7b6bbd1563d0a,1110,D4RT001V3_a87577dd79b3cb3e,P2_3952117a13ec7506,two_independent_loops,LOW_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
TT-TWO-18.5,reference|PU2_75f7b6bbd1563d0a,1110,D4RT001V3_a87577dd79b3cb3e,P2_3952117a13ec7506,two_independent_loops,MID_TRANSFER_FRICTION,0.485714286,0.739130435,0.485714286,2,0,false,false,false,false,false,false,false
