budget_suffix,annual_bus_km_cap,max_headway_min,scenario_id,topology_family,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,frequency_capability_frontier,service_policy_selected,topology_selected,s8_phase_selected
m20pct,89135.200000,15,P2_a7143f626fa3e4c8,single_compact_loop,5549.943088212148,0.243196267246,Brivio,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,15,P2_bc2ca552c84b42c9,blank_slate,2574.832665496477,0.112828128700,Brivio,0E-12,4,643.000000000,true,false,false,false
m20pct,89135.200000,15,P2_d3a8f22f24eccaaa,single_compact_loop,2574.832665496477,0.112828128700,Brivio,0E-12,4,643.000000000,true,false,false,false
m20pct,89135.200000,15,P2_e81f744c00a077cf,blank_slate,5549.943088212148,0.243196267246,Brivio,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_06755a34f49f025f,single_compact_loop,1529.794718651546,0.067034987443,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_1c505c091c9f5b21,blank_slate,2236.382533771905,0.097997380460,Brivio,0.000050341214,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_22bb42ed0ff7cc88,blank_slate,3696.412066826004,0.161975285614,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m20pct,89135.200000,20,P2_39309e97f4fa3d4d,blank_slate,6190.777413523043,0.271277368865,Brivio,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_39a9959520dd71f5,single_compact_loop,2236.382533771905,0.097997380460,Brivio,0.000050341214,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_4dc90710cb9ea40a,hybrid_interlined,2154.462187457761,0.094407663932,Brivio,0.000465712767,0,0E-9,true,false,false,false
m20pct,89135.200000,20,P2_506f266b07b131de,hybrid_interlined,2633.113118647627,0.115381954646,Brivio,0E-12,4,643.000000000,true,false,false,false
m20pct,89135.200000,20,P2_53fd2d4d99e137fc,blank_slate,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m20pct,89135.200000,20,P2_5471c22f76d58f25,two_radial_out_and_back_feeders,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m20pct,89135.200000,20,P2_8031197355654327,blank_slate,1529.794718651546,0.067034987443,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_83df62ba410ac17c,two_radial_out_and_back_feeders,2154.462187457761,0.094407663932,Brivio,0.000465712767,0,0E-9,true,false,false,false
m20pct,89135.200000,20,P2_a44745e961005b24,single_compact_loop,6190.777413523043,0.271277368865,Brivio,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,20,P2_a848f533616861ac,hybrid_interlined,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m20pct,89135.200000,20,P2_d7760ea126f32a9e,two_radial_out_and_back_feeders,2633.113118647627,0.115381954646,Brivio,0E-12,4,643.000000000,true,false,false,false
m20pct,89135.200000,20,P2_f310802c44431269,single_compact_loop,3696.412066826004,0.161975285614,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m20pct,89135.200000,20,P2_fa603ab2af99a6aa,single_compact_loop,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m20pct,89135.200000,30,P2_0c070269c9020acb,single_compact_loop,5525.258485878124,0.242114597930,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m20pct,89135.200000,30,P2_0ce6c0bee21b6682,single_compact_loop,4244.338539339409,0.185985202603,Brivio,0.000465712767,6,375.000000000,true,false,false,false
m20pct,89135.200000,30,P2_0e4640fb8c389468,single_compact_loop,2082.285483454681,0.091244909879,Brivio,0.010743097632,6,447.000000000,true,false,false,false
m20pct,89135.200000,30,P2_1e7011d36f51aaf7,single_compact_loop,4109.142190370581,0.180060953130,Brivio,0E-12,12,733.000000000,true,false,false,false
m20pct,89135.200000,30,P2_23e96469af124fdb,two_radial_out_and_back_feeders,1644.868544957774,0.072077476091,Olgiate Molgora,0.016429295909,6,245.000000000,true,false,false,false
m20pct,89135.200000,30,P2_2d576e441ba72ad4,blank_slate,5210.814946039765,0.228335808863,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m20pct,89135.200000,30,P2_35dc7dd1a817553f,single_compact_loop,3978.331038250024,0.174328861214,Calco,0.027312269272,2,90.000000000,true,false,false,false
m20pct,89135.200000,30,P2_3b5f131610c06f4b,single_compact_loop,2212.322862759913,0.096943095382,La Valletta Brianza,0.009189912991,6,490.000000000,true,false,false,false
m20pct,89135.200000,30,P2_456a136da111f41c,single_compact_loop,7004.690852845653,0.306942727439,La Valletta Brianza,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,30,P2_6988c2fa7dc684e2,single_compact_loop,5652.784416394300,0.247702732761,Brivio,0.000465712767,2,134.000000000,true,false,false,false
m20pct,89135.200000,30,P2_7395d536d1129cbb,blank_slate,5652.784416394300,0.247702732761,Brivio,0.000465712767,2,134.000000000,true,false,false,false
m20pct,89135.200000,30,P2_7d009cdb51335845,blank_slate,3978.331038250024,0.174328861214,Calco,0.027312269272,2,90.000000000,true,false,false,false
m20pct,89135.200000,30,P2_8010a78ef7774c36,blank_slate,7004.690852845653,0.306942727439,La Valletta Brianza,0E-12,2,221.000000000,true,false,false,false
m20pct,89135.200000,30,P2_8bf59d9f2dca31c7,blank_slate,2212.322862759913,0.096943095382,La Valletta Brianza,0.009189912991,6,490.000000000,true,false,false,false
m20pct,89135.200000,30,P2_9858dc3c94ecb6ac,single_compact_loop,3131.686018976129,0.137229218011,Brivio,0E-12,9,844.000000000,true,false,false,false
m20pct,89135.200000,30,P2_b335f165509fd479,blank_slate,4109.142190370581,0.180060953130,Brivio,0E-12,12,733.000000000,true,false,false,false
m20pct,89135.200000,30,P2_bca2fb1c78570670,hybrid_interlined,1644.868544957774,0.072077476091,Olgiate Molgora,0.016429295909,6,245.000000000,true,false,false,false
m20pct,89135.200000,30,P2_c10f0ec58a98978a,blank_slate,5525.258485878124,0.242114597930,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m20pct,89135.200000,30,P2_cda1b119504f1832,single_compact_loop,5210.814946039765,0.228335808863,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m20pct,89135.200000,30,P2_cdd20a132d6e273d,blank_slate,4244.338539339409,0.185985202603,Brivio,0.000465712767,6,375.000000000,true,false,false,false
m20pct,89135.200000,30,P2_d82816f45a73eb48,blank_slate,2082.285483454681,0.091244909879,Brivio,0.010743097632,6,447.000000000,true,false,false,false
m20pct,89135.200000,30,P2_f77c2ba98980326c,blank_slate,3131.686018976129,0.137229218011,Brivio,0E-12,9,844.000000000,true,false,false,false
m20pct,89135.200000,60,P2_0164d5c6797767d3,two_independent_loops,6898.365967445059,0.302283613853,Calco,0.104477910587,6,375.000000000,true,false,false,false
m20pct,89135.200000,60,P2_017387704e90dfa7,interlined_figure8,7817.628539832243,0.342565328939,Calco,0.097892609332,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_0abb5e7919cbdbf6,interlined_figure8,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,12,641.000000000,true,false,false,false
m20pct,89135.200000,60,P2_11236a3b92e0c9f9,blank_slate,4945.239464999217,0.216698398418,Brivio,0.011905513833,12,733.000000000,true,false,false,false
m20pct,89135.200000,60,P2_1781b136fd946d43,blank_slate,4374.697520026413,0.191697480549,Olgiate Molgora,0.058551972786,16,1234.000000000,true,false,false,false
m20pct,89135.200000,60,P2_27f68b11499bd86d,blank_slate,4617.839673949718,0.202351871649,Santa Maria Hoè,0.047970822209,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_32c80edb4b3bb903,two_independent_loops,4622.087388880754,0.202538004804,Olgiate Molgora,0.003809055596,20,1055.000000000,true,false,false,false
m20pct,89135.200000,60,P2_3952117a13ec7506,two_independent_loops,7817.628539832243,0.342565328939,Calco,0.097892609332,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_3df214e9a0f8f532,single_compact_loop,6274.627019867801,0.274951624790,La Valletta Brianza,0.013312939600,12,641.000000000,true,false,false,false
m20pct,89135.200000,60,P2_403bd211d5dc32c5,blank_slate,6029.231541257114,0.264198493911,La Valletta Brianza,0.169393844228,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_48c790501c1edcc1,single_compact_loop,4617.839673949718,0.202351871649,Santa Maria Hoè,0.047970822209,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_4a9242f81f8922a9,blank_slate,6274.627019867801,0.274951624790,La Valletta Brianza,0.013312939600,12,641.000000000,true,false,false,false
m20pct,89135.200000,60,P2_506a6bcb3366a0b7,interlined_figure8,6898.365967445059,0.302283613853,Calco,0.104477910587,6,375.000000000,true,false,false,false
m20pct,89135.200000,60,P2_5b340bc34c204f2a,two_independent_loops,6072.133928092132,0.266078459195,Santa Maria Hoè,0.008955335400,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_5d10764900c45ae2,interlined_figure8,7357.621406266234,0.322408001916,Calco,0.098383376471,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_5d17f8b044ba61bf,two_independent_loops,7357.621406266234,0.322408001916,Calco,0.098383376471,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_60671898a21aef3a,single_compact_loop,4945.239464999217,0.216698398418,Brivio,0.011905513833,12,733.000000000,true,false,false,false
m20pct,89135.200000,60,P2_630176384d80fc43,blank_slate,7306.758993150413,0.320179231491,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_6560a07ee7940940,single_compact_loop,4374.697520026413,0.191697480549,Olgiate Molgora,0.058551972786,16,1234.000000000,true,false,false,false
m20pct,89135.200000,60,P2_661184db360ee92a,two_independent_loops,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,12,641.000000000,true,false,false,false
m20pct,89135.200000,60,P2_6aa0bad7025331b6,single_compact_loop,6029.231541257114,0.264198493911,La Valletta Brianza,0.169393844228,12,567.000000000,true,false,false,false
m20pct,89135.200000,60,P2_76fd09c6516f6610,interlined_figure8,4622.087388880754,0.202538004804,Olgiate Molgora,0.003809055596,20,1055.000000000,true,false,false,false
m20pct,89135.200000,60,P2_778d53c510085764,interlined_figure8,6373.822782299962,0.279298343084,Brivio,0E-12,16,787.000000000,true,false,false,false
m20pct,89135.200000,60,P2_7cf69e51940347ab,two_independent_loops,6373.822782299962,0.279298343084,Brivio,0E-12,16,787.000000000,true,false,false,false
m20pct,89135.200000,60,P2_86baf23936828838,blank_slate,3863.603769854523,0.169301558595,Santa Maria Hoè,0.063137253657,20,1055.000000000,true,false,false,false
m20pct,89135.200000,60,P2_964060b0ced3944b,two_independent_loops,3463.536032293657,0.151770751725,Santa Maria Hoè,0E-12,16,1367.000000000,true,false,false,false
m20pct,89135.200000,60,P2_9b0e07f1e04fa248,single_compact_loop,7306.758993150413,0.320179231491,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_a3f932ddd9c69460,interlined_figure8,5169.202215370468,0.226512355792,La Valletta Brianza,0E-12,9,1017.000000000,true,false,false,false
m20pct,89135.200000,60,P2_a689f0a5fbbe735d,interlined_figure8,3463.536032293657,0.151770751725,Santa Maria Hoè,0E-12,16,1367.000000000,true,false,false,false
m20pct,89135.200000,60,P2_ad5408ca9497179f,interlined_figure8,8000.006577725643,0.350557060987,La Valletta Brianza,0.011997838656,16,676.000000000,true,false,false,false
m20pct,89135.200000,60,P2_b3af627396fc68a3,two_independent_loops,8000.006577725643,0.350557060987,La Valletta Brianza,0.011997838656,16,676.000000000,true,false,false,false
m20pct,89135.200000,60,P2_bbbd40c61011ade3,single_compact_loop,3863.603769854523,0.169301558595,Santa Maria Hoè,0.063137253657,20,1055.000000000,true,false,false,false
m20pct,89135.200000,60,P2_d377763135eeda1f,interlined_figure8,6072.133928092132,0.266078459195,Santa Maria Hoè,0.008955335400,12,753.000000000,true,false,false,false
m20pct,89135.200000,60,P2_e4a23025626dd2b1,two_independent_loops,5169.202215370468,0.226512355792,La Valletta Brianza,0E-12,9,1017.000000000,true,false,false,false
m10pct,100277.100000,15,P2_2bf39fe1dd081930,single_compact_loop,2987.329088820276,0.130903555566,Brivio,0E-12,6,356.000000000,true,false,false,false
m10pct,100277.100000,15,P2_2e602e328bcc0bc2,blank_slate,2987.329088820276,0.130903555566,Brivio,0E-12,6,356.000000000,true,false,false,false
m10pct,100277.100000,15,P2_4dc90710cb9ea40a,hybrid_interlined,2154.462187457761,0.094407663932,Brivio,0.000465712767,0,0E-9,true,false,false,false
m10pct,100277.100000,15,P2_53fd2d4d99e137fc,blank_slate,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m10pct,100277.100000,15,P2_83df62ba410ac17c,two_radial_out_and_back_feeders,2154.462187457761,0.094407663932,Brivio,0.000465712767,0,0E-9,true,false,false,false
m10pct,100277.100000,15,P2_975f4957dae062ac,blank_slate,2820.924056708516,0.123611754188,Brivio,0E-12,6,447.000000000,true,false,false,false
m10pct,100277.100000,15,P2_a7143f626fa3e4c8,single_compact_loop,5549.943088212148,0.243196267246,Brivio,0E-12,2,221.000000000,true,false,false,false
m10pct,100277.100000,15,P2_bc2ca552c84b42c9,blank_slate,2574.832665496477,0.112828128700,Brivio,0E-12,4,643.000000000,true,false,false,false
m10pct,100277.100000,15,P2_c9a5b4d82cb1c594,single_compact_loop,2820.924056708516,0.123611754188,Brivio,0E-12,6,447.000000000,true,false,false,false
m10pct,100277.100000,15,P2_d3a8f22f24eccaaa,single_compact_loop,2574.832665496477,0.112828128700,Brivio,0E-12,4,643.000000000,true,false,false,false
m10pct,100277.100000,15,P2_e81f744c00a077cf,blank_slate,5549.943088212148,0.243196267246,Brivio,0E-12,2,221.000000000,true,false,false,false
