year,signal,inside_own_municipality,outside_own_municipality,inside_plus_outside
2019,Lavoro,9465508.0,14323082.0,23788590.0
2019,Scuola,6001829.0,2041960.0,8043789.0
2019,Università,241425.0,884654.0,1126079.0
2020,Lavoro,10517206.0,13061426.0,23578632.0
2020,Scuola,5933010.0,2059470.0,7992480.0
2020,Università,253881.0,940879.0,1194760.0
2021,Lavoro,10562290.0,13702038.0,24264328.0
2021,Scuola,5926763.0,2076341.0,8003104.0
2021,Università,245770.0,918947.0,1164717.0
2022,Lavoro,10903169.0,14105705.0,25008874.0
2022,Scuola,5833137.0,2053791.0,7886928.0
2022,Università,233204.0,860745.0,1093949.0
2023,Lavoro,11107195.0,14341273.0,25448468.0
2023,Scuola,5722600.0,2034116.0,7756716.0
2023,Università,233180.0,844601.0,1077781.0
