istat,comune,year,resident_population,employed_residents
097002,Airuno,2019,2783.0,
097002,Airuno,2020,2794.0,
097002,Airuno,2021,2832.0,
097002,Airuno,2022,2856.0,
097002,Airuno,2023,2868.0,
097002,Airuno,2024,2884.0,
097010,Brivio,2019,4503.0,
097010,Brivio,2020,4466.0,
097010,Brivio,2021,4459.0,
097010,Brivio,2022,4412.0,
097010,Brivio,2023,4419.0,
097010,Brivio,2024,4357.0,
097012,Calco,2019,5427.0,
097012,Calco,2020,5369.0,
097012,Calco,2021,5333.0,
097012,Calco,2022,5410.0,
097012,Calco,2023,5411.0,
097012,Calco,2024,5460.0,
097020,Cernusco Lombardone,2019,3824.0,
097020,Cernusco Lombardone,2020,3788.0,
097020,Cernusco Lombardone,2021,3808.0,
097020,Cernusco Lombardone,2022,3774.0,
097020,Cernusco Lombardone,2023,3845.0,
097020,Cernusco Lombardone,2024,3853.0,
097039,Imbersago,2019,2455.0,
097039,Imbersago,2020,2486.0,
097039,Imbersago,2021,2480.0,
097039,Imbersago,2022,2494.0,
097039,Imbersago,2023,2482.0,
097039,Imbersago,2024,2494.0,
097092,La Valletta Brianza,2019,4654.0,
097092,La Valletta Brianza,2020,4646.0,
097092,La Valletta Brianza,2021,4670.0,
097092,La Valletta Brianza,2022,4650.0,
097092,La Valletta Brianza,2023,4644.0,
097092,La Valletta Brianza,2024,4656.0,
097044,Lomagna,2019,5065.0,
097044,Lomagna,2020,5065.0,
097044,Lomagna,2021,5026.0,
097044,Lomagna,2022,4975.0,
097044,Lomagna,2023,5020.0,
097044,Lomagna,2024,5058.0,
097048,Merate,2019,14492.0,
097048,Merate,2020,14702.0,
097048,Merate,2021,14661.0,
097048,Merate,2022,14826.0,
097048,Merate,2023,14882.0,
097048,Merate,2024,14954.0,
097053,Montevecchia,2019,2690.0,
097053,Montevecchia,2020,2673.0,
097053,Montevecchia,2021,2677.0,
097053,Montevecchia,2022,2681.0,
097053,Montevecchia,2023,2681.0,
097053,Montevecchia,2024,2665.0,
097058,Olgiate Molgora,2019,6392.0,
097058,Olgiate Molgora,2020,6406.0,
097058,Olgiate Molgora,2021,6346.0,
097058,Olgiate Molgora,2022,6294.0,
097058,Olgiate Molgora,2023,6284.0,
097058,Olgiate Molgora,2024,6332.0,
097061,Osnago,2019,4787.0,
097061,Osnago,2020,4771.0,
097061,Osnago,2021,4742.0,
097061,Osnago,2022,4735.0,
097061,Osnago,2023,4712.0,
097061,Osnago,2024,4769.0,
097062,Paderno d'Adda,2019,3824.0,
097062,Paderno d'Adda,2020,3834.0,
097062,Paderno d'Adda,2021,3846.0,
097062,Paderno d'Adda,2022,3863.0,
097062,Paderno d'Adda,2023,3878.0,
097062,Paderno d'Adda,2024,3881.0,
097071,Robbiate,2019,6313.0,
097071,Robbiate,2020,6248.0,
097071,Robbiate,2021,6262.0,
097071,Robbiate,2022,6266.0,
097071,Robbiate,2023,6324.0,
097071,Robbiate,2024,6383.0,
097074,Santa Maria Hoè,2019,2166.0,
097074,Santa Maria Hoè,2020,2127.0,
097074,Santa Maria Hoè,2021,2130.0,
097074,Santa Maria Hoè,2022,2123.0,
097074,Santa Maria Hoè,2023,2113.0,
097074,Santa Maria Hoè,2024,2109.0,
097091,Verderio,2019,5580.0,
097091,Verderio,2020,5520.0,
097091,Verderio,2021,5508.0,
097091,Verderio,2022,5505.0,
097091,Verderio,2023,5452.0,
097091,Verderio,2024,5490.0,
