scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,reference_budget_feasible_no_extension_policy_count,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,was_on_prior_robustness_frontier
P2_001a61609ccacf8e,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_0025a0f6ca8871c3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_00a951c298b51040,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_00be2280c8596720,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_013869dd79524d40,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_01be627b3dd863a8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_028022c8072480d9,hybrid_interlined,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,221,0,221,0.084249644564,0.158496675932,0.1990055526,0.0,0.0,0.0,0.0,2,5.874345205,11.772608355,2,2,H15_CORE_0600_2200,false
P2_02ad2266b1b1eb9b,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_02fb06ff3674e94b,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.060786677466,0.115214611952,0.150075560756,0.0,0.0,0.0,0.0,1,2.069205165,4.571521958,1,53,H15_CORE_0600_2200,false
P2_0306f6b7da30e4cd,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200,true
P2_03533c300978394b,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_0368062d74649e2f,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200,true
P2_039fba3cd06804d8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_042be48310cf60eb,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,221,0,221,0.084249644564,0.158496675932,0.1990055526,0.0,0.0,0.0,0.0,2,5.874345205,11.772608355,2,2,H15_CORE_0600_2200,false
P2_0464aa7ea164b27a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200,true
