alpha_stop_id,physical_cluster_id,human_label,municipality,lat,lon,graph_node_id,snap_distance_m,snap_status,stop_class,evidence_status,physical_status,candidate_status,field_check_status,current_routes,current_d184_d185,existing_official,human_identity_ready,route_ready,in_study_area,alpha_design_eligible,alpha_eligibility_reason,infrastructure_reuse_scope,source_lineage,epoch_id
existing:EX_001,EX_001,Brivio - s.s. briantea,Brivio,45.73464,9.42271,n:532851.78:5064657.22,36.159248926,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_002,EX_002,Brivio - capolinea,Brivio,45.741333,9.4457,n:534678.16:5065404.73,6.130956667,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_003,EX_003,Brivio - beverate (cariplo),Brivio,45.7404,9.423083,n:532908.34:5065306.79,5.133888196,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_004,EX_004,Brivio - vaccarezza,Brivio,45.73685,9.436083,n:533924.18:5064904.08,2.731631695,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_008,EX_008,Brivio - beverate (paese),Brivio,45.73735,9.427967,n:533312.71:5064950.82,3.588222979,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_009,EX_009,Cisano - sosta,Brivio,45.739883,9.451267,n:535120.41:5065256.67,5.497522789,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_010,EX_010,Brivio - via como (pizzeria),Brivio,45.742417,9.439367,n:534184.20:5065526.96,6.90576859,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_012,EX_012,Brivio - beverate (tre strade),Brivio,45.73465,9.42685,n:533213.98:5064665.16,3.166124306,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_013,EX_013,Monte Marenzo - levata (smalti riva),Brivio,45.77215,9.44324,n:534456.02:5068815.70,12.158796528,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_014,EX_014,Airuno - elettroadda,Brivio,45.741333,9.423283,n:532929.94:5065402.33,6.978211387,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
