config_id,penalty_increment,max_runtime_factor,max_overlap,fixture_count,admitted_corridor_appearances,nonbaseline_alternative_appearances,fixtures_with_nonbaseline_alternative,generation_paths_examined,baseline_exact_all_fixtures,all_admitted_turn_legal,all_admitted_physical_loopless,all_admitted_not_faster_than_gate_d_shortest,elapsed_seconds,config_status,parameter_semantics
CFG_01,0.1,1.25,0.75,5,9,5,3,47,True,True,True,True,7.310716588000005,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_02,0.1,1.25,0.9,5,11,7,4,47,True,True,True,True,7.311367535000002,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_03,0.1,1.5,0.75,5,10,6,4,47,True,True,True,True,7.3483212200000025,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_04,0.1,1.5,0.9,5,12,8,5,47,True,True,True,True,7.372155120000002,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_05,0.2,1.25,0.75,5,8,4,3,47,True,True,True,True,8.917323621999998,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_06,0.2,1.25,0.9,5,11,7,4,41,True,True,True,True,7.712951676999978,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_07,0.2,1.5,0.75,5,10,6,4,47,True,True,True,True,8.914587482000002,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_08,0.2,1.5,0.9,5,13,9,5,41,True,True,True,True,7.740458773,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_09,0.35,1.25,0.75,5,8,4,3,47,True,True,True,True,10.611113053000025,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_10,0.35,1.25,0.9,5,11,7,4,40,True,True,True,True,8.110356233999994,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_11,0.35,1.5,0.75,5,13,9,5,43,True,True,True,True,8.876594412000003,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
CFG_12,0.35,1.5,0.9,5,14,10,5,38,True,True,True,True,7.240194817999992,PASS,TECHNICAL_EXPLORATION_SETTING_NOT_POLICY_WEIGHT_OR_RECOMMENDATION
