evidence_id,line_id,operator,timetable_stop_name,municipality_context,validity_start,validity_end,temporal_status_as_of_2026_09_05,source_url,source_page,evidence_level,epistemic_status,notes
AR184_001,D184,Arriva Italia,OLGIATE MOLGORA FS,Olgiate Molgora,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Appears in both timetable directions. Timetable explicitly valid from 14 Sep 2026 to 8 Jun 2027."
AR184_002,D184,Arriva Italia,OLGIATE MOLGORA Scarpone,Olgiate Molgora,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Appears in both timetable directions."
AR184_003,D184,Arriva Italia,S.MARIA HOE' Alduno,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Appears in both timetable directions."
AR184_004,D184,Arriva Italia,ROVAGNATE SS342/Via Lombardia,La Valletta Brianza,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Reverse direction wording is Rovagnate statale incrocio via Lombardia."
AR184_005,D184,Arriva Italia,PEREGO SS342/Via S. Caterina,La Valletta Brianza,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Reverse direction wording is Perego statale incrocio via S.Caterina."
AR184_006,D184,Arriva Italia,S. MARIA HOE' Alpino Via Como,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Appears in both timetable directions."
AR184_007,D184,Arriva Italia,S. MARIA HOE' Tremonte incrocio via Leopardi,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Selected trips only."
AR184_008,D184,Arriva Italia,S. MARIA HOE centro,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Appears on several trips; timetable is timing-point oriented and not a complete physical stop inventory."
AR184_009,D184,Arriva Italia,HOE',Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Timetable place label; municipality context is contextual and does not replace polygon containment for coordinates."
AR148_001,D148,Arriva Italia,S. MARIA HOE' (Alpino),Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D148-S.Maria-Hoe-Airuno-Besana-inv27.pdf,0,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,"Official winter 2026/27 timetable."
