route_id,stop_code,stop_name,lat,lon,municipality_exact,source_status
2:C_46,OLGMOA05,Olgiate Molgora - Scarpone,45.73133,9.39012,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,OLGMOR05,Olgiate Molgora - Scarpone,45.73138,9.38989,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,OLGMOA06,Olgiate Molgora - Via Della Salute,45.73172,9.39085,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,OLGMOR06,Olgiate Molgora - Via Della Salute,45.73175,9.39086,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,OLGMOA04,Olgiate Molgora - Via Statale,45.72868,9.40047,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,OLGMOR04,Olgiate Molgora - Via Statale,45.72867,9.40052,Olgiate Molgora,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOA05,Calco - Via Garibaldi,45.72501,9.41011,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOR05,Calco - via Garibaldi,45.72500,9.40996,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOA06,Calco - Largo Pomea,45.72394,9.41525,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOR06,Calco - Largo Pomea,45.72387,9.41519,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOA07,Arlate - Bivio per il Paese,45.72344,9.44397,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOR07,Arlate - Bivio per il Paese,45.72345,9.44397,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOA08,Arlate - Cantina Pirovano,45.72726,9.43691,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOR08,Arlate - Cantina Pirovano,45.72727,9.43689,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,CALCOA09,Arlate - B.vio Brivio - Madonnina,45.73265,9.42205,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,IMBERA07,Imbersago - Località Cazzulino,45.71871,9.44475,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP_POLYGON_ASSIGNMENT
2:C_46,IMBERR07,Imbersago - Località Cazzulino,45.71871,9.44475,Calco,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP_POLYGON_ASSIGNMENT
2:C_46,BRIVIA05,Beverate - Cartello Paese,45.73401,9.42654,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIR05,Beverate - Cartello Paese,45.73397,9.42652,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIA04,Vaccarezza - Cartello Paese,45.73672,9.43594,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIR04,Vaccarezza - Cartello Paese,45.73701,9.43615,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIA03,Brivio - Bar Cristallo,45.74234,9.43934,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIR03,Brivio - Bar Cristallo,45.74229,9.43929,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,BRIVIR06,Brivio - Via Como - Pensilina,45.74240,9.44591,Brivio,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,ROVAGA01,Rovagnate-S.S- Ang. V. Lombardia,45.73719,9.37035,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,ROVAGR01,Rovagnate - S.S. - Ang. V. Lombardia,45.73716,9.36935,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,ROVAGA03,Rovagnate - Strada Statale - AGIP,45.73721,9.37446,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,ROVAGR03,Rovagnate - Strada Statale - AGIP,45.73721,9.37436,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,PERE_A01,Perego - Via Statale 79,45.73863,9.36241,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,PERE_R01,Perego - Via Statale 79,45.73854,9.36274,La Valletta Brianza,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
2:C_46,ROVAGA04,Rovagnate - Frazione Alduno,45.73481,9.38253,Santa Maria Hoè,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP_POLYGON_ASSIGNMENT
2:C_46,ROVAGAR4,Rovagnate - Frazione Alduno,45.73489,9.38233,Santa Maria Hoè,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP_POLYGON_ASSIGNMENT
2:C_46,SAMAHA04,Santa Maria Hoè - Via Giovanni XXIII,45.74120,9.38030,Santa Maria Hoè,SUBAGENT_REPORTED_OFFICIAL_ASF_OTP
