source_operator,route,source_kind,source_validity,source_stop_name,municipality_assessment,v3_candidate_cluster,assessment,evidence_note,source_url
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Perego - Via Statale 79`,La Valletta Brianza,EX_027,LIKELY_EXISTING_ALIAS_REVIEW,"V3 has Perego - s.s. 342/via s.caterina; physical identity requires coordinate/stop-code confirmation.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Rovagnate - S.S. - Ang. V. Lombardia`,La Valletta Brianza,EX_030,LIKELY_EXISTING_ALIAS_REVIEW,"V3 has Rovagnate - vinicola ghezzi; D184 official timetable uses the Via Lombardia wording. Confirm same physical stop before merge.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Rovagnate - Strada Statale - AGIP`,La Valletta Brianza,,AMBIGUOUS_EXISTING_CLUSTER_REVIEW,"V3 contains Rovagnate semaforo and Rovagnate la pesa. Name-only evidence cannot choose one safely.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Rovagnate - Frazione Alduno`,BOUNDARY_REVIEW,EX_026,NAME_MUNICIPALITY_CONFLICT_REVIEW,"ASF schema labels the stop Rovagnate; Arriva D184 labels Alduno as S. Maria Hoè. Exact coordinates/polygon assignment required.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Olgiate Molgora - Scarpone`,Olgiate Molgora,EX_023,EXISTING_CLUSTER_CORROBORATED,"Independent official operator source corroborates an already represented V3 physical cluster.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Olgiate Molgora - Via Statale`,Olgiate Molgora,EX_018,EXISTING_CLUSTER_CORROBORATED,"Independent official operator source corroborates an already represented V3 physical cluster.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Calco - Via Garibaldi`,Calco,,POTENTIAL_MISSING_CLUSTER,"No obvious V3 physical cluster with this official stop name. Needs ASF stop-code/coordinates and spatial conflation.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Calco - Largo Pomea`,Calco,,POTENTIAL_MISSING_CLUSTER,"No obvious V3 physical cluster with this official stop name. Also appears in published 2026/27 D148 timetable as Largo Pomeo.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Calco - Via Statale - Ang. Scagnello`,Calco,,POTENTIAL_MISSING_OR_DIFFERENT_CLUSTER,"Do not force-match to Calco via statale (edicola) without coordinates; the labels can refer to different physical locations.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
ASF Autolinee,C146,OFFICIAL_LINE_SCHEMA,CURRENT_MAIN_ROUTE,`Beverate - Cartello Paese`,Brivio,EX_008,LIKELY_EXISTING_ALIAS_REVIEW,"Likely related to V3 Brivio - beverate (paese); confirm side/stop code.",https://www.asfautolinee.it/wp-content/uploads/schema/C146.pdf
