osm_type,osm_id,osm_lon,osm_lat,osm_name,osm_name_norm,osm_ref,osm_network,osm_operator,osm_public_transport,osm_highway,osm_bus,osm_shelter,osm_bench,osm_departures_board,osm_tactile_paving,matched_physical_cluster_id,match_status,match_distance_m,match_exact_ref,match_exact_name,match_token_jaccard,nearest_gtfs_cluster_id_even_if_unmatched,nearest_gtfs_distance_m,second_nearest_gtfs_distance_m,gtfs_cluster_names,gtfs_cluster_routes,gtfs_cluster_municipalities,epistemic_status
node,13637611233,9.4152282,45.7240616,Calco - via statale (edicola),calco via statale edicola,,,,platform,bus_stop,yes,,,,,EX_005,CONFIRMED_EXACT_NAME_DISTANCE,17.426,False,True,1.0,EX_005,17.426,101.05,Calco - via statale (edicola),D148|D150,Calco,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637611235,9.4233459,45.7414384,Airuno - elettroadda,airuno elettroadda,,,,platform,bus_stop,yes,,,,,EX_014,CONFIRMED_EXACT_NAME_DISTANCE,12.003,False,True,1.0,EX_014,12.003,104.394,Airuno - elettroadda,D148|D150,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768776,9.422965,45.7406747,Brivio - beverate (cariplo),brivio beverate cariplo,,,,platform,bus_stop,yes,,,,,EX_003,CONFIRMED_EXACT_NAME_DISTANCE,19.78,False,True,1.0,EX_003,19.78,77.21,Brivio - beverate (cariplo),D150|D185,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768777,9.4280344,45.737395,Brivio - beverate (paese),brivio beverate paese,,,,platform,bus_stop,yes,,,,,EX_008,CONFIRMED_EXACT_NAME_DISTANCE,7.245,False,True,1.0,EX_008,7.245,304.294,Brivio - beverate (paese),D150|D185,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768778,9.4269884,45.7347441,Brivio - beverate (quattro strade),brivio beverate quattro strade,,,,platform,bus_stop,yes,,,,,EX_012,CONFIRMED_EXACT_NAME_DISTANCE,5.005,False,True,1.0,EX_012,5.005,299.367,Brivio - beverate (quattro strade)|Brivio - beverate (tre strade),D150|D185,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768780,9.4361736,45.7369195,Brivio - vaccarezza,brivio vaccarezza,,,,platform,bus_stop,yes,,,,,EX_004,CONFIRMED_EXACT_NAME_DISTANCE,10.455,False,True,1.0,EX_004,10.455,625.791,Brivio - vaccarezza,D148|D150|D185,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768781,9.439057,45.7421563,Brivio - via como (pizzeria),brivio via como pizzeria,,,,platform,bus_stop,yes,,,,,EX_010,CONFIRMED_EXACT_NAME_DISTANCE,13.646,False,True,1.0,EX_010,13.646,524.811,Brivio - via como (pizzeria),D148|D150|D185,Brivio,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768782,9.4441652,45.7235589,Calco- arlate - (provinciale),calco arlate provinciale,,,,platform,bus_stop,yes,,,,,EX_015,CONFIRMED_EXACT_NAME_DISTANCE,8.166,False,True,1.0,EX_015,8.166,249.748,Calco - arlate - (provinciale)|Calco- arlate - (provinciale),D150|D170,Calco,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,13637768783,9.4446158,45.7182107,Imbersago - arlate (fiorista),imbersago arlate fiorista,,,,platform,bus_stop,yes,,,,,EX_031,CONFIRMED_EXACT_NAME_DISTANCE,8.144,False,True,1.0,EX_031,8.144,589.822,Imbersago - arlate (fiorista),D150|D170,Calco,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
node,14006806497,9.4149131,45.7249932,Calco - via virgilio,calco via virgilio,,,,platform,bus_stop,yes,,,,,EX_007,CONFIRMED_EXACT_NAME_DISTANCE,5.593,False,True,1.0,EX_007,5.593,42.766,Calco - via virgilio,D185,Calco,CROSS_SOURCE_EXISTING_STOP_EVIDENCE
