verification_id,stop_place_or_area,maps_label,latitude,longitude,maps_bus_pin,relation,source_status,notes
GMV001,Santa Maria Hoè Via Giovanni XXIII,Santa Maria Hoè - Via Giovanni XXIII,45.74120,9.38030,YES,DISTINCT_BOARDING_POINT,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches ASF SAMAHA04"
GMV002,Tremonte Via Leopardi,S.Maria Hoe' - tremonte/via leopardi,45.74116,9.38091,YES,DISTINCT_BOARDING_POINT,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches ASF SAMAHR04 and Arriva 300903; 47.5 m from Via Giovanni XXIII west-side pin"
GMV003,Tremonte,S.Maria Hoe' - tremonte,45.74278,9.37826,YES,DISTINCT_BOARDING_POINT,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches Arriva 300805"
GMV004,Tremonte Via Trento,S.Maria Hoe' - tremonte/ via trento,45.74259,9.37831,YES,DISTINCT_BOARDING_POINT,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches Arriva L00904; 21 m from Tremonte pin"
GMV005,Santa Maria Hoè Centro,S.Maria Hoe' - Centro,45.74288,9.38045,YES,DISTINCT_BOARDING_POINT,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Additional distinct Google Maps pin"
GMV006,Calco Scagnello,Calco - Via Statale/Via Scagnello (Esselunga),45.7169153,9.4082750,YES,DIRECTIONAL_PAIR_PIN_1,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"East side / reported direction north"
GMV007,Calco Scagnello,Calco - Via Statale/Via Scagnello (Esselunga),45.7168196,9.4080556,YES,DIRECTIONAL_PAIR_PIN_2,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"West side / reported direction south"
GMV008,Alduno,Rovagnate - Frazione Alduno,45.7350134,9.3822465,YES,DIRECTIONAL_PAIR_PIN_1,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches Arriva 300871 and ASF ROVAGAR4-side evidence"
GMV009,Alduno,Rovagnate - Frazione Alduno,45.7346870,9.3825502,YES,DIRECTIONAL_PAIR_PIN_2,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Matches Arriva L00871 and ASF ROVAGA04-side evidence"
GMV010,Arlate Madonnina,Arlate - B.vio Brivio - Madonnina,45.73265,9.42205,YES,SINGLE_MAPS_PIN_OBSERVED,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"ASF only CALCOA09; no CALCOR09 reported"
GMV011,San Zeno,,, ,NO,NO_GOOGLE_MAPS_TRANSIT_PIN_OBSERVED,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Nearest reported Maps stop Olgiate Molgora Scarpone ~950 m NE"
GMV012,Mondonico borgo,,, ,NO,NO_GOOGLE_MAPS_TRANSIT_PIN_OBSERVED,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Nearest reported Maps stop S. Maria Hoè - Tre Strade ~710 m west"
GMV013,Calco Alta / Piazza San Vigilio,,, ,NO,NO_GOOGLE_MAPS_TRANSIT_PIN_OBSERVED,GOOGLE_MAPS_SUBAGENT_BROWSER_VERIFIED,"Nearest reported Maps stop via Nazionale 90 ~150 m west"
