resolution_id,stop_place_canonical,google_maps_label_or_alias,operator_code_or_codes,latitude_1,longitude_1,latitude_2,longitude_2,pair_distance_m,physical_municipality_exact,identity_resolution,evidence_status,notes
USR001,Olgiate Molgora - Via Statale,Via Statale,OLGMOA04,45.72864728792405,9.4004131048277,,,,Olgiate Molgora,CONFIRMED_BOARDING_POINT,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_CODE","Some interfaces may label this ambiguously as Calco; exact geometry is in Olgiate Molgora."
USR002,Calco - Largo Pomea / Via Nazionale (edicola),Calco - Via Nazionale (edicola),CALCOA06,45.72393799996407,9.415252465357927,,,,Calco,SAME_BOARDING_POINT_OPERATOR_NAME_VS_MAPS_ALIAS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_PATTERN","ASF OTP canonical name is Calco - Largo Pomea; Google Maps/Arriva use Via Nazionale/Statale (edicola). Same code/geometry, not two stops."
USR003,Calco - Via Scagnello / Esselunga,Calco - Via Statale/Via Scagnello (Esselunga),CALCOA04|CALCOR04,45.71691647047958,9.40827705210095,45.71682017362495,9.408055828737293,20.24,Merate boundary context,ONE_STOP_PLACE_TWO_DIRECTIONAL_BOARDING_POINTS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_PATTERN","Both A04/R04 confirmed. Exact coordinates fall just outside Calco polygon on Merate side; retain as core boundary/service-context stop place."
USR004,Calco - Via Garibaldi / Via Virgilio,Calco - Via Virgilio,CALCOA05|CALCOR05,45.7250722705351,9.409878033560423,45.724948813319294,9.410190528068007,27.87,Calco,ONE_STOP_PLACE_TWO_DIRECTIONAL_BOARDING_POINTS_OPERATOR_NAME_VS_MAPS_ALIAS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_PATTERN","ASF canonical name is Via Garibaldi; Google Maps and Arriva use Via Virgilio. A second Google Maps pin farther ahead was observed but has no matched operator identity and is not merged."
USR005,Brivio - Bar Cristallo / Via Como (pizzeria),Brivio - via Como (pizzeria),BRIVIA03|BRIVIR03,45.74240335081691,9.439461677958459,,,,Brivio,CONFIRMED_STOP_PLACE_WITH_TWO_DIRECTIONAL_BOARDING_POINTS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_PATTERN","Google alias Via Como (pizzeria) corresponds to ASF Bar Cristallo. Manual coordinate is ~7.5 m from frozen Arriva 300406 geometry. Opposite directional record exists in ASF."
USR006,Brivio - Via Vittorio Emanuele / current central Brivio stop,Brivio,BRIVIR06,45.74243406112051,9.445898773323027,45.74242767371008,9.445819057545727,6.23,Brivio,SAME_CURRENT_BOARDING_AREA_MULTIPLE_LABELS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_CURRENT","Google Brivio, Google Via V. Emanuele (Capolinea), and current ASF BRIVIR06 / Via Como - Pensilina geometry refer to the same central boarding area during bridge-closure operations."
USR007,Brivio - Via Bergamo (Scuola Materna),Brivio - Via Bergamo (Scuola Materna),,45.74133026586209,9.445699239645878,,,,Brivio,DISTINCT_STOP_PLACE_FROM_CENTRAL_BRIVIO,"USER_MANUAL_STREETVIEW_GOOGLE_MAPS_PLUS_FROZEN_GTFS_GEOMETRY","Large bus bay and ASF signage observed in Street View. Geometry is ~0.31 m from frozen GTFS 300063 Brivio - capolinea, proving the old same-name GTFS collision involved a separate physical location. Current service/line membership remains unresolved."
USR008,Santa Maria Hoè - Via Giovanni XXIII / Tremonte-Via Leopardi,Santa Maria Hoè - Via Giovanni XXIII / S.Maria Hoe' - tremonte/via leopardi,SAMAHA04|SAMAHR04,45.74120,9.38030,45.74116,9.38091,47.5,Santa Maria Hoè,ONE_STOP_PLACE_TWO_DIRECTIONAL_BOARDING_POINTS_WITH_DIFFERENT_MAPS_ALIASES,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_NAME_PAIR_PLUS_ARRIVA","User confirms same passenger stop place in opposite travel directions; ASF gives one stop-place name to both codes while Google/Arriva expose different side labels. Do not collapse boarding points."
USR009,Santa Maria Hoè - Alduno,Rovagnate - Frazione Alduno,ROVAGA04|ROVAGAR4,45.73501168706144,9.382233480203531,45.73469476700863,9.382560390111076,43.16,Santa Maria Hoè,ONE_STOP_PLACE_TWO_DIRECTIONAL_BOARDING_POINTS,"USER_MANUAL_GOOGLE_MAPS_PLUS_OFFICIAL_ASF_AND_ARRIVA","ASF name is territorially misleading: Alduno is in Santa Maria Hoè. Municipality assigned from geometry, not name prefix."
USR010,Santa Maria Hoè - Centro,S. Maria Hoè - Centro,,,,,,,Santa Maria Hoè,NO_GOOGLE_MAPS_TRANSIT_PIN_OBSERVED_CURRENT_MANUAL_CHECK,"USER_MANUAL_GOOGLE_MAPS_ABSENCE_CHECK","User reports no current Google Maps stop pin named Centro. This does not by itself invalidate historical/frozen GTFS Paese/Centro records."
