evidence_id,line_id,operator,timetable_stop_name,municipality_context,validity_start,validity_end,temporal_status_as_of_2026_09_05,source_url,source_page,evidence_level,epistemic_status_service,notes_service,crosswalk_id,target_operator_named_stop_place_id,target_source_records,stop_place_decision,boarding_point_decision,epistemic_status_crosswalk,evidence_basis,notes_crosswalk
AR184_001,D184,Arriva Italia,OLGIATE MOLGORA FS,Olgiate Molgora,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Appears in both timetable directions. Timetable explicitly valid from 14 Sep 2026 to 8 Jun 2027.,AXW001,,FROZEN_GTFS::300407|FROZEN_GTFS::L00407,SAME_STOP_PLACE_CONFIRMED,BOARDING_GEOMETRY_RESOLVED_TO_L00407_AREA_SOURCE_300407_COORDINATE_CONFLICT,DERIVED,Exact station identity plus previously audited source-coordinate conflict SPREV001,Do not treat displaced 300407 coordinate as a second station.
AR184_002,D184,Arriva Italia,OLGIATE MOLGORA Scarpone,Olgiate Molgora,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Appears in both timetable directions.,AXW002,SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_SCARPONE,ASF_OTP::OLGMOA05|ASF_OTP::OLGMOR05|FROZEN_GTFS::300803|FROZEN_GTFS::L00803,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,Official Arriva Scarpone timing point; official ASF same stop name; frozen Monticello Scarpone points within ~4-30 m,Keep ASF A/R records distinct.
AR184_003,D184,Arriva Italia,S.MARIA HOE' Alduno,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Appears in both timetable directions.,AXW003,SP_ASF::SANTA_MARIA_HOE::ROVAGNATE_FRAZIONE_ALDUNO,ASF_OTP::ROVAGA04|ASF_OTP::ROVAGAR4|FROZEN_GTFS::300871|FROZEN_GTFS::L00871,SAME_STOP_PLACE_CONFIRMED,TWO_DIRECTIONAL_BOARDING_POINTS_CONFIRMED_SIDE_ALIAS_UNRESOLVED,DERIVED,Official Arriva Alduno; official ASF Frazione Alduno; prior Maps/ASF review SPREV003,Exact municipality is Santa Maria Hoè despite ASF Rovagnate prefix.
AR184_004,D184,Arriva Italia,ROVAGNATE SS342/Via Lombardia,La Valletta Brianza,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Reverse direction wording is Rovagnate statale incrocio via Lombardia.,AXW004,SP_ASF::LA_VALLETTA_BRIANZA::ROVAGNATE_SS_ANG_V_LOMBARDIA,ASF_OTP::ROVAGA01|ASF_OTP::ROVAGR01|FROZEN_GTFS::300878|FROZEN_GTFS::L00878,SAME_STOP_PLACE_STRONG,TWO_DIRECTIONAL_BOARDING_POINTS_LIKELY_SIDE_ALIAS_UNRESOLVED,DERIVED,Official Arriva Via Lombardia timing point; official ASF same named junction; frozen Semaforo geometry aligns directionally,Do not merge directional records by distance.
AR184_005,D184,Arriva Italia,PEREGO SS342/Via S. Caterina,La Valletta Brianza,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Reverse direction wording is Perego statale incrocio via S.Caterina.,AXW005,SP_ASF::LA_VALLETTA_BRIANZA::PEREGO_VIA_STATALE_79,ASF_OTP::PERE_A01|ASF_OTP::PERE_R01|FROZEN_GTFS::300872|FROZEN_GTFS::L00872,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,Official Arriva Via S. Caterina timing point; ASF Via Statale 79; frozen same Via S.Caterina coordinates within ~3-26 m,Passenger place crosswalk is strong; side mapping remains unresolved.
AR184_006,D184,Arriva Italia,S. MARIA HOE' Alpino Via Como,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Appears in both timetable directions.,AXW006,SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_COMO,ASF_OTP::SAMAHA01|ASF_OTP::SAMAHR01|FROZEN_GTFS::300902|FROZEN_GTFS::L00902,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,Official Arriva Alpino Via Como; ASF Via Como; frozen Alpino points colocated in same area,Do not collapse ASF A/R.
AR184_007,D184,Arriva Italia,S. MARIA HOE' Tremonte incrocio via Leopardi,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Selected trips only.,AXW007,,FROZEN_GTFS::300903,SAME_STOP_PLACE_STRONG,SINGLE_FROZEN_COORDINATE_CURRENT_SIDE_STRUCTURE_UNRESOLVED,DERIVED,Future official timing point nearly exact legacy frozen name Tremonte/via Leopardi,"Published service continuity supports stop-place identity, not physical side completeness."
AR184_008,D184,Arriva Italia,S. MARIA HOE centro,Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Appears on several trips; timetable is timing-point oriented and not a complete physical stop inventory.,AXW008,,FROZEN_GTFS::300207|FROZEN_GTFS::L00207,UNRESOLVED_HISTORICAL_PLACE_CROSSWALK,UNRESOLVED,UNRESOLVED,Potential relation to frozen S.Maria Hoe' - paese but SPREV002 remains unresolved and the two frozen records are ~59 m apart,Do not equate Centro and Paese without operator/physical confirmation.
AR184_009,D184,Arriva Italia,HOE',Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D184-Olgiate-Molgora-F.S.%E2%80%93Ravellino-inv27.pdf,0-1,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Timetable place label; municipality context is contextual and does not replace polygon containment for coordinates.,AXW009,,FROZEN_GTFS::300873|FROZEN_GTFS::L00873,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,Official Arriva HOE' timing point and exact frozen HOE' naming,Frozen paired records are close but remain source records until physical side evidence is resolved.
AR148_001,D148,Arriva Italia,S. MARIA HOE' (Alpino),Santa Maria Hoè,2026-09-14,2027-06-08,PUBLISHED_FUTURE_TIMETABLE,https://arriva.it/app/uploads/sites/7/2026/08/D148-S.Maria-Hoe-Airuno-Besana-inv27.pdf,0,STOP_NAME_TIMING_POINT_IN_OFFICIAL_TIMETABLE,FACT,Official winter 2026/27 timetable.,AXW010,SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_COMO,ASF_OTP::SAMAHA01|ASF_OTP::SAMAHR01|FROZEN_GTFS::300902|FROZEN_GTFS::L00902,SAME_STOP_PLACE_STRONG,BOARDING_POINT_CROSS_SOURCE_MAPPING_UNRESOLVED,DERIVED,D148 Alpino and D184 Alpino Via Como converge on same frozen/ASF location,Stop-place level only.
