pair_id,physical_municipality_exact,normalized_stop_name,source_record_a,source_record_b,native_code_a,native_code_b,name_a,name_b,distance_m,same_operator_named_stop_place_status,boarding_point_identity_status
ASFDIR001,Brivio,BEVERATE CARTELLO PAESE,ASF_OTP::BRIVIA05,ASF_OTP::BRIVIR05,BRIVIA05,BRIVIR05,Beverate - Cartello Paese,Beverate - Cartello Paese,4.71,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR002,Brivio,BRIVIO BAR CRISTALLO,ASF_OTP::BRIVIA03,ASF_OTP::BRIVIR03,BRIVIA03,BRIVIR03,Brivio - Bar Cristallo,Brivio - Bar Cristallo,6.78,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR003,Brivio,BRIVIO VIA COMO PENSILINA,ASF_OTP::BRIVIR06,,BRIVIR06,,Brivio - Via Como - Pensilina,,,SINGLE_DIRECTIONAL_RECORD_ONLY,SOURCE_RECORD_PRESERVED_NO_MERGE
ASFDIR004,Brivio,VACCAREZZA CARTELLO PAESE,ASF_OTP::BRIVIA04,ASF_OTP::BRIVIR04,BRIVIA04,BRIVIR04,Vaccarezza - Cartello Paese,Vaccarezza - Cartello Paese,36.13,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR005,Calco,ARLATE B VIO BRIVIO MADONNINA,ASF_OTP::CALCOA09,,CALCOA09,,Arlate - B.vio Brivio - Madonnina,,,SINGLE_DIRECTIONAL_RECORD_ONLY,SOURCE_RECORD_PRESERVED_NO_MERGE
ASFDIR006,Calco,ARLATE BIVIO PER IL PAESE,ASF_OTP::CALCOA07,ASF_OTP::CALCOR07,CALCOA07,CALCOR07,Arlate - Bivio per il Paese,Arlate - Bivio per il Paese,1.11,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR007,Calco,ARLATE CANTINA PIROVANO,ASF_OTP::CALCOA08,ASF_OTP::CALCOR08,CALCOA08,CALCOR08,Arlate - Cantina Pirovano,Arlate - Cantina Pirovano,1.91,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR008,Calco,CALCO LARGO POMEA,ASF_OTP::CALCOA06,ASF_OTP::CALCOR06,CALCOA06,CALCOR06,Calco - Largo Pomea,Calco - Largo Pomea,9.07,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR009,Calco,CALCO VIA GARIBALDI,ASF_OTP::CALCOA05,ASF_OTP::CALCOR05,CALCOA05,CALCOR05,Calco - Via Garibaldi,Calco - via Garibaldi,11.7,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR010,Calco,IMBERSAGO LOCALITA CAZZULINO,ASF_OTP::IMBERA07,ASF_OTP::IMBERR07,IMBERA07,IMBERR07,Imbersago - Località Cazzulino,Imbersago - Località Cazzulino,0.0,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR011,La Valletta Brianza,PEREGO VIA STATALE 79,ASF_OTP::PERE_A01,ASF_OTP::PERE_R01,PERE_A01,PERE_R01,Perego - Via Statale 79,Perego - Via Statale 79,27.5,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR012,La Valletta Brianza,ROVAGNATE SS ANG V LOMBARDIA,ASF_OTP::ROVAGA01,ASF_OTP::ROVAGR01,ROVAGA01,ROVAGR01,Rovagnate-S.S- Ang. V. Lombardia,Rovagnate - S.S. - Ang. V. Lombardia,77.68,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR013,La Valletta Brianza,ROVAGNATE STRADA STATALE AGIP,ASF_OTP::ROVAGA03,ASF_OTP::ROVAGR03,ROVAGA03,ROVAGR03,Rovagnate - Strada Statale - AGIP,Rovagnate - Strada Statale - AGIP,7.76,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR014,Olgiate Molgora,OLGIATE MOLGORA SCARPONE,ASF_OTP::OLGMOA05,ASF_OTP::OLGMOR05,OLGMOA05,OLGMOR05,Olgiate Molgora - Scarpone,Olgiate Molgora - Scarpone,18.7,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR015,Olgiate Molgora,OLGIATE MOLGORA VIA DELLA SALUTE,ASF_OTP::OLGMOA06,ASF_OTP::OLGMOR06,OLGMOA06,OLGMOR06,Olgiate Molgora - Via Della Salute,Olgiate Molgora - Via Della Salute,3.42,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR016,Olgiate Molgora,OLGIATE MOLGORA VIA STATALE,ASF_OTP::OLGMOA04,ASF_OTP::OLGMOR04,OLGMOA04,OLGMOR04,Olgiate Molgora - Via Statale,Olgiate Molgora - Via Statale,4.04,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR017,Santa Maria Hoè,ROVAGNATE FRAZIONE ALDUNO,ASF_OTP::ROVAGA04,ASF_OTP::ROVAGAR4,ROVAGA04,ROVAGAR4,Rovagnate - Frazione Alduno,Rovagnate - Frazione Alduno,17.89,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR018,Santa Maria Hoè,S MARIA HOE SP 58 ANG VIA CENISIO,ASF_OTP::SAMAHA03,ASF_OTP::SAMAHR03,SAMAHA03,SAMAHR03,S. Maria Hoè - S.P. 58 ang. Via Cenisio,S. Maria Hoè - S.P. 58 ang. Via Cenisio,3.3,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
ASFDIR019,Santa Maria Hoè,SANTA MARIA HOE VIA COMO,ASF_OTP::SAMAHA01,ASF_OTP::SAMAHR01,SAMAHA01,SAMAHR01,Santa Maria Hoè - Via Como,Santa Maria Hoè - Via Como,8.94,SAME_OPERATOR_NAMED_STOP_PLACE,DISTINCT_DIRECTIONAL_SOURCE_RECORDS_NO_AUTO_MERGE
