asf_source_record,asf_code,asf_name,physical_municipality_exact,candidate_rank,frozen_source_record,frozen_native_id,frozen_name,distance_m,name_similarity,candidate_review_class,identity_decision
ASF_OTP::OLGMOA05,OLGMOA05,Olgiate Molgora - Scarpone,Olgiate Molgora,1,FROZEN_GTFS::L00803,L00803,Olgiate Molgora - monticello scarpone,4.07,0.8136,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA05,OLGMOA05,Olgiate Molgora - Scarpone,Olgiate Molgora,2,FROZEN_GTFS::300803,300803,Olgiate Molgora - monticello scarpone,11.64,0.8136,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR05,OLGMOR05,Olgiate Molgora - Scarpone,Olgiate Molgora,1,FROZEN_GTFS::L00803,L00803,Olgiate Molgora - monticello scarpone,22.05,0.8136,CLOSE_PARTIAL_NAME_ALIGNMENT_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR05,OLGMOR05,Olgiate Molgora - Scarpone,Olgiate Molgora,2,FROZEN_GTFS::300803,300803,Olgiate Molgora - monticello scarpone,30.01,0.8136,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA06,OLGMOA06,Olgiate Molgora - Via Della Salute,Olgiate Molgora,1,FROZEN_GTFS::300803,300803,Olgiate Molgora - monticello scarpone,62.51,0.7164,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA06,OLGMOA06,Olgiate Molgora - Via Della Salute,Olgiate Molgora,2,FROZEN_GTFS::L00803,L00803,Olgiate Molgora - monticello scarpone,71.64,0.7164,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR06,OLGMOR06,Olgiate Molgora - Via Della Salute,Olgiate Molgora,1,FROZEN_GTFS::300803,300803,Olgiate Molgora - monticello scarpone,65.41,0.7164,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR06,OLGMOR06,Olgiate Molgora - Via Della Salute,Olgiate Molgora,2,FROZEN_GTFS::L00803,L00803,Olgiate Molgora - monticello scarpone,74.44,0.7164,SAME_LOCAL_AREA_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA04,OLGMOA04,Olgiate Molgora - Via Statale,Olgiate Molgora,1,FROZEN_GTFS::L00728,L00728,Olgiate Molgora - via statale,5.32,1.0,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA04,OLGMOA04,Olgiate Molgora - Via Statale,Olgiate Molgora,2,FROZEN_GTFS::300728,300728,Olgiate Molgora - via statale,6.65,1.0,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOA04,OLGMOA04,Olgiate Molgora - Via Statale,Olgiate Molgora,3,FROZEN_GTFS::L00407,L00407,Olgiate Molgora (stazione f.s.),310.64,0.7273,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR04,OLGMOR04,Olgiate Molgora - Via Statale,Olgiate Molgora,1,FROZEN_GTFS::L00728,L00728,Olgiate Molgora - via statale,5.02,1.0,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR04,OLGMOR04,Olgiate Molgora - Via Statale,Olgiate Molgora,2,FROZEN_GTFS::300728,300728,Olgiate Molgora - via statale,8.99,1.0,VERY_CLOSE_NAME_ALIGNED_REVIEW,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::OLGMOR04,OLGMOR04,Olgiate Molgora - Via Statale,Olgiate Molgora,3,FROZEN_GTFS::L00407,L00407,Olgiate Molgora (stazione f.s.),307.02,0.7273,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA05,CALCOA05,Calco - Via Garibaldi,Calco,1,FROZEN_GTFS::L00729,L00729,Calco - via virgilio (pensilina asf),8.75,0.5098,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA05,CALCOA05,Calco - Via Garibaldi,Calco,2,FROZEN_GTFS::300729,300729,Calco - via virgilio (pensilina asf),12.44,0.5098,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA05,CALCOA05,Calco - Via Garibaldi,Calco,3,FROZEN_GTFS::L00397,L00397,Calco - via virgilio,330.52,0.7568,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR05,CALCOR05,Calco - via Garibaldi,Calco,1,FROZEN_GTFS::300729,300729,Calco - via virgilio (pensilina asf),2.04,0.5098,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR05,CALCOR05,Calco - via Garibaldi,Calco,2,FROZEN_GTFS::L00729,L00729,Calco - via virgilio (pensilina asf),18.18,0.5098,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOR05,CALCOR05,Calco - via Garibaldi,Calco,3,FROZEN_GTFS::L00397,L00397,Calco - via virgilio,342.14,0.7568,CORRIDOR_PROXIMITY_ONLY,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA06,CALCOA06,Calco - Largo Pomea,Calco,1,FROZEN_GTFS::300089,300089,Calco - via statale (edicola),11.67,0.381,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
ASF_OTP::CALCOA06,CALCOA06,Calco - Largo Pomea,Calco,2,FROZEN_GTFS::L00089,L00089,Calco - via statale (edicola),16.42,0.381,CLOSE_GEOMETRY_IDENTITY_UNRESOLVED,UNRESOLVED_NO_AUTO_MERGE
