operator_named_stop_place_id,physical_municipality_exact,source_records,source_codes,source_names
SP_ASF::BRIVIO::BEVERATE_CARTELLO_PAESE,Brivio,2,BRIVIA05|BRIVIR05,Beverate - Cartello Paese
SP_ASF::BRIVIO::BRIVIO_BAR_CRISTALLO,Brivio,2,BRIVIA03|BRIVIR03,Brivio - Bar Cristallo
SP_ASF::BRIVIO::BRIVIO_VIA_COMO_PENSILINA,Brivio,1,BRIVIR06,Brivio - Via Como - Pensilina
SP_ASF::BRIVIO::VACCAREZZA_CARTELLO_PAESE,Brivio,2,BRIVIA04|BRIVIR04,Vaccarezza - Cartello Paese
SP_ASF::CALCO::ARLATE_BIVIO_PER_IL_PAESE,Calco,2,CALCOA07|CALCOR07,Arlate - Bivio per il Paese
SP_ASF::CALCO::ARLATE_B_VIO_BRIVIO_MADONNINA,Calco,1,CALCOA09,Arlate - B.vio Brivio - Madonnina
SP_ASF::CALCO::ARLATE_CANTINA_PIROVANO,Calco,2,CALCOA08|CALCOR08,Arlate - Cantina Pirovano
SP_ASF::CALCO::CALCO_LARGO_POMEA,Calco,2,CALCOA06|CALCOR06,Calco - Largo Pomea
SP_ASF::CALCO::CALCO_VIA_GARIBALDI,Calco,2,CALCOA05|CALCOR05,Calco - Via Garibaldi|Calco - via Garibaldi
SP_ASF::CALCO::IMBERSAGO_LOCALITA_CAZZULINO,Calco,2,IMBERA07|IMBERR07,Imbersago - Località Cazzulino
SP_ASF::LA_VALLETTA_BRIANZA::PEREGO_VIA_STATALE_79,La Valletta Brianza,2,PERE_A01|PERE_R01,Perego - Via Statale 79
SP_ASF::LA_VALLETTA_BRIANZA::ROVAGNATE_SS_ANG_V_LOMBARDIA,La Valletta Brianza,2,ROVAGA01|ROVAGR01,Rovagnate - S.S. - Ang. V. Lombardia|Rovagnate-S.S- Ang. V. Lombardia
SP_ASF::LA_VALLETTA_BRIANZA::ROVAGNATE_STRADA_STATALE_AGIP,La Valletta Brianza,2,ROVAGA03|ROVAGR03,Rovagnate - Strada Statale - AGIP
SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_SCARPONE,Olgiate Molgora,2,OLGMOA05|OLGMOR05,Olgiate Molgora - Scarpone
SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,Olgiate Molgora,2,OLGMOA06|OLGMOR06,Olgiate Molgora - Via Della Salute
SP_ASF::OLGIATE_MOLGORA::OLGIATE_MOLGORA_VIA_STATALE,Olgiate Molgora,2,OLGMOA04|OLGMOR04,Olgiate Molgora - Via Statale
SP_ASF::SANTA_MARIA_HOE::ROVAGNATE_FRAZIONE_ALDUNO,Santa Maria Hoè,2,ROVAGA04|ROVAGAR4,Rovagnate - Frazione Alduno
SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_COMO,Santa Maria Hoè,2,SAMAHA01|SAMAHR01,Santa Maria Hoè - Via Como
SP_ASF::SANTA_MARIA_HOE::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,Santa Maria Hoè,2,SAMAHA04|SAMAHR04,Santa Maria Hoè - Via Giovanni XXIII
SP_ASF::SANTA_MARIA_HOE::S_MARIA_HOE_SP_58_ANG_VIA_CENISIO,Santa Maria Hoè,2,SAMAHA03|SAMAHR03,S. Maria Hoè - S.P. 58 ang. Via Cenisio
