operational_stop_no,stop_place_id,stop_name,municipality,lat,lon,source_families,source_native_ids,known_routes,existence_confidence,service_class,notes
1,ASF::BEVERATE_CARTELLO_PAESE,Beverate - Cartello Paese,Brivio,45.73399,9.42653,ASF_OPERATOR_OTP,BRIVIA05|BRIVIR05,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
2,ASF::VACCAREZZA_CARTELLO_PAESE,Brivio - Vaccarezza,Brivio,45.736865,9.436045,ASF_OPERATOR_OTP,BRIVIA04|BRIVIR04,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
3,FROZEN::300063,Brivio - Via Bergamo (Scuola Materna),Brivio,45.741333,9.4457,FROZEN_GTFS_REFERENCE,300063,D150|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
4,ASF::BRIVIO_BAR_CRISTALLO,Brivio - Via Como (pizzeria / Bar Cristallo),Brivio,45.742315,9.439315,ASF_OPERATOR_OTP,BRIVIA03|BRIVIR03,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
5,FROZEN::300527,Brivio - Via Provinciale Beverate (Elettroadda),Brivio,45.741383,9.4233915,FROZEN_GTFS_REFERENCE,300527|L00527,D148|D150,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
6,FROZEN::300086,Brivio - beverate (cariplo),Brivio,45.7404585,9.423083,FROZEN_GTFS_REFERENCE,300086|L00086,D150|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
7,FROZEN::300398,Brivio - beverate (paese),Brivio,45.7373335,9.4280585,FROZEN_GTFS_REFERENCE,300398|L00398,D150|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
8,FROZEN::300487,Brivio - beverate (tre strade),Brivio,45.7347085,9.4268915,FROZEN_GTFS_REFERENCE,300487|L00487,D150|D185,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
9,FROZEN::100005,Brivio - s.s. briantea,Brivio,45.73464,9.42271,FROZEN_GTFS_REFERENCE,100005,D148,MEDIUM_OFFICIAL_REFERENCE,CONVENTIONAL_TPL,Physical stop/place retained from official 2025/26 reference; current service may differ.
10,ASF::BRIVIO_VIA_COMO_PENSILINA,Brivio / Via V. Emanuele (Capolinea),Brivio,45.7424,9.44591,ASF_OPERATOR_OTP,BRIVIR06,C146,HIGH_CURRENT_OPERATOR,CONVENTIONAL_TPL,Directional records collapsed intentionally; coordinate is mean of available ASF directions.
